"","IE_6_5.1","IE_6_5.2","IE_6_5.3","IE_6_5.4","IE_6_5.5","IE_6_5.6","IE_6_5.7","IE_6_5.8","IE_6_5.9","IE_6_5.10","IE_6_5.11","IE_6_5.12","IE_6_5.13","IE_6_5.14","IE_6_5.15"
"JUL 1998",291377278,27269354,20095412,251660008,10577586,9044272,219249732,444731,218805001,72127546,24126250,6960000,"_","_","_"
"AGO 1998",290098089,27727276,20149110,250502766,10577586,8868627,220058023,444725,219613298,70040066,21558966,6975000,"_","_","_"
"SEP 1998",293949492,27573898,20030136,255200406,10577586,8141364,220479623,444719,220034904,73469869,24609004,6926000,"_","_","_"
"OCT 1998",298585369,28295774,20609654,259243775,10577586,8154354,225404861,444713,224960148,73180508,33000830,6879000,"_","_","_"
"NOV 1998",288201129,29719380,21003316,247903878,10577586,8716349,219068207,444707,218623501,69132922,21501692,6843000,"_","_","_"
"DIC 1998",284480190,30048160,21656350,243776688,10341276,8705876,215221761,304719,214917042,69258429,10272823,6412000,"_","_","_"
"ENE 1999",284605553,6605818,21392062,244260729,10341276,8611486,212642601,304719,212337881,71962953,11952490,6320000,"_","_","_"
"FEB 1999",287288149,6693258,21148342,247220357,10341276,8578173,218587029,304719,218282310,68701120,17188480,6354000,"_","_","_"
"MAR 1999",288158914,6856988,22916388,246367780,10341276,8533470,212698296,304719,212393577,75460618,10210760,6423000,"_","_","_"
"ABR 1999",285461386,7219867,23281256,243332011,10341276,8506843,211669702,304719,211364983,73791683,12556045,6418000,"_","_","_"
"MAY 1999",289566817,7241376,23490894,247210845,10341276,8523802,211514435,304719,211209716,78052382,12994712,6396000,"_","_","_"
"JUN 1999",290394101,7342920,23049394,248468419,10341276,8535012,212812676,304719,212507957,77581425,12277037,6254000,"_","_","_"
"JUL 1999",285113622,7324165,21813648,244486821,10341276,8471877,206432397,304719,206127678,78681225,8521767,6153000,"_","_","_"
"AGO 1999",287731479,7630858,23447696,245440323,10341276,8502184,206956132,304719,206651413,80775347,8630680,6151000,"_","_","_"
"SEP 1999",290161094,6328645,23473518,247959377,10341276,8386923,202660793,304719,202356074,87500301,9943820,6139000,"_","_","_"
"OCT 1999",289426282,6477722,22458454,248234848,10341276,8391704,204837308,304719,204532589,84588974,20394682,6135000,"_","_","_"
"NOV 1999",294175906,7020603,21430928,254040068,10341276,8363634,206818172,304719,206513453,87357734,17468164,6090000,"_","_","_"
"DIC 1999",298753638,7188569,21074396,259374986,9842537,8461718,207683812,150259,207533553,91069825,14846388,5310010,"_","_","_"
"ENE 2000",299192013,7152684,19550500,261485196,9842537,8313780,205101816,666259,204435557,94090197,11505931,5321000,0,0,"_"
"FEB 2000",300795076,7153216,18489844,264217602,9842537,8245093,207004013,666259,206337754,93791063,16436111,5650000,0,0,"_"
"MAR 2000",299087038,7484658,18155938,263089917,9842537,7998646,199824472,697759,199126713,99262565,8957815,5637000,0,0,"_"
"ABR 2000",296379713,7593148,17969044,259523414,9842537,9044718,197104877,697759,196407118,99274835,13062947,5639000,0,0,"_"
"MAY 2000",298334298,7414023,18566656,260878079,9842537,9047027,201740477,697759,201042718,96593821,10899345,5596000,0,0,"_"
"JUN 2000",301185763,7326968,19241912,263058662,9842537,9042652,199605210,729259,198875951,101580553,11699295,5590000,0,0,"_"
"JUL 2000",304192522,8958400,18182550,267365895,9842537,8801540,196019244,729259,195289985,108173279,14077370,5495494,0,0,"_"
"AGO 2000",303521070,9149616,16208114,268452366,9842537,9018053,193628382,729259,192899123,109892688,10694584,5500323,0,0,"_"
"SEP 2000",304612611,9080783,14333812,271522548,9842537,8913714,191546762,760759,190786003,113065850,11110974,5292257,0,0,"_"
"OCT 2000",306961983,9343728,14043072,274132676,9842537,8943697,187218912,760759,186458153,119743071,20406622,5263000,0,0,"_"
"NOV 2000",308710705,8983405,13371754,276635491,9842537,8860923,189855383,760759,189094624,118855322,22708942,5914000,0,0,"_"
"DIC 2000",309439129,8197257,12638817,278377507,9343798,9079007,189014905,1186506,187828399,120424224,20536256,5430000,0,0,"_"
"ENE 2001",304802744,8132866,12971488,273415746,9343798,9071712,183524405,1186506,182337899,121278339,7777948,5508000,0,0,"_"
"FEB 2001",303800912,8102610,12725798,272725457,9343798,9005859,184183237,1186506,182996731,119617675,12782799,5685000,0,0,"_"
"MAR 2001",307139706,8019730,12306467,276523398,9343798,8966042,182820021,1162006,181658015,124319685,11667738,6271000,0,0,"_"
"ABR 2001",305875522,8057382,12376210,275178343,9343798,8977170,186059229,1162006,184897223,119816292,17240452,6292000,0,0,"_"
"MAY 2001",308225349,8615292,12399282,277431192,9343798,9051078,186664976,1162006,185502970,121560374,15009836,6499000,0,0,"_"
"JUN 2001",310861544,8353223,11782725,280707758,9343798,9027263,184921898,1454506,183467392,125939646,14940080,6409000,0,0,"_"
"JUL 2001",311611007,8078598,12016798,281279260,9343798,8971151,184605711,1454506,183151205,127005296,12826213,6309000,0,0,"_"
"AGO 2001",310390208,7989384,12008406,281085137,9343798,7952867,183354646,1454506,181900140,127035561,9561967,6386000,0,0,"_"
"SEP 2001",311537052,7986898,12008648,282288582,9343798,7896024,180524348,1430006,179094342,131012704,12117343,6389957,0,0,"_"
"OCT 2001",310563850,7900757,11911627,281465574,9343798,7842850,179328783,1430006,177898777,131235066,18051540,6393838,0,0,"_"
"NOV 2001",310129694,7907402,11958781,281098028,9343798,7729086,181457997,1430006,180027991,128671697,18372896,6069000,0,0,"_"
"DIC 2001",309354793,7610572,12306226,282317582,8845055,5885930,179564097,2018406,177545691,129790696,14714959,5460091,0,0,"_"
"ENE 2002",308384027,7678343,12641621,281849499,8845055,5047852,176271213,2018406,174252807,132112814,12143990,5500000,0,0,"_"
"FEB 2002",304216578,7606576,13074863,277188509,8845055,5108150,174351029,2018406,172332623,129865549,13991310,5639000,0,0,"_"
"MAR 2002",309380484,6506314,13458565,281920873,8845055,5155990,176669353,1993906,174675447,132711130,15046309,6100000,0,0,"_"
"ABR 2002",311428019,6430780,13329849,284021274,8845055,5231841,178748174,2089144,176659030,132679844,22922924,6057000,0,0,"_"
"MAY 2002",316221715,6309246,13278213,288831412,8845055,5267036,181056857,3497483,177559374,135164858,23381038,5984000,0,0,"_"
"JUN 2002",314017738,6128044,13460999,286427879,8845055,5283804,181979969,4038870,177941099,132037769,14228744,6071000,0,0,"_"
"JUL 2002",308229039,6186666,15940834,278164282,8845055,5278868,176128071,4846408,171281663,132100968,11117510,7099000,0,0,"_"
"AGO 2002",307528333,6205757,14336629,279029576,8845055,5317073,174969595,4846408,170123187,132558738,8482583,7092000,0,0,"_"
"SEP 2002",313337951,6088524,15150478,284038788,8845055,5303630,176050188,4918995,171131193,137287763,15928665,7063000,0,0,"_"
"OCT 2002",314276063,6043521,15523834,284572826,8845055,5334348,177524936,4997327,172527609,136751126,23528148,7046000,0,0,"_"
"NOV 2002",314585204,6010781,15817882,284584968,8845055,5337300,177894671,6830917,171063754,136690533,21445446,6920000,0,0,"_"
"DIC 2002",314705350,5822898,15008268,286158808,8359214,5179060,177825818,6830702,170995116,136879532,16812890,6819000,0,0,"_"
"ENE 2003",309495465,5632970,17685636,278343620,8359214,5106994,177888254,6745702,171142552,131607210,7555724,6324891,0,0,"_"
"FEB 2003",311454852,5663518,16419423,281656143,8359214,5020072,179679210,6745702,172933508,131775642,18371932,6324167,0,0,"_"
"MAR 2003",312389498,5551048,16909268,282211533,8359214,4909483,182738222,7318952,175419270,129651276,14990097,6271175,0,0,"_"
"ABR 2003",318165843,5411802,16941064,288085631,8359214,4779932,184234488,7606105,176628383,133931354,28990476,6213331,0,0,"_"
"MAY 2003",315249421,5128576,16607642,285496725,8359214,4785840,185489419,7573705,177915714,129760002,20035916,6050730,0,0,"_"
"JUN 2003",318363535,5264216,15862977,289309400,8359214,4831944,191582913,8369555,183213358,126780622,16740623,6078693,0,0,"_"
"JUL 2003",315152465,5313448,17005838,285032034,8359214,4755378,188795411,9035378,179760033,126357054,15985486,6069843,0,0,"_"
"AGO 2003",311043086,5596922,16113621,281708667,8359214,4861584,188081719,9411278,178670441,122961367,14671472,6098036,0,0,"_"
"SEP 2003",314047788,5437094,16037148,284851244,8359214,4800182,191071275,10601630,180469645,122976513,13771472,6894279,0,0,"_"
"OCT 2003",312044029,5504220,15866076,283020071,8359214,4798668,189684982,10601630,179083352,122359047,17469286,6831870,0,0,"_"
"NOV 2003",314337967,5328798,16809996,284379193,8359214,4789564,191533159,10501630,181031529,122804808,17432580,7111707,0,0,"_"
"DIC 2003",312895896,5104718,15894986,284095795,7873373,5031742,192867050,10951734,181915316,120028846,11078202,6821034,0,0,"_"
"ENE 2004",318524404,5243526,16139488,289473218,7873373,5038325,188108419,12810734,175297685,130415985,15587825,6743280,0,0,"_"
"FEB 2004",317545980,5133064,13680057,291009034,7873373,4983516,182635337,12810734,169824603,134910643,19530996,6734580,0,0,"_"
"MAR 2004",321582539,5352547,14835932,293938807,7873373,4934426,188515643,14911301,173604342,133066896,17810036,6717176,0,0,"_"
"ABR 2004",321137142,5251192,12943307,295037113,7873373,5283350,186348450,15135158,171213292,134788692,26782078,6624065,0,0,"_"
"MAY 2004",322017793,5191814,14511846,294318782,7873373,5313792,188716813,15312611,173404202,133300980,23166326,6531223,0,0,"_"
"JUN 2004",323254093,5214644,12714123,297292843,7873373,5373754,188205375,16158111,172047264,135048718,15778571,6483069,0,0,"_"
"JUL 2004",317320862,4068462,14610599,289473916,7873373,5362974,180022444,15836949,164185495,137298418,12215624,6448928,0,0,"_"
"AGO 2004",314614593,4065365,12914399,288449460,7873373,5377361,180658339,17595648,163062690,133956254,9975535,6424025,0,0,"_"
"SEP 2004",321320144,3957695,14730702,293348022,7873373,5368047,183188438,17827100,165361339,138131706,18528212,6303855,0,0,"_"
"OCT 2004",312797137,3949457,14000790,285555078,7873373,5367896,170453457,17165000,153288458,142343680,27615938,7002219,0,0,"_"
"NOV 2004",322617812,3869176,15780884,290553622,7873373,8409933,179977453,19379200,160598252,142640359,18340950,7226676,0,0,"_"
"DIC 2004",323416698,3266799,15304274,290228515,7387532,10496377,183716482,19412342,164304140,139700216,11931924,7186411,0,0,"_"
"ENE 2005",327457763,3380283,16949576,292652258,7387532,10468396,176981571,18529242,158452329,150476191,11520305,7040600,0,0,"_"
"FEB 2005",322545138,3312766,14502874,290251590,7387532,10403142,176199104,18426742,157772362,146346034,15274935,7031508,0,0,"_"
"MAR 2005",324908624,3301480,15420674,291726849,7387532,10373569,180776428,19783160,160993267,144132196,13419400,7099500,0,0,"_"
"ABR 2005",322553915,3342668,13341020,292571682,7387532,9253681,178150558,22208600,155941959,144403357,20281286,6987132,0,0,"_"
"MAY 2005",325826182,3426459,14318373,296568085,7387532,7552192,179128533,22390792,156737740,146697649,19908834,6948663,0,0,"_"
"JUN 2005",325927914,3286412,12698231,298270285,7387532,7571866,180721275,22335760,158385515,145206639,12980404,6948663,0,0,"_"
"JUL 2005",319220132,2465104,13553828,290696869,7387532,7581903,176148765,22964968,153183798,143071367,26825470,6570073,0,0,"_"
"AGO 2005",316931089,2457370,12209015,289710425,7387532,7624118,178124284,22935768,155188517,138806806,8758267,6530990,0,0,"_"
"SEP 2005",323610893,2457610,13049676,295596326,7387532,7577358,182239956,22959190,159280766,141370937,16634777,6360351,0,0,"_"
"OCT 2005",320914163,2415572,11935065,294017808,7387532,7573758,180601513,22681024,157920489,140312650,23851730,6348034,0,0,"_"
"NOV 2005",325325126,2401462,12802412,297569252,7387532,7565930,183286618,23251310,160035308,142038508,23348636,7102049,0,0,"_"
"DIC 2005",322907079,2154175,11303440,297594898,6901690,7107051,178916989,22809660,156107329,143990090,13950196,6020008,0,0,"_"
"ENE 2006",317643217,2113690,12280594,291362602,6901690,7098330,171563773,21807860,149755913,146079444,4806304,5898175,0,0,"_"
"FEB 2006",318376160,2156484,11061853,293311715,6901690,7100901,169553015,21346510,148206505,148823145,14760304,730579,0,0,"_"
"MAR 2006",323201073,2096585,11982490,297245265,6901690,7071628,172883680,22087954,150795726,150317394,15003634,5901768,0,0,"_"
"ABR 2006",318296339,1926495,10442399,294025152,6901690,6927098,166684041,21728954,144955087,151612297,27409036,5767562,0,0,"_"
"MAY 2006",318722926,1920190,11427065,293625413,6901690,6768757,168871804,21728954,147142850,149851122,17665700,5739077,0,0,"_"
"JUN 2006",317527923,1695929,9979779,293833130,6901690,6813323,168103705,21774272,146329433,149424218,10141092,5743022,0,0,"_"
"JUL 2006",320867263,1682927,10958956,296481410,6901690,6525206,170805827,22031118,148774709,150061436,15753822,5675062,0,0,"_"
"AGO 2006",319308109,1647655,10222640,295630522,6901690,6553256,168854426,22332302,146522124,150453683,13054382,5657717,0,0,"_"
"SEP 2006",322623975,517573,11205404,297997830,6901690,6519050,170272621,22545248,147727374,152351354,17957718,5648523,0,0,"_"
"OCT 2006",314670161,522629,10443246,290785974,6901690,6539250,164141300,21098970,143042330,150528861,20904454,5645286,0,0,"_"
"NOV 2006",317650792,516085,11269450,292927921,6901690,6551730,163189060,21873960,141315101,154461732,23858820,5960097,0,0,"_"
"DIC 2006",316757155,514638,10413670,293244634,6415850,6683002,164239877,21897076,142342802,152517278,13585767,5794080,0,0,"_"
"ENE 2007",322598307,519179,11163670,298328242,6415850,6690546,168978493,21897076,147081418,153619814,13202556,5771829,0,0,"_"
"FEB 2007",322176752,385957,10650176,298421455,6415850,6689272,171616689,21897076,149719614,150560063,25796950,5776552,0,0,"_"
"MAR 2007",324282118,382466,12870821,298298791,6415850,6696656,164782577,23862074,140920503,159499541,25312138,5681136,0,0,"_"
"ABR 2007",321075451,380841,12601984,295923120,5832382,6717964,161996434,23518174,138478260,159079017,32692262,5717951,0,0,"_"
"MAY 2007",323249691,382325,14750462,295924604,5832382,6742242,167968048,23518174,144449874,155281643,28934536,5715813,0,0,"_"
"JUN 2007",325917630,385757,14499140,298979891,5832382,6606217,170462069,23584788,146877282,155455561,24522080,6165718,0,0,"_"
"JUL 2007",317216902,385757,16526035,288330669,5832382,6527815,167281477,23433460,143848016,149935424,12819599,6106167,0,0,"_"
"AGO 2007",315650887,383509,17495726,285768444,5832382,6554334,168029360,25630140,142399220,147621527,16198854,6105726,0,0,"_"
"SEP 2007",320932871,373134,20091034,288649840,5832382,6359614,170145174,25729876,144415299,150787697,22847524,6192910,0,0,"_"
"OCT 2007",307738009,372867,21190720,274337644,5832382,6377262,162108990,24447088,137661901,145629020,24123776,6277487,0,0,"_"
"NOV 2007",311637289,363866,24023112,276029264,5832382,5752530,166323889,24447088,141876800,145313400,26022958,6207167,0,0,"_"
"DIC 2007",312082531,354538,25354514,275087517,5832382,5808118,171839422,25551324,146288097,140243109,15182834,6161654,0,0,0
"ENE 2008",305598037,347733,28764480,264886650,5832382,6114524,164411877,24491360,139920516,141186160,4354446,6122925,0,0,0
"FEB 2008",309434845,339781,30096094,267401747,5832382,6104622,166246221,24491360,141754860,143188624,17286264,6120740,0,0,0
"MAR 2008",308688030,326715,29461764,267388682,5832382,6005202,167861481,28310876,139550604,140826550,13837401,6071586,0,0,0
"ABR 2008",309862861,75935,30407240,268516676,5248916,5690030,165677486,28209038,137468448,144185375,20640574,5939188,0,0,0
"MAY 2008",314323879,76336,29887894,273502091,5248916,5684980,169085651,28402496,140683156,145238228,19477316,5939769,0,0,0
"JUN 2008",315859753,75734,31714046,273173604,5248916,5723188,171499568,29269520,142230049,144360186,15846133,5917771,0,0,0
"JUL 2008",321530167,76051,31883792,278653433,5248916,5744027,174844029,32421080,142422949,146686139,12375691,6332005,0,0,0
"AGO 2008",323685749,74534,34022220,278651916,5248916,5762697,174645889,33482984,141162905,149039860,9756429,6613346,0,0,0
"SEP 2008",333178412,75921,36421736,285762652,5248916,5745109,174776015,33381704,141394312,158402398,19630584,7614036,0,0,0
"OCT 2008",330597355,76249,40858152,278746177,5248916,5744110,173569914,31954372,141615542,157027441,22656984,7790300,0,0,0
"NOV 2008",348830202,72298,47392984,290445083,5248916,5743220,187165327,32010740,155154587,161664875,34222552,8415508,0,0,0
"DIC 2008",362890043,62992,52074352,299558377,5248916,6008398,200164395,34510932,165653464,162725648,25905022,8151858,0,0,0
"ENE 2009",364935600,66826,57840784,295861741,5248916,5984160,197991295,35610932,162380364,166944305,33897736,8050583,0,0,0
"FEB 2009",379071283,67182,59495040,308354458,5248916,5972870,210844697,35278272,175566425,168226587,35388888,15105569,0,0,7105000
"MAR 2009",392919826,64461,63338864,318414919,5248916,5917128,221054570,36222288,184832284,171865257,34717752,22452548,0,0,17746000
"ABR 2009",408641150,67163,68750472,329314573,4665448,5910656,232028216,39607744,192420470,176612934,51779964,34047650,0,0,26403100
"MAY 2009",416073009,68736,69600848,335882605,4665448,5924108,235497853,42102608,193395247,180575156,46164700,39874350,0,0,32258100
"JUN 2009",427485318,70414,70674712,346190494,4665448,5954664,242851452,41768840,201082612,184633866,37973740,46398282,0,0,38884188
"JUL 2009",428761736,70126,73474992,344639911,4665448,5981384,239414991,43506596,195908395,189346744,21508964,46948987,0,0,39514896
