"","IE_7_8.1","IE_7_8.2","IE_7_8.3","IE_7_8.4","IE_7_8.5","IE_7_8.6","IE_7_8.7"
"NÚMERO SECUENCIAL",699644,2418519,699648,699649,699650,2418554,252356
"DESCRIPCIÓN DE LA SERIE","Activos de reserva. ","Activos de reserva. Divisas convertibles ","Activos de reserva. Posicion de reserva en el FMI ","Activos de reserva. Deg ","Activos de reserva. Oro monetario","Otros activos de Reserva","PII. Activos de reserva. Oro en miles de onzas troy  "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Onzas troy"
"DIC 2012",38346778,20983844,2411821,3132072,11418399,400642,9054
"ENE 2013",38177122,21192638,2411419,3057433,11108661,406971,9054
"FEB 2013",38838945,21944733,2402186,3101948,10987757,402321,9054
"MAR 2013",39663663,22333010,2450877,3145197,11330442,404138,9054
"ABR 2013",37764845,21822314,2343668,3103919,10109426,385518,9054
"MAY 2013",37169243,21677005,2282994,3086888,9737353,385004,9054
"JUN 2013",35434156,21311848,2349228,3091824,8328689,352567,9054
"JUL 2013",35632836,20984984,2259383,3060735,8984036,343698,9054
"AGO 2013",36194743,20984644,2228920,3074798,9558487,347895,9054
"SEP 2013",35321253,20676188,2295579,3059376,8954864,335246,9054
"OCT 2013",35060158,20510718,2277980,3136280,8801150,334030,9054
"NOV 2013",34544406,20480486,2238448,3142889,8338983,343599,9054
"DIC 2013",33586768,20092720,2152013,3122193,7887808,332034,9054
"ENE 2014",34732845,20701113,2139153,3170564,8399136,322879,9054
"FEB 2014",34442013,20307496,2093448,3019789,8705904,315376,9054
"MAR 2014",34195828,20257916,2096728,3028716,8496917,315550,9054
"ABR 2014",33956699,20046227,2156874,3024211,8418068,311319,9054
"MAY 2014",34463201,20700874,2077954,3061822,8313787,308764,9054
"JUN 2014",34833840,20644514,2114860,3071336,8703741,299390,9054
"JUL 2014",35282232,21035892,2138266,3106489,8692912,308672,9054
"AGO 2014",35768293,21391048,2105913,3127675,8832213,311444,9054
"SEP 2014",36684153,22322011,2125128,3200441,8706221,330424,9054
"OCT 2014",36592154,22497124,2129693,3175715,8431983,357639,9054
"NOV 2014",39327879,25109395,2117499,3160644,8586576,353764,9054
"DIC 2014",41468554,27076260,1888320,3232565,8943013,328396,9054
"ENE 2015",45049576,29281724,1974965,3376573,10089299,327015,9054
"FEB 2015",47377449,32048975,1782214,3393348,9827655,325258,9054
"MAR 2015",51349129,35937848,1614245,3485640,9986557,324839,9054
"ABR 2015",49361697,34503504,1539754,3407125,9594349,316965,9054
"MAY 2015",50302439,35187979,1542443,3446756,9802024,323237,9054
"JUN 2015",49171670,34436695,1516827,3431914,9481394,304839,9054
"JUL 2015",49308937,35201788,1360886,3472536,8964787,308940,9054
"AGO 2015",48840111,34562590,1415381,3420893,9149276,291970,9054
"SEP 2015",48970881,34750963,1424747,3430639,9075162,289371,9054
"OCT 2015",49830009,35284813,1419709,3473254,9355122,297112,9054
"NOV 2015",51007244,36602642,1452336,3556411,9087556,308299,9054
"DIC 2015",49572571,35560354,1425166,3506785,8811335,268930,9054
"ENE 2016",50225155,35746162,1421517,3484120,9286367,286989,9054
"FEB 2016",51547835,36191013,1372185,3501620,10264145,218872,9054
