"","IE_3_3.1","IE_3_3.2","IE_3_3.3","IE_3_3.4","IE_3_3.5","IE_3_3.6","IE_3_3.7","IE_3_3.8","IE_3_3.9","IE_3_3.10","IE_3_3.11","IE_3_3.12","IE_3_3.13","IE_3_3.14"
"ABR 1995",41.16,33.05,29.10,95.00,30.19,23.34,38.71,23.11,28.67,51.60,32.76,20.66,42.69,1.20
"MAY 1995",53.24,51.97,44.05,61.48,35.79,38.38,21.53,22.63,74.27,11.05,-37.57,122.94,8.83,15.89
"JUN 1995",4.87,-1.23,-0.25,43.30,6.45,13.12,-49.56,4.66,-49.95,-81.67,-80.47,-8.51,-49.38,7.52
"JUL 1995",15.13,14.12,12.31,22.06,9.81,10.17,-72.67,-11.52,-60.32,-89.52,-90.80,-27.08,-76.65,7.30
"AGO 1995",7.45,0.87,4.41,56.51,-2.26,-0.22,-52.41,-17.86,-10.09,-71.21,-73.83,28.34,-64.60,-0.77
"SEP 1995",20.70,20.50,22.90,21.89,-1.01,0.06,-71.87,-27.19,-43.85,-76.68,-73.46,-23.76,-78.99,-3.05
"OCT 1995",17.87,18.63,18.35,14.15,7.23,9.32,-42.29,-29.11,-43.06,-38.34,-89.98,-44.59,-41.95,9.24
"NOV 1995",6.93,6.12,7.04,12.50,-15.65,-10.08,-22.14,-28.42,-19.17,0.65,-17.58,-29.42,-23.73,2.13
"DIC 1995",-4.36,-2.35,-2.15,-17.51,-28.13,-24.67,-28.11,-28.38,-30.23,-68.98,-79.74,-11.38,-27.62,-12.46
"ENE 1996",-8.06,-9.41,-9.67,0.41,-4.93,-3.33,-19.44,-19.44,-14.12,17.74,74.35,-22.02,-21.35,-1.67
"FEB 1996",1.30,0.92,-3.50,3.07,-8.26,-7.42,-30.87,-26.29,-21.95,-47.55,-26.00,-11.45,-33.50,-6.99
"MAR 1996",-13.69,-9.56,-8.94,-34.44,-29.01,-31.00,15.88,-9.26,-7.18,298.10,50.29,-20.49,23.77,-16.33
"ABR 1996",-18.11,-14.13,-11.59,-36.13,-7.09,-5.73,37.42,5.46,-34.09,-46.41,-33.46,-28.67,62.95,4.96
"MAY 1996",-37.84,-38.72,-35.14,-32.45,-30.49,-26.77,-51.35,-11.40,-60.27,-65.97,-44.17,-58.09,-47.91,-7.02
"JUN 1996",17.48,25.23,23.55,-16.12,-22.09,-26.53,38.58,-5.40,16.05,-24.52,24.26,26.67,49.40,-9.52
"JUL 1996",-2.90,-2.09,-1.52,-8.16,6.60,3.11,228.71,9.73,66.97,136.66,682.73,55.57,317.36,5.22
"AGO 1996",-5.13,1.37,1.38,-36.32,-3.93,0.07,119.47,19.57,25.98,117.70,162.29,13.05,187.81,0.02
"SEP 1996",-13.64,-12.63,-13.27,-19.42,-7.55,-6.88,97.64,24.79,-10.92,27.78,20.32,-18.16,171.35,6.89
"OCT 1996",6.36,4.97,5.07,13.35,-1.44,-5.59,76.13,30.11,13.34,35.79,545.87,5.27,103.80,6.66
"NOV 1996",12.25,9.43,6.17,30.43,2.67,2.83,1.04,26.96,-7.64,-39.58,26.52,15.92,5.97,-7.71
"DIC 1996",-1.52,-6.86,-5.75,39.88,33.96,24.88,-4.02,22.76,-28.83,35.72,29.49,-39.82,1.57,-6.28
"ENE 1997",11.95,5.48,5.24,48.76,-0.69,0.11,24.85,24.85,55.85,56.20,77.42,55.73,12.70,-4.54
"FEB 1997",1.15,2.00,6.43,-2.72,12.87,9.34,-20.51,-0.65,-9.43,-38.72,-54.83,-2.32,-24.34,0.84
"MAR 1997",-9.63,-14.14,-15.19,21.66,-8.96,-4.34,-53.08,-27.68,-0.18,26.21,226.89,-5.95,-66.64,5.27
"ABR 1997",26.34,19.87,18.51,65.69,8.86,11.36,-46.53,-35.43,36.79,-41.05,-46.14,62.48,-58.56,15.67
"MAY 1997",12.03,10.13,9.16,22.58,1.30,3.44,48.85,-21.69,88.23,91.56,21.48,87.19,37.28,6.83
"JUN 1997",17.41,13.55,14.52,42.33,25.87,32.49,9.20,-16.26,30.11,60.48,-8.37,25.37,1.40,9.93
"JUL 1997",32.26,22.78,22.89,97.78,14.89,15.84,-0.45,-13.20,80.51,96.12,109.97,76.63,-18.21,15.89
"AGO 1997",28.33,26.82,25.07,39.86,15.31,11.73,25.22,-6.87,60.51,77.49,114.90,55.90,13.93,3.88
"SEP 1997",41.94,33.23,30.77,96.39,22.51,22.65,-8.16,-7.01,71.86,34.59,-25.38,82.75,-26.00,10.34
"OCT 1997",14.06,15.34,15.54,8.05,44.47,47.04,10.80,-4.51,47.39,10.99,-13.87,64.27,1.83,11.39
"NOV 1997",3.14,3.63,6.57,0.49,27.49,27.36,55.63,0.66,50.39,109.84,97.55,27.52,58.22,4.77
"DIC 1997",29.90,31.51,31.65,21.56,44.64,53.75,-2.06,0.37,74.80,74.76,7.44,74.81,-14.18,17.88
"ENE 1998",21.43,26.75,26.55,0.00,19.50,18.27,89.21,89.21,127.52,118.76,-82.87,130.82,68.45,13.58
"FEB 1998",21.72,20.74,21.04,26.36,19.88,16.49,81.00,85.52,117.72,281.44,103.20,92.78,65.78,17.82
"MAR 1998",46.73,47.24,48.67,44.21,62.47,53.12,269.64,147.11,54.80,7.84,-10.24,68.56,434.51,26.94
"ABR 1998",4.46,5.10,5.79,1.65,30.91,34.88,18.79,103.44,43.14,225.18,247.21,21.34,7.17,-1.92
"MAY 1998",32.52,34.19,31.75,24.24,50.68,46.28,0.80,71.64,37.02,46.40,-66.66,34.03,-13.80,6.50
"JUN 1998",27.57,25.13,24.31,40.18,48.21,39.22,91.57,76.21,17.74,38.36,78.76,13.62,126.91,19.51
"JUL 1998",22.31,23.96,23.17,15.25,42.44,40.93,73.76,75.67,27.99,70.59,7.07,16.22,95.92,13.52
"AGO 1998",10.59,4.22,4.86,54.79,45.69,42.13,14.13,62.04,4.01,42.35,-42.07,-7.85,18.69,19.73
"SEP 1998",9.02,10.27,12.13,3.68,41.98,28.73,97.71,65.77,-6.24,24.40,46.02,-12.83,151.52,13.73
"OCT 1998",26.99,21.01,19.00,56.95,5.52,6.68,-4.09,54.41,17.85,15.98,47.34,18.44,-11.88,10.08
"NOV 1998",37.58,34.98,30.68,52.09,27.08,24.80,0.61,47.25,-24.13,-62.47,-68.49,0.14,12.24,32.72
"DIC 1998",22.79,16.42,15.40,58.34,17.15,12.84,84.78,51.14,33.16,-6.91,68.09,48.55,101.37,22.22
"ENE 1999",1.70,-2.34,-1.65,22.36,33.64,25.29,-3.93,-3.93,-28.49,29.63,147.66,-49.17,14.05,17.89
"FEB 1999",10.36,9.96,9.86,12.22,32.79,36.81,15.10,4.42,-22.49,-55.58,-52.03,-12.52,35.55,26.01
"MAR 1999",25.27,23.82,22.48,32.51,42.22,35.59,-40.34,-17.98,23.52,54.77,56.01,17.66,-54.53,15.34
"ABR 1999",34.76,33.45,29.87,40.74,20.71,15.41,68.11,-0.87,33.45,19.50,-51.89,37.92,90.18,20.07
"MAY 1999",38.41,38.21,39.32,39.46,43.57,39.67,59.04,10.03,-3.92,-26.88,220.32,4.07,99.37,18.05
"JUN 1999",18.10,17.38,16.92,21.46,22.97,23.24,-10.14,5.00,15.98,43.27,6.31,9.35,-16.62,13.28
"JUL 1999",-18.12,-18.54,-19.00,-16.16,12.61,10.55,-17.32,0.10,-26.06,-42.58,-52.70,-19.37,-14.55,1.87
"AGO 1999",22.37,24.10,22.85,14.29,20.23,14.41,-37.50,-5.76,-27.58,-45.85,-70.55,-18.84,-41.41,9.13
"SEP 1999",19.42,16.86,15.14,30.97,13.14,19.59,-40.11,-10.04,13.39,-16.37,-18.55,22.53,-50.44,8.47
"OCT 1999",-0.55,2.95,3.79,-14.10,8.90,3.64,-18.09,-10.86,-15.59,-16.00,-57.75,-15.46,-19.27,-2.98
"NOV 1999",2.17,4.68,5.15,-10.26,15.81,15.17,-3.66,-10.20,29.62,20.95,5.41,31.68,-14.23,11.06
"DIC 1999",18.41,22.90,23.37,0.00,8.10,9.53,1.40,-8.73,39.21,339.21,-70.69,-32.95,-6.63,10.25
"ENE 2000",22.96,24.47,23.71,16.80,14.01,14.07,-12.28,-12.28,-44.98,-76.08,-19.91,-16.77,2.73,12.34
"FEB 2000",38.41,34.64,32.80,55.21,20.65,21.71,18.89,2.80,29.15,4.44,120.60,32.93,15.70,16.27
"MAR 2000",3.55,3.23,2.78,5.05,8.98,13.64,41.54,16.90,-2.38,-42.55,-48.97,7.51,68.06,14.57
"ABR 2000",-9.71,-6.79,-4.36,-22.32,15.92,21.23,-15.81,5.88,-2.08,-44.27,-31.36,9.64,-21.95,-4.65
"MAY 2000",2.68,-0.39,0.89,19.02,21.85,23.23,29.98,12.21,-2.56,-13.47,-47.88,0.11,40.02,13.17
"JUN 2000",9.18,6.44,7.37,21.40,-6.83,-9.07,-22.37,4.84,36.40,161.12,6.52,-3.33,-42.67,13.55
"JUL 2000",45.91,30.53,29.67,114.78,-7.07,-7.40,-2.58,3.49,34.22,0.52,-3.49,43.95,-12.65,10.92
"AGO 2000",29.58,31.06,31.71,22.08,6.09,7.75,-2.02,2.92,0.39,-6.01,36.09,2.43,-3.20,13.66
"SEP 2000",-0.55,3.89,5.04,-18.45,-4.38,-9.81,0.80,2.75,14.80,40.32,-64.13,9.45,-5.38,11.90
"OCT 2000",15.70,16.06,16.19,14.03,7.90,-9.11,20.52,4.40,16.39,9.25,2.08,18.57,22.57,15.09
"NOV 2000",8.71,5.12,6.90,29.43,0.51,-3.25,36.39,7.51,0.54,29.70,59.69,-5.81,53.61,10.29
"DIC 2000",0.94,2.38,-0.62,-6.34,-12.27,-12.03,-29.95,2.24,-37.41,-86.52,53.14,39.98,-27.59,4.42
"ENE 2001",18.95,19.17,9.16,17.98,4.46,6.40,111.10,111.10,36.44,-13.21,-54.44,49.38,129.45,16.34
"FEB 2001",-17.25,-17.67,-17.71,-15.61,-8.48,-14.75,-48.60,21.76,-10.46,53.21,18.92,-18.12,-61.85,2.21
"MAR 2001",-9.78,-12.28,-12.22,1.70,-4.28,-9.94,-27.13,0.21,3.30,71.96,20.85,-5.74,-37.80,0.01
"ABR 2001",1.06,-6.52,-6.45,40.34,-15.13,-27.67,3.40,1.07,-28.20,49.31,24.29,-39.15,21.12,20.43
"MAY 2001",-19.81,-26.52,-29.85,10.14,-23.42,-27.68,-22.98,-6.26,26.67,98.74,193.82,11.43,-33.65,14.23
"JUN 2001",-12.61,-11.07,-12.24,-18.62,5.41,2.93,142.40,17.22,181.82,219.61,10.19,149.30,110.01,8.13
"JUL 2001",-1.35,1.18,0.40,-8.24,13.75,7.72,86.70,29.09,49.90,172.91,193.98,25.10,102.17,12.85
"AGO 2001",-12.39,-16.72,-16.19,11.15,1.76,-1.50,155.67,41.55,139.05,50.26,31.24,165.03,164.09,7.63
"SEP 2001",4.37,1.93,1.79,16.90,0.16,1.64,111.21,47.22,37.37,140.00,287.54,9.80,150.76,1.85
"OCT 2001",4.37,-1.12,0.31,30.25,3.08,14.51,100.96,52.98,38.02,-8.24,69.26,51.02,130.62,24.27
"NOV 2001",-3.08,-7.55,-7.05,17.94,3.45,2.52,5.08,47.06,71.78,117.27,164.62,58.13,-15.88,7.92
"DIC 2001",-10.93,-19.64,-17.66,37.14,3.62,0.60,30.16,45.43,129.64,401.40,214.23,88.42,2.90,2.81
"ENE 2002",-5.60,-11.23,-5.04,19.11,-1.42,-3.65,9.33,9.33,153.47,422.08,347.67,112.76,-11.74,15.64
"FEB 2002",-2.42,0.11,-1.44,-11.97,6.24,6.19,110.16,33.14,88.07,290.86,130.58,42.45,128.16,11.55
"MAR 2002",-4.81,-10.64,-10.16,18.24,-15.65,-19.07,51.73,39.10,3.17,-8.21,75.13,5.91,80.01,-6.75
"ABR 2002",5.92,9.82,9.04,-7.56,8.88,20.29,34.65,37.88,107.60,71.44,310.97,120.14,10.41,17.72
"MAY 2002",0.78,11.45,13.31,-30.98,6.60,6.63,5.39,29.75,45.42,-2.67,7.39,63.54,-11.03,0.33
"JUN 2002",-11.95,-11.56,-12.12,-13.63,-4.38,-3.01,-34.29,8.84,-64.67,-87.66,-38.73,-39.31,-0.80,-3.75
"JUL 2002",-12.38,-7.09,-5.11,-28.28,0.82,2.93,50.24,19.06,38.32,60.49,-32.75,28.56,53.95,9.88
"AGO 2002",11.45,8.53,7.24,23.34,2.66,5.45,-29.50,10.43,-35.61,18.52,177.44,-44.59,-26.70,-1.17
"SEP 2002",11.08,7.32,6.81,27.88,15.29,18.21,-38.76,4.68,0.97,-54.21,53.32,33.37,-50.42,8.81
"OCT 2002",7.76,14.38,12.59,-15.94,7.53,13.52,3.35,4.50,47.33,289.72,19.30,5.94,-9.05,4.23
"NOV 2002",0.60,2.34,2.64,-5.78,-3.18,-3.71,53.30,8.81,-37.93,-58.78,-74.69,-29.33,111.86,-0.91
"DIC 2002",7.50,20.14,21.09,-33.39,20.96,15.22,58.41,13.09,-32.26,-49.42,-25.60,-25.33,113.84,4.59
"ENE 2003",6.54,13.85,12.14,-17.43,14.30,21.08,12.57,12.57,39.64,219.77,1169.01,-27.34,1.21,-5.10
"FEB 2003",14.50,13.72,14.42,17.83,10.60,11.92,19.90,15.30,14.43,-20.04,18.86,35.70,23.57,-2.29
"MAR 2003",23.49,34.59,33.14,-9.71,27.71,36.50,132.64,56.32,192.35,75.84,16.39,216.61,112.70,19.84
"ABR 2003",21.18,32.25,30.97,-24.22,26.31,21.60,4.48,42.44,-17.99,0.62,-59.62,-23.02,18.53,-0.21
"MAY 2003",45.63,48.98,51.87,29.51,18.94,19.12,83.22,50.73,-4.61,30.85,-44.65,-12.56,142.10,5.12
"JUN 2003",-0.13,4.93,6.61,-22.27,19.04,21.70,-4.94,39.75,-36.18,-27.65,-23.10,-38.09,7.33,10.41
"JUL 2003",16.31,22.60,22.85,-8.17,21.98,26.79,-47.60,12.52,3.08,-66.39,1.55,41.23,-61.80,5.43
"AGO 2003",21.70,18.96,18.99,31.54,-5.14,-9.54,-17.72,9.09,12.97,-10.39,-3.75,21.25,-30.09,-1.85
"SEP 2003",1.78,5.70,6.65,-12.91,9.82,10.77,7.67,8.99,-26.11,-32.47,-44.89,-24.82,27.85,8.95
"OCT 2003",4.13,1.90,2.30,15.00,17.67,17.54,-41.26,1.99,-56.72,-70.45,-44.70,-48.09,-34.20,0.89
"NOV 2003",2.07,4.73,5.10,-8.57,17.64,21.88,-59.62,-5.68,-39.51,-42.25,-39.27,-38.85,-63.40,6.72
"DIC 2003",12.09,4.30,3.48,57.54,23.26,31.58,-49.53,-10.98,-11.20,-33.71,0.74,-5.04,-56.95,11.27
"ENE 2004",-0.23,0.02,4.22,-1.34,-3.78,-8.62,-13.23,-13.23,-48.64,-84.76,-85.74,10.47,7.27,3.04
"FEB 2004",30.38,31.29,33.06,26.61,4.32,10.36,84.21,24.54,-16.97,33.50,-64.58,-35.32,147.17,6.57
"MAR 2004",6.59,5.44,7.19,11.71,13.11,20.90,-27.89,-2.74,-59.83,7.52,82.73,-67.62,-13.23,6.78
"ABR 2004",-1.42,-4.20,-1.84,18.45,0.81,3.55,-8.11,-3.79,-24.02,-60.53,-31.46,-11.14,-1.23,-0.15
"MAY 2004",-10.54,-10.33,-10.78,-11.66,2.19,10.39,-62.46,-18.29,-40.23,-32.82,125.56,-42.72,-68.33,-0.75
"JUN 2004",38.01,32.03,31.28,73.27,18.59,20.61,74.40,-5.86,62.18,162.72,277.60,35.84,77.25,7.93
"JUL 2004",3.95,2.46,3.15,11.64,5.32,10.02,87.77,7.73,1.48,111.52,163.86,-12.91,152.97,-1.01
"AGO 2004",8.83,17.38,18.94,-18.93,33.94,39.31,97.66,15.44,32.75,226.02,-67.98,-17.93,139.90,8.81
"SEP 2004",19.70,20.75,18.61,14.89,10.15,13.66,-12.64,13.54,6.55,91.57,71.09,-8.85,-19.27,4.95
"OCT 2004",8.29,12.14,13.31,-8.33,-5.74,-4.48,4.43,12.81,65.74,65.67,6.79,65.76,-13.98,-6.07
"NOV 2004",40.27,45.48,45.82,16.43,14.80,16.07,59.96,15.32,160.08,176.05,175.80,156.45,28.84,12.76
"DIC 2004",17.81,22.93,21.84,-1.97,-5.78,-0.49,61.69,18.50,144.61,365.39,259.03,102.46,28.57,6.13
"ENE 2005",4.44,5.97,4.86,-2.55,4.67,13.16,62.97,62.97,21.02,117.88,-17.80,-0.84,74.60,0.18
"FEB 2005",2.25,4.72,6.15,-8.35,6.83,5.75,-38.74,4.66,25.97,-52.68,91.45,85.00,-52.27,2.77
"MAR 2005",1.92,7.38,7.88,-21.02,2.97,-3.20,4.88,4.74,100.99,109.71,-16.40,97.64,-15.54,0.68
"ABR 2005",-1.02,-3.09,-5.44,10.98,7.61,12.93,58.14,14.76,95.98,229.29,213.02,75.07,45.55,20.42
"MAY 2005",21.07,21.77,24.18,17.14,4.72,3.59,142.18,29.22,122.45,28.50,-19.43,159.44,152.01,14.62
"JUN 2005",16.77,16.52,17.99,17.92,2.45,2.19,-10.69,19.31,93.61,-19.06,21.23,150.69,-32.97,6.70
"JUL 2005",26.79,22.69,21.88,46.30,-2.47,-10.65,-30.93,6.60,8.67,68.32,-21.40,-10.27,-42.93,1.74
"AGO 2005",8.29,13.66,12.40,-16.96,-6.04,-1.81,20.46,8.63,10.20,-23.89,559.03,45.71,24.16,15.67
"SEP 2005",8.50,10.46,13.46,-0.93,20.91,19.86,89.66,12.84,47.96,8.94,2.42,62.81,108.67,7.42
"OCT 2005",5.44,6.32,5.74,0.82,3.07,4.91,62.68,16.54,31.68,-12.13,189.31,47.34,80.62,6.26
"NOV 2005",-6.84,-7.01,-7.64,-5.88,5.83,6.84,42.97,18.49,81.48,88.39,101.18,79.79,18.80,3.89
"DIC 2005",5.43,4.24,4.61,11.21,14.77,13.67,15.12,18.17,-21.21,-35.69,-16.79,-14.85,42.72,8.79
"ENE 2006",28.52,28.60,28.84,28.14,24.21,19.22,25.02,25.02,141.63,259.83,192.92,83.00,2.62,15.46
"FEB 2006",14.36,16.56,15.87,3.57,5.73,4.64,8.62,19.52,16.86,132.26,156.35,-5.30,4.07,12.95
"MAR 2006",26.82,21.30,21.47,58.41,15.46,18.28,18.44,19.10,26.19,62.81,279.75,11.27,14.52,22.02
"ABR 2006",12.55,2.81,5.09,61.81,-16.01,-13.80,25.60,20.78,37.65,-28.81,6.20,57.24,20.20,-8.87
"MAY 2006",16.11,8.08,7.33,63.02,11.22,15.26,68.61,30.95,46.49,203.39,144.77,15.89,78.34,9.95
"JUN 2006",1.59,4.63,3.87,-11.90,12.27,15.21,10.96,27.23,4.78,54.54,5.78,-3.36,14.77,10.76
"JUL 2006",9.92,10.23,10.34,8.66,13.47,20.60,0.73,22.89,-13.24,-47.73,4.48,7.30,8.80,9.36
"AGO 2006",28.33,22.52,24.45,65.70,34.15,36.80,31.12,24.23,44.31,18.54,44.51,58.34,26.90,6.29
"SEP 2006",28.67,30.39,30.97,19.50,83.88,93.72,25.34,24.33,70.15,184.77,179.74,40.96,10.85,1.70
"OCT 2006",46.30,42.48,42.70,67.54,18.33,20.09,57.94,27.81,37.10,164.16,32.49,10.01,66.73,13.15
"NOV 2006",36.13,31.38,32.00,62.96,-7.57,-8.55,45.21,29.36,-12.29,-17.54,-27.05,-10.95,100.32,7.14
"DIC 2006",20.59,22.96,23.74,9.88,-14.58,-16.41,59.89,32.14,25.69,118.91,18.96,-5.20,74.24,5.36
"ENE 2007",24.69,27.93,26.38,8.50,-1.44,-2.68,1.74,1.74,-16.92,-68.37,-16.19,33.25,10.18,14.77
"FEB 2007",-2.50,-2.30,-1.80,-3.57,-5.44,-5.34,56.32,18.38,95.32,2.65,22.55,138.97,32.15,3.91
"MAR 2007",24.16,18.74,19.31,47.88,23.75,27.77,2.10,12.13,9.83,-20.22,-24.17,27.74,-2.21,-0.65
"ABR 2007",6.44,14.18,14.25,-18.44,8.39,5.70,-12.13,5.61,-24.18,74.09,44.40,-37.30,-5.95,2.78
"MAY 2007",14.52,15.87,17.08,9.30,-18.98,-22.26,-10.70,1.14,-3.58,-46.46,-24.36,18.31,-13.27,-2.08
"JUN 2007",-2.42,-2.32,-3.75,-2.96,-25.17,-28.17,18.13,3.90,-1.04,-54.17,-35.62,12.86,28.94,-4.14
"JUL 2007",-18.01,-15.88,-15.10,-26.64,-33.95,-38.06,20.64,6.15,-30.19,-38.82,-52.39,-27.69,44.03,3.91
"AGO 2007",-16.49,-16.20,-16.68,-17.87,-36.53,-40.29,-55.83,-4.49,-56.57,-76.77,-79.24,-48.34,-55.56,-2.24
"SEP 2007",-26.83,-39.94,-40.61,49.53,-64.19,-66.39,-42.31,-7.82,-49.98,-68.38,-89.52,-40.51,-38.51,-5.23
"OCT 2007",-28.50,-29.25,-30.05,-24.94,-27.71,-31.36,-33.34,-11.09,-29.05,-50.34,-54.37,-18.15,-34.83,4.32
"NOV 2007",-34.85,-38.05,-38.68,-20.28,-24.57,-25.78,-39.01,-13.88,-39.89,-42.49,-55.71,-39.28,-38.64,-0.52
"DIC 2007",-38.23,-48.86,-48.81,15.75,-26.37,-36.20,-27.61,-15.40,-24.53,-60.29,-1.99,2.84,-28.54,-11.40
"ENE 2008",-42.51,-48.81,-47.86,-5.39,-43.78,-47.41,-2.31,-2.31,46.94,35.36,71.15,49.62,-19.11,-7.76
"FEB 2008",-39.26,-46.35,-48.37,0.42,-39.27,-46.94,15.05,4.68,-39.89,-32.91,-40.48,-41.31,65.36,-5.06
"MAR 2008",-50.62,-51.29,-53.90,-48.25,-67.32,-70.50,70.51,27.70,-33.89,-51.95,-64.05,-27.16,135.81,-25.23
"ABR 2008",-33.47,-38.69,-40.08,-9.99,-38.58,-40.57,71.91,37.59,109.12,61.05,3.41,126.95,56.52,-2.21
"MAY 2008",-54.83,-59.59,-60.23,-35.29,-55.54,-58.67,-66.80,12.34,-80.29,-70.71,-68.04,-82.50,-61.38,-21.09
"JUN 2008",-45.55,-51.78,-50.96,-12.49,-52.28,-59.18,-66.86,-2.26,-58.79,43.85,-47.30,-69.70,-70.35,-33.09
"JUL 2008",-49.41,-55.63,-56.16,-20.49,-52.01,-54.53,-10.46,-3.51,5.16,-37.86,27.63,15.72,-13.95,-21.32
"AGO 2008",-62.34,-69.62,-69.69,-27.00,-60.32,-64.53,9.84,-2.45,67.24,250.54,483.99,33.66,-10.56,-30.54
"SEP 2008",-49.39,-50.27,-50.03,-47.35,-50.74,-57.54,41.05,-0.06,16.69,27.06,205.17,13.85,50.88,-24.60
"OCT 2008",-53.52,-59.19,-59.92,-28.24,-56.84,-62.10,-12.94,-1.30,-37.26,-61.19,3.95,-29.83,-3.75,-34.12
"NOV 2008",-57.99,-61.68,-62.71,-44.90,-57.91,-63.61,29.36,0.88,45.33,225.97,372.20,4.74,22.80,-41.12
"DIC 2008",-41.35,-41.76,-42.45,-40.42,-44.52,-46.29,20.71,2.75,-14.77,-18.17,-44.26,-13.77,32.05,-39.65
"ENE 2009",-61.63,-63.11,-63.45,-56.89,-61.54,-63.50,-20.86,-20.86,-30.17,21.72,-60.95,-41.04,-15.09,-55.42
"FEB 2009",-44.68,-54.14,-52.25,-16.39,-62.47,-65.30,56.54,13.40,84.19,12.37,3.10,100.79,47.34,-46.91
"MAR 2009",-56.67,-63.10,-61.97,-35.39,-46.74,-58.03,-27.03,-5.48,49.42,7.48,8.46,59.73,-40.44,-35.34
"ABR 2009",-45.77,-48.53,-46.79,-37.31,-60.93,-66.77,-49.31,-17.73,-56.44,-39.24,-21.68,-60.97,-45.37,-45.33
"MAY 2009",-42.33,-43.92,-43.54,-38.25,-48.00,-55.67,43.43,-13.36,147.87,139.47,-5.97,151.11,22.01,-37.36
"JUN 2009",-22.24,-42.85,-44.06,38.07,-52.29,-57.46,94.25,-6.63,87.30,-14.09,49.00,138.42,98.43,-19.55
"JUL 2009",-47.81,-49.06,-51.01,-44.56,-46.19,-51.25,-0.53,-5.76,41.51,360.02,256.74,-0.47,-11.99,-29.29
"AGO 2009",-36.52,-46.94,-46.60,-15.47,-52.72,-54.56,8.81,-4.46,-13.81,-33.63,-51.27,-4.29,23.84,-19.35
"SEP 2009",-29.56,-40.52,-43.11,-5.36,-46.99,-52.52,-12.69,-5.10,-6.87,-43.26,-65.38,4.24,-14.50,-21.59
"OCT 2009",-52.98,-54.96,-54.37,-47.97,-42.38,-45.60,-34.68,-7.60,-5.87,4.63,-6.56,-7.67,-41.78,-21.68
"NOV 2009",-30.85,-34.37,-31.83,-22.16,-37.10,-39.70,-32.63,-9.88,-35.12,-34.89,-96.70,-35.29,-31.41,-10.51
"DIC 2009",-36.28,-34.98,-37.19,-39.11,-42.41,-50.67,6.30,-8.09,-5.55,45.01,54.97,-19.73,8.75,-21.58
"ENE 2010",-9.98,-9.75,-13.03,-10.60,-29.48,-40.59,-54.98,-54.98,-46.41,-63.00,-48.19,-39.24,-59.35,-20.35
"FEB 2010",-42.52,-33.97,-34.08,-56.53,-20.85,-23.96,-57.59,-56.57,-37.56,-48.55,-37.91,-36.14,-65.92,-25.63
"MAR 2010",-42.38,-39.26,-39.19,-48.28,-24.46,-11.55,-44.54,-52.23,-11.26,93.82,80.59,-28.62,-59.18,-16.41
"ABR 2010",-48.71,-53.05,-53.45,-37.80,-23.74,-23.67,-28.48,-48.14,7.71,-67.32,-64.84,38.44,-44.42,-9.11
"MAY 2010",-44.14,-50.62,-51.05,-29.07,-15.06,-14.40,0.38,-42.40,26.61,-15.66,-40.98,42.20,-10.55,-7.28
"JUN 2010",-52.21,-39.48,-40.02,-67.62,3.00,8.98,-22.32,-39.79,-39.68,-36.19,-9.89,-40.31,-12.47,-10.72
"JUL 2010",-30.02,-28.16,-25.73,-34.45,-13.13,-23.60,-55.96,-42.21,-28.68,-56.94,-66.74,-11.47,-67.91,-15.18
"AGO 2010",-5.22,15.49,15.23,-31.47,-1.57,1.98,-29.72,-40.94,-31.93,-48.79,-46.30,-26.31,-28.69,-12.92
"SEP 2010",-28.90,-15.33,-15.13,-47.73,1.44,-0.70,-16.24,-39.17,-26.49,20.62,125.79,-34.31,-12.76,-18.14
"OCT 2010",-15.96,-19.54,-20.66,-8.08,-27.74,-30.45,-3.72,-37.05,28.37,52.51,-51.25,23.67,-16.50,-18.61
"NOV 2010",2.04,10.15,2.24,-14.80,-13.17,-13.66,-14.87,-35.54,-28.42,-61.14,347.52,-5.40,-8.63,-22.07
"DIC 2010",11.13,10.03,11.33,13.70,-15.60,-4.39,-61.52,-38.87,-10.86,-73.43,-66.84,20.82,-70.60,-7.58
"ENE 2011",14.42,22.66,21.78,-8.25,-4.84,13.93,-22.55,-22.55,-27.64,-45.81,30.13,-22.85,-19.13,0.79
"FEB 2011",-17.74,-19.88,-24.72,-12.42,-6.27,5.01,-45.93,-36.50,-57.55,-58.62,-72.00,-57.44,-37.07,3.68
"MAR 2011",25.38,17.68,20.69,42.48,-16.18,-23.27,-57.90,-45.46,-66.49,-65.78,-92.57,-66.81,-49.69,-3.11
"ABR 2011",6.17,-10.03,-11.64,36.92,-22.95,-24.98,-52.23,-47.07,-62.73,30.35,98.39,-71.72,-43.27,-14.80
"MAY 2011",2.59,17.16,16.93,-21.02,-21.90,-20.06,-34.67,-44.51,-56.31,-64.87,19.49,-54.44,-21.91,-13.59
"JUN 2011",-13.02,-24.24,-21.83,12.35,-20.70,-11.20,-56.44,-46.51,-50.56,0.91,-46.18,-60.55,-58.74,-23.01
"JUL 2011",-24.06,-30.73,-31.51,-6.63,-19.01,-12.87,-44.20,-46.25,-61.15,-53.61,-38.76,-63.39,-27.69,-25.12
"AGO 2011",-24.87,-27.36,-28.83,-19.54,-4.64,-8.97,-50.95,-46.82,-47.59,-48.61,-59.53,-47.35,-52.43,-18.25
