"","IE_8_2.1","IE_8_2.2","IE_8_2.3","IE_8_2.4","IE_8_2.5","IE_8_2.6","IE_8_2.7","IE_8_2.8","IE_8_2.9","IE_8_2.10","IE_8_2.11","IE_8_2.12","IE_8_2.13","IE_8_2.14","IE_8_2.15"
"AGO 2010",517338200,3.96,0.67,4.75,543059941,1.74,2.71,-5.51,-26.43,152318464,-13.08,-31.49,-1.00,0.65,-5.13
"SEP 2010",510626120,1.73,0.68,1.98,549521283,3.84,4.89,-2.79,-33.27,161583048,-8.37,-29.86,5.99,0.72,-3.54
"OCT 2010",506253915,0.56,0.08,0.67,552982915,6.33,7.18,1.37,-30.06,160381616,-9.04,-31.51,5.83,1.24,-2.63
"NOV 2010",503983910,-0.17,-0.42,-0.12,558238746,7.38,7.46,10.68,-21.16,155653943,-11.83,-34.23,2.91,1.23,-1.45
"DIC 2010",518338952,-0.18,-0.33,-0.15,560423694,6.54,6.40,12.05,-18.33,154759267,-12.47,-35.58,2.15,0.81,-1.68
"ENE 2011",504568393,-2.02,-0.36,-2.40,554307874,5.95,7.12,-6.62,-17.29,154867192,-11.83,-37.26,4.11,-0.41,-1.53
"FEB 2011",506121097,-1.82,-0.43,-2.13,562863439,8.64,8.84,8.08,-8.63,155693496,-10.80,-37.50,5.40,0.97,0.62
"MAR 2011",514303981,1.03,-1.28,1.58,566362308,8.02,7.48,15.84,4.21,153648591,-11.80,-35.56,1.79,2.26,1.23
"ABR 2011",512058126,1.28,-0.75,1.76,565448864,8.05,7.86,13.41,-14.34,153050073,-11.71,-34.73,1.14,2.48,1.81
"MAY 2011",509650839,-0.51,-2.02,-0.16,570573795,7.99,7.37,16.55,2.24,151712761,-10.00,-32.62,2.21,1.85,2.17
"JUN 2011",523412412,-1.42,-2.37,-1.20,574587158,7.49,6.98,16.15,-12.22,149648695,-8.48,-22.25,-2.24,1.90,2.59
"JUL 2011",515472804,-1.55,-2.76,-1.27,572992511,5.75,4.43,25.23,-15.80,147210608,-3.72,-20.39,3.97,1.18,2.01
"AGO 2011",506418176,-2.11,-2.86,-1.94,577508078,6.34,4.46,34.22,-22.93,145717256,-4.33,-19.02,2.34,1.31,2.05
"SEP 2011",502641406,-1.56,-2.23,-1.41,578719886,5.31,2.87,39.00,-13.01,143143602,-11.41,-21.96,-6.75,0.93,0.55
"OCT 2011",495641968,-2.10,-2.08,-2.10,578168022,4.55,0.77,56.90,-12.71,143202012,-10.71,-20.09,-6.70,0.44,0.67
"NOV 2011",500041262,-0.78,-1.71,-0.56,574734858,2.96,-1.59,62.59,-19.23,140428319,-9.78,-18.73,-6.02,0.35,0.06
"DIC 2011",509933736,-1.62,-1.96,-1.54,580073295,3.51,-2.27,79.74,-28.30,139105425,-10.11,-15.58,-7.93,0.39,-1.05
"ENE 2012",493743243,-2.15,-2.30,-2.11,581102331,4.83,-3.13,134.00,-30.69,140587264,-9.22,-11.96,-8.19,0.99,1.04
"FEB 2012",491927250,-2.80,-2.57,-2.86,587523198,4.38,-3.48,118.76,-32.60,141835312,-8.90,-7.70,-9.33,0.66,0.62
"MAR 2012",497659306,-3.24,-2.04,-3.51,589556363,4.10,-3.78,107.92,-37.46,141719816,-7.76,-6.76,-8.13,0.34,-0.43
"ABR 2012",488661457,-4.57,-2.38,-5.07,583634799,3.22,-4.68,103.73,-35.85,139838062,-8.63,-6.57,-9.38,-0.70,-0.63
"MAY 2012",500705722,-1.76,0.57,-2.29,575564118,0.87,-6.88,95.67,-34.17,136407189,-10.09,-6.79,-11.26,-0.59,-1.33
"JUN 2012",522572020,-0.16,2.93,-0.85,570990525,-0.63,-8.43,91.09,-30.10,135479653,-9.47,-8.63,-9.77,-0.69,-1.93
"JUL 2012",504915163,-2.05,3.02,-3.21,562962800,-1.75,-9.23,79.79,-11.38,134472440,-8.65,-7.79,-8.96,-2.09,-3.43
"AGO 2012",504903447,-0.30,3.67,-1.21,561564583,-2.76,-9.57,66.35,-7.84,135687094,-6.88,-7.81,-6.55,-1.82,-4.60
"SEP 2012",503634860,0.20,2.30,-0.29,563580560,-2.62,-8.81,57.28,-10.38,135859668,-5.09,-9.09,-3.61,-1.58,-3.00
"OCT 2012",492466358,-0.64,1.05,-1.04,566968041,-1.94,-6.34,36.22,-9.23,135378688,-5.46,-10.28,-3.70,-1.65,-1.68
"NOV 2012",498091846,-0.39,-1.99,-0.02,572244876,-0.43,-2.85,17.86,1.19,133999345,-4.58,-10.95,-2.26,-0.77,-0.51
"DIC 2012",506551386,-0.66,-3.15,-0.09,580599989,0.09,-0.22,1.68,12.34,134897026,-3.03,-9.99,-0.48,-0.58,0.34
"ENE 2013",494821156,0.22,-3.62,1.12,584622227,0.61,1.51,-5.68,12.22,136983884,-2.56,-9.06,-0.21,0.11,0.42
"FEB 2013",498983402,1.43,-3.83,2.67,583245357,-0.73,1.47,-15.10,22.38,138799525,-2.14,-9.46,0.54,-0.07,-0.55
"MAR 2013",511746160,2.83,-2.56,4.08,577934123,-1.97,1.90,-25.08,13.94,142006176,0.20,-5.52,2.30,0.03,-0.27
"ABR 2013",506907770,3.73,-2.21,5.14,572417098,-1.92,2.66,-29.21,31.76,144681584,3.46,-2.36,5.63,0.55,-0.66
"MAY 2013",513914962,2.64,-4.41,4.30,570794639,-0.83,4.88,-33.90,32.09,146105596,7.11,1.72,9.12,0.82,-0.77
"JUN 2013",532910049,1.98,-6.55,3.96,562641810,-1.46,5.41,-39.33,6.89,147205557,8.66,8.67,8.65,0.45,-0.16
"JUL 2013",519845299,2.96,-7.44,5.49,567145017,0.74,8.03,-39.02,0.87,151509505,12.67,14.74,11.93,2.21,0.80
"AGO 2013",523693831,3.72,-7.86,6.51,571038791,1.69,8.99,-38.27,-2.60,152580737,12.45,16.93,10.86,3.11,2.78
"SEP 2013",522308151,3.71,-7.62,6.39,568348782,0.85,8.25,-39.88,-10.22,157277761,15.76,21.39,13.80,2.81,0.43
"OCT 2013",520816136,5.76,-7.33,8.89,566140965,-0.15,6.46,-38.45,-15.49,161545802,19.33,28.01,16.36,3.40,-1.35
"NOV 2013",532530285,6.91,-4.83,9.58,562995828,-1.62,4.38,-37.83,-33.18,164781092,22.97,36.45,18.51,3.38,-2.01
"DIC 2013",538785420,6.36,-4.62,8.83,559445672,-3.64,0.71,-31.62,-32.11,168369515,24.81,38.72,20.21,2.15,-3.59
"ENE 2014",536309247,8.38,-4.29,11.22,554782571,-5.10,0.02,-39.85,-26.11,172038206,25.59,41.49,20.34,2.31,-3.09
"FEB 2014",526727147,5.56,-4.23,7.71,550916062,-5.54,-0.66,-40.55,-28.96,176025043,26.82,42.76,21.56,0.91,-3.38
"MAR 2014",539807499,5.48,-5.85,7.95,545348888,-5.64,-1.01,-41.44,-22.98,180820575,27.33,38.70,23.47,0.84,-3.64
"ABR 2014",534899707,5.52,-6.57,8.18,538577356,-5.91,-1.78,-38.74,-31.85,183840319,27.07,37.71,23.41,0.73,-2.72
"MAY 2014",551144213,7.24,-7.01,10.33,534386153,-6.38,-3.07,-34.43,-28.59,188531787,29.04,37.19,26.20,1.32,-1.74
"JUN 2014",567645225,6.52,-7.15,9.38,525355024,-6.63,-3.74,-33.92,-9.26,193915680,31.73,33.03,31.26,0.92,-0.38
"JUL 2014",561265190,7.97,-7.14,11.20,516714790,-8.89,-5.68,-39.45,-17.46,197141851,30.12,31.55,29.59,0.34,1.58
"AGO 2014",565899936,8.06,-7.30,11.26,508746339,-10.91,-7.26,-45.67,-20.39,199821911,30.96,31.77,30.66,-0.61,0.76
"SEP 2014",564270757,8.03,-7.76,11.29,502689814,-11.55,-7.72,-49.52,-18.40,203233349,29.22,30.72,28.66,-0.93,1.58
"OCT 2014",556684959,6.89,-7.56,9.83,492859298,-12.94,-9.21,-51.27,-8.30,204602446,26.65,28.95,25.79,-2.18,1.88
"NOV 2014",572737635,7.55,-7.38,10.50,483393964,-14.14,-10.68,-51.77,7.94,208807387,26.72,27.11,26.57,-2.37,2.79
"DIC 2014",579004870,7.46,-6.82,10.28,483538907,-13.57,-11.03,-40.57,26.25,209855821,24.64,24.35,24.75,-2.13,4.25
"ENE 2015",577980441,7.77,-6.74,10.56,468580850,-15.54,-12.55,-52.08,18.69,214803165,24.86,21.79,26.05,-2.99,2.37
"FEB 2015",584787512,11.02,-6.55,14.45,461735543,-16.19,-13.39,-52.54,14.78,221980410,26.11,19.87,28.52,-1.90,3.86
"MAR 2015",590739875,9.44,-6.11,12.38,452578193,-17.01,-14.75,-48.84,6.54,231360121,27.95,15.77,32.60,-2.99,4.72
"ABR 2015",596903907,11.59,-5.69,14.87,443286240,-17.69,-15.12,-52.94,-2.09,234836905,27.74,11.98,33.78,-2.42,5.51
"MAY 2015",609485970,10.59,-5.59,13.54,435094357,-18.58,-16.19,-50.36,-13.82,237117681,25.77,7.22,32.80,-3.27,5.80
"JUN 2015",627871555,10.61,-5.77,13.52,426443666,-18.83,-16.94,-44.31,-26.67,232623850,19.96,1.59,26.76,-3.30,4.00
"JUL 2015",627659587,11.83,-4.88,14.82,416346017,-19.42,-17.56,-47.13,-24.32,235943534,19.68,-1.48,27.56,-3.07,3.98
"AGO 2015",628465270,11.06,-5.30,13.90,408352131,-19.73,-17.83,-50.85,-23.71,232160164,16.18,-5.49,24.36,-3.62,3.71
"SEP 2015",638338128,13.13,-4.88,16.20,400112660,-20.41,-18.48,-55.33,-23.16,229154648,12.75,-7.66,20.47,-2.92,4.79
"OCT 2015",636560521,14.35,-4.65,17.60,396285499,-19.59,-17.76,-53.73,-26.69,234278085,14.50,-9.64,23.81,-2.01,5.70
"NOV 2015",646081953,12.81,-4.57,15.68,388700670,-19.59,-18.00,-50.14,-24.55,236520661,13.27,-9.95,22.17,-2.43,6.37
"DIC 2015",663876431,14.66,-4.62,17.87,385564110,-20.26,-17.37,-61.67,-34.92,233360541,11.20,-10.43,19.43,-1.71,5.33
"ENE 2016",663388463,14.78,-4.28,17.87,381310829,-18.62,-17.21,-46.43,-33.09,230087508,7.12,-10.14,13.59,-0.71,7.39
"FEB 2016",659916528,12.85,-4.41,15.60,380113833,-17.68,-16.49,-42.70,-30.41,228184303,2.79,-10.55,7.61,-1.15,6.88
