"","IE_6_3.1","IE_6_3.2","IE_6_3.3","IE_6_3.4","IE_6_3.5","IE_6_3.6","IE_6_3.7","IE_6_3.8","IE_6_3.9","IE_6_3.10","IE_6_3.11","IE_6_3.12","IE_6_3.13","IE_6_3.14","IE_6_3.15","IE_6_3.16"
"AGO 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",3910960,13879397,9968437
"SEP 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",2941698,11870281,8928583
"OCT 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",14909769,26804188,11894418
"NOV 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-975459,10079511,11054970
"DIC 2007","_","_","_","_","_","_","_","_","_","_","_","_","_",-3968168,11432089,15400257
"ENE 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-5289907,12832968,18122876
"FEB 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",9121148,18801596,9680447
"MAR 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-2558819,6546422,9105241
"ABR 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",7103641,18064628,10960986
"MAY 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-5190629,3677656,8868285
"JUN 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-5250472,5700917,10951389
"JUL 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-8488079,11139436,19627516
"AGO 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-4483671,4824159,9307830
"SEP 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",2027482,11977812,9950330
"OCT 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",6190862,19074028,12883166
"NOV 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-4219953,7510058,11730011
"DIC 2008","_","_","_","_","_","_","_","_","_","_","_","_","_",-7708303,9185786,16894088
"ENE 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-2357929,10376610,12734539
"FEB 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",2287833,18278992,15991159
"MAR 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-11274801,2613616,13888417
"ABR 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",2877564,14612502,11734938
"MAY 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-10635093,-201932,10433161
"JUN 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-17716204,672553,18388756
"JUL 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-14127295,11404561,25531856
"AGO 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-11506317,1423804,12930121
"SEP 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-347292,11520511,11867803
"OCT 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",5197908,18816164,13618255
"NOV 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-10906696,5574902,16481598
"DIC 2009","_","_","_","_","_","_","_","_","_","_","_","_","_",-18772756,6946051,25718806
"ENE 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-3589687,10725044,14314731
"FEB 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-4169061,16804620,20973682
"MAR 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-7787183,5228909,13016092
"ABR 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",3153367,16801456,13648088
"MAY 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-10485286,1746139,12231425
"JUN 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-7916244,4079943,11996187
"JUL 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",1113519,20944272,19830754
"AGO 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-7373809,2599359,9973168
"SEP 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-884806,13746723,14631529
"OCT 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",3089538,19220064,16130527
"NOV 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-8197713,7313472,15511185
"DIC 2010","_","_","_","_","_","_","_","_","_","_","_","_","_",-9187556,8127411,17314968
"ENE 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-7706499,9483667,17190166
"FEB 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",2124607,13446630,11322023
"MAR 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-3578981,4521776,8100757
"ABR 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",3018050,16196074,13178024
"MAY 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-7939055,958325,8897380
"JUN 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-9413635,1081381,10495016
"JUL 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",2885653,15697664,12812011
"AGO 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-13672664,1676929,15349593
"SEP 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",2301617,10119306,7817689
"OCT 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",5328665,20146942,14818277
"NOV 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-11814569,4067653,15882222
"DIC 2011","_","_","_","_","_","_","_","_","_","_","_","_","_",-8482987,6748401,15231388
"ENE 2012",-6770000,10510000,4796000,1735000,424000,2784000,771000,17280000,1367000,2062000,10980000,3000,2868000,-9040322,9194467,18234788
"FEB 2012",-9367000,9679000,5386000,713000,63000,2590000,927000,19046000,1373000,1957000,11055000,1000,4660000,-155256,13868434,14023690
"MAR 2012",1177000,18895000,7530000,2369000,1274000,6620000,1102000,17718000,1389000,2089000,11315001,15000,2909999,-3623952,5516192,9140144
"ABR 2012",-4401000,10944000,2675000,1788000,353000,4984000,1144000,15345000,1371000,2026000,9025000,48000,2875000,3625479,17157708,13532230
"MAY 2012",-10821000,4970000,2096000,1635000,104000,169000,966000,15791000,1358000,2088000,9504000,57000,2784000,-10599408,185872,10785280
"JUN 2012",-6668000,16391000,6254000,1552000,250000,6548000,1787000,23059000,2430000,1998000,15051999,253000,3326001,-13253702,3111855,16365557
"JUL 2012",-3492000,26462004,2075000,1705000,188000,-4504000,26998004,29954004,1381000,2112000,23993004,26000,2442000,2091363,19165164,17073800
"AGO 2012",-2633998,10118000,2649000,1636000,116000,4648000,1069000,12751998,1351000,2045000,6627998,48000,2680000,-8234151,-1374448,6859703
"SEP 2012",4566998,18389000,8356000,1846000,441000,6405000,1341000,13822002,1379000,2016000,7576002,49000,2802000,4536611,13259725,8723114
"OCT 2012",2513003,16346000,4003000,1589000,169000,9439000,1146000,13832997,1358000,2137000,7537997,93000,2707000,9093412,21768284,12674872
"NOV 2012",-3089003,10587000,3065000,1721000,117000,4126000,1558000,13676003,1463000,2054000,7276003,90000,2793000,-2177875,6464483,8642358
"DIC 2012",-5108000,19742000,2518000,1492000,4060000,8167000,3505000,24850000,1771000,3110000,13035999,1157000,5776001,-1274718,15026495,16301213
"ENE 2013",-7017000,10887000,5017000,1744000,311000,2940000,875000,17904000,1330000,2349000,10866000,42000,3317000,-15251629,5789091,21040720
"FEB 2013",-7416000,10777000,5575000,1523000,273000,2472000,934000,18193000,1344000,2100000,10596000,43000,4110000,-159684,11659842,11819526
"MAR 2013",3398000,18823000,7611000,1448000,1990000,6445000,1329000,15425000,1351000,2369000,9030000,34000,2641000,-3429841,6693730,10123571
"ABR 2013",-6423000,11675000,2865000,1704000,575000,5202000,1329000,18098000,1335000,2345000,11549000,82000,2787000,1436794,16505023,15068229
"MAY 2013",-8726000,7262000,2854000,2034000,516000,565000,1293000,15988000,1324000,2409000,9587000,8000,2660000,-7679385,2135834,9815219
"JUN 2013",-6239000,17447000,7211000,2053000,313000,5787000,2083000,23686000,2411000,2386000,15226000,49000,3614000,-12265697,2788862,15054559
"JUL 2013",-4429000,16793000,3617000,1740000,424000,7478000,3534000,21222000,1323000,2501000,14495000,21000,2882000,1575494,22136064,20560570
"AGO 2013",-2359000,11459000,3022000,1682000,732000,4398000,1625000,13818000,1312000,2458000,6964000,60000,3024000,-9411697,-1096489,8315208
"SEP 2013",3278000,16906000,7229000,2146000,398000,5881000,1252000,13628000,1343000,2389000,7306000,57000,2533000,3425797,12562288,9136491
"OCT 2013",-73000,17277000,4027000,1761000,615000,9538000,1336000,17350000,1305000,2506000,10820000,113000,2606000,8206148,22705776,14499628
"NOV 2013",-3100000,11489000,3165000,2346000,326000,3996000,1656000,14589000,1333000,2406000,8273000,46000,2531000,-4154312,5910831,10065143
"DIC 2013",-6274000,18919000,3128000,1523000,3364000,7466000,3438000,25193000,2529000,2579000,11355000,811000,7919000,-1969631,13327483,15297114
"ENE 2014",-6284000,11040000,4914000,1889000,434000,2934000,869000,17324000,1320000,2538000,10528000,27000,2911000,-15855559,5220951,21076510
"FEB 2014",-6712000,11345000,5326000,2113000,353000,2566000,987000,18057000,1314000,2279000,10220000,34000,4210000,4463767,16092414,11628647
"MAR 2014",3396001,20148000,8035000,1519000,1872000,7398000,1324000,16751999,1329000,2546000,10009999,32000,2835000,-2979340,6773975,9753315
"ABR 2014",-4980000,13062000,3763000,1726000,691000,5706000,1176000,18042000,1319000,2479000,10382000,41000,3821000,-729882,13440442,14170324
"MAY 2014",-11501000,6000000,2830000,1895000,451000,-421000,1245000,17501000,1310000,2537000,10713001,24000,2916999,-3307540,7653910,10961450
"JUN 2014",-403000,18982000,7452000,1696000,590000,6863000,2381000,19385000,2368000,2483000,10683999,146000,3704001,-8793335,3855188,12648523
"JUL 2014",-5708998,16301000,3820000,1943000,567000,6591000,3380000,22009998,1332000,2622000,15224998,49000,2782000,-335143,20242016,20577160
"AGO 2014",-2804002,11402000,2569000,1678000,553000,5285000,1317000,14206002,1285000,2611000,8005002,12000,2293000,423564,8738765,8315201
"SEP 2014",2504999,18236000,7888000,2073000,827000,5799000,1649000,15731001,1333000,2507000,9551001,87000,2253000,-4005917,4847125,8853042
"OCT 2014",2242000,17965000,3828000,1904000,445000,10065000,1723000,15723000,1333000,2626000,8772000,110000,2882000,7623562,22836482,15212920
"NOV 2014",-5122000,11214000,3416000,2240000,371000,3573000,1614000,16336000,1310000,2514000,9345000,165000,3002000,-3001717,7448429,10450146
"DIC 2014",-4820000,18645000,3642000,1589000,3068000,6917000,3429000,23465000,2477000,3084000,9367000,1886000,6651000,2540642,16885984,14345341
"ENE 2015",-6508000,10856000,4923000,1893000,252000,2633000,1155000,17364000,1460000,2586000,10573000,50000,2695000,-6686014,6276466,12962480
"FEB 2015",-6439000,11914000,5595000,2046000,176000,3762000,335000,18353000,1318000,2290000,10226000,32000,4487000,-2659026,17368720,20027748
"MAR 2015",2386000,20073000,9186000,1477000,1095000,6964000,1351000,17687000,1335000,2566000,10011000,2000,3773000,1167385,11240579,10073194
"ABR 2015",-2661000,13707000,3732000,1999000,477000,6296000,1203000,16368000,1306000,2476000,9559000,94000,2933000,5671176,20983524,15312348
"MAY 2015",-9949000,6613000,3038000,1972000,236000,1000,1366000,16562000,1310000,2506000,9401000,264000,3081000,-6379009,1819364,8198373
"JUN 2015",490000,20113000,8470000,1801000,302000,6877000,2663000,19623000,2392000,2470000,10723000,51000,3987000,-9001719,3392556,12394275
"JUL 2015",-3183000,18608000,4028000,2186000,241000,6198000,5955000,21791000,1338000,2524000,15281000,71000,2577000,2448721,22514790,20066068
"AGO 2015",-1717000,12015000,2400000,1882000,485000,5800000,1448000,13732000,1283000,2481000,7439000,118000,2411000,2716728,11506868,8790140
"SEP 2015",2058000,18014000,8535000,2253000,158000,5508000,1560000,15956000,1340000,2265000,9328000,66000,2957000,-4908166,4230740,9138906
"OCT 2015",1513000,18120000,3870000,1917000,180000,10658000,1495000,16607000,1495000,2480000,9338000,150000,3144000,14942664,23678596,8735932
"NOV 2015",-3513000,12968000,4255000,2293000,208000,4466000,1746000,16481000,1381000,2344000,9413000,89000,3254000,-8928327,8787457,17715784
