"","IE_7_3.1","IE_7_3.2","IE_7_3.3","IE_7_3.4","IE_7_3.5","IE_7_3.6","IE_7_3.7","IE_7_3.8","IE_7_3.9","IE_7_3.10","IE_7_3.11","IE_7_3.12","IE_7_3.13","IE_7_3.14","IE_7_3.15","IE_7_3.16"
"MAY 2002",11151094.868,-5.50,-2.97,-3.06,-11.45,-1.51,-21.93,-0.21,-8.27,-9.05,-6.54,4.41,10.39,-14.38,41.63,-1.86
"JUN 2002",10700374.711,-6.73,-4.18,-4.97,-0.19,-4.30,-5.97,-4.20,-5.40,-8.04,-5.69,-14.57,10.93,-43.16,20.32,-21.16
"JUL 2002",11159616.601,6.97,9.66,8.72,-10.52,14.43,4.07,15.15,9.85,10.40,7.65,-7.28,23.71,-22.91,26.14,1.81
"AGO 2002",8777346.495,5.79,7.39,4.49,9.62,9.34,-18.34,11.70,8.04,8.12,8.40,-7.70,5.27,-21.97,4.06,-10.61
"SEP 2002",10520776.559,3.12,2.79,5.52,-7.13,2.84,-0.83,3.08,3.97,3.13,2.22,8.61,15.30,-8.21,12.17,-4.04
"OCT 2002",12610290.366,6.62,6.00,8.04,6.44,4.49,-0.48,4.78,6.79,6.78,6.76,5.96,-3.27,-12.02,44.88,55.33
"NOV 2002",11863885.112,3.20,3.97,4.63,15.31,1.29,31.69,-0.23,2.62,1.48,3.57,13.56,10.41,-21.04,13.26,8.36
"DIC 2002",10618543.645,9.98,15.15,13.69,-5.15,20.98,39.32,19.93,12.44,10.82,12.41,14.89,9.24,-25.27,33.64,1.11
"ENE 2003",10319937.166,1.78,3.76,2.07,-17.68,9.49,77.79,5.86,1.18,1.81,2.28,17.11,-8.45,-25.73,59.68,-3.50
"FEB 2003",11211870.704,3.79,5.33,2.58,13.01,6.41,68.70,3.99,4.70,4.13,3.02,-12.80,2.83,-1.91,71.09,1.30
"MAR 2003",12249836.575,10.75,15.77,16.54,7.06,16.59,42.12,15.40,13.32,13.42,12.07,0.24,-4.72,-4.32,45.84,-32.40
"ABR 2003",12273528.951,7.57,6.99,3.40,17.76,8.11,71.01,4.71,11.09,11.81,7.60,-7.20,-9.36,-7.18,40.55,-17.81
"MAY 2003",12356642.502,10.81,12.02,16.26,17.41,7.43,46.56,5.47,14.70,16.92,12.27,-9.24,-0.66,-0.32,43.95,-23.79
"JUN 2003",11679944.302,9.15,11.32,10.59,29.27,8.53,39.27,6.81,9.52,13.09,9.38,13.49,-11.34,11.50,31.05,-25.45
"JUL 2003",11430945.601,2.43,3.82,4.73,22.26,0.21,10.48,-0.44,4.48,4.20,3.95,-0.77,-18.87,-7.84,45.31,-30.46
"AGO 2003",8268182.189,-5.80,-2.60,-5.96,2.67,-0.79,76.53,-5.61,-5.58,-4.19,-6.38,-5.20,0.78,-22.17,38.91,-28.73
"SEP 2003",11707759.329,11.28,11.65,11.40,24.65,9.70,50.56,7.18,11.50,12.48,12.87,-1.87,-1.28,-12.29,63.06,-21.03
"OCT 2003",13068711.517,3.64,5.89,8.01,-0.59,5.32,38.62,3.44,4.12,3.44,3.66,-3.32,-4.93,14.09,35.11,-42.78
"NOV 2003",11674836.159,-1.59,-0.86,-0.10,-8.96,-0.10,14.38,-1.05,-0.75,-0.73,-1.65,-20.51,-17.51,8.35,5.25,-19.27
"DIC 2003",11573125.080,8.99,8.86,6.08,46.15,4.35,9.09,4.03,3.76,2.05,5.21,24.35,24.39,83.28,17.34,-7.07
"ENE 2004",10698765.242,3.67,6.83,3.44,41.35,4.62,1.59,4.89,3.78,4.11,2.19,-18.85,-5.58,92.61,3.38,-14.52
"FEB 2004",11528076.991,2.82,5.68,3.37,17.49,5.63,50.97,2.77,2.40,2.43,3.95,3.46,-17.29,-13.35,10.44,-3.44
"MAR 2004",13079619.639,6.77,6.52,5.62,16.48,5.55,23.09,4.54,3.45,3.80,6.42,13.50,9.92,0.52,31.32,-14.75
"ABR 2004",12361026.722,0.71,1.59,-2.08,-6.72,6.22,-11.13,7.75,0.03,-0.72,1.50,-4.95,7.60,-11.01,5.30,8.48
"MAY 2004",12702338.072,2.80,1.03,-2.58,16.01,1.72,22.47,0.28,1.76,-0.72,3.04,2.71,-17.41,-2.39,5.49,-3.04
"JUN 2004",13084393.903,12.02,8.74,3.93,22.16,10.45,9.22,10.54,9.05,8.97,10.12,1.81,10.74,5.31,15.95,22.96
"JUL 2004",12880549.653,12.68,12.09,6.02,30.49,14.01,23.46,13.35,11.52,12.15,12.31,3.87,10.77,23.50,2.06,27.51
"AGO 2004",8891042.646,7.53,5.47,7.96,-0.23,4.45,-6.86,5.77,5.22,5.75,6.54,2.43,6.29,24.64,8.44,26.57
"SEP 2004",12103008.379,3.38,2.33,2.03,-11.69,5.09,-4.14,5.89,2.91,3.04,2.54,-0.32,-6.63,30.39,-11.66,5.90
"OCT 2004",13002132.238,-0.51,-4.28,-9.55,1.00,-0.68,0.71,-0.79,-1.64,-1.97,-1.55,-7.91,28.75,-11.28,-16.67,-21.09
"NOV 2004",13779228.218,18.03,13.99,11.58,34.82,12.55,10.69,12.69,16.38,16.96,16.62,22.47,38.66,-1.00,10.73,38.96
"DIC 2004",12350175.993,6.71,4.42,1.87,4.17,7.25,26.80,5.89,5.75,6.74,5.77,8.79,64.85,-22.03,2.33,9.04
"ENE 2005",10904549.630,1.92,-2.27,-3.58,-17.40,1.86,-5.90,2.53,3.57,5.13,3.83,9.56,5.83,-45.07,-7.03,15.08
"FEB 2005",12141345.066,5.32,0.32,-2.37,-9.51,4.48,-35.08,8.14,6.95,6.82,4.58,-8.86,18.79,1.24,-3.17,-0.02
"MAR 2005",12884609.137,-1.49,-6.05,-12.03,-4.58,-1.19,-5.54,-0.90,-0.25,-0.40,-2.25,-14.25,14.05,3.73,1.79,-1.03
"ABR 2005",13405225.939,8.45,6.25,7.55,13.69,4.10,-0.72,4.46,5.04,6.23,5.28,10.68,45.11,22.49,15.15,1.72
"MAY 2005",13307218.886,4.76,1.44,-2.61,6.05,4.37,-14.00,5.93,1.46,3.22,2.95,5.43,72.76,-23.96,48.94,15.19
"JUN 2005",13581138.190,3.80,0.80,-3.75,14.53,1.28,2.86,1.17,-0.20,-0.99,4.44,7.29,-0.50,1.37,48.75,3.22
"JUL 2005",12799560.067,-0.63,-6.58,-9.60,-3.07,-5.07,-9.45,-4.74,-5.05,-7.38,-2.79,4.43,8.04,-5.57,34.37,19.60
"AGO 2005",9920355.327,11.58,4.72,4.66,19.69,2.52,0.78,2.70,7.43,3.35,9.10,17.85,10.67,19.03,25.28,12.11
"SEP 2005",13515957.696,11.67,5.90,5.88,18.95,4.01,-2.59,4.53,7.88,5.86,9.74,27.12,24.99,22.82,51.26,11.97
"OCT 2005",13215763.740,1.64,-3.34,-0.32,-12.87,-3.98,-7.78,-3.68,0.45,-0.16,2.42,11.33,-19.35,-11.48,51.44,24.00
"NOV 2005",14592635.860,5.90,2.08,-0.70,30.63,-0.69,-10.68,0.06,-0.99,-1.54,1.73,6.07,23.88,89.09,89.84,53.51
"DIC 2005",13290635.255,7.61,0.96,-2.97,19.37,0.08,-15.96,1.42,5.32,4.32,6.34,-4.03,-34.54,72.07,10.04,13.33
"ENE 2006",12753035.630,16.95,10.77,6.41,55.34,7.51,-3.49,8.38,7.84,5.22,12.90,52.61,24.13,105.76,57.93,3.99
"FEB 2006",13992104.461,15.24,11.53,13.08,36.05,6.56,29.95,5.26,9.37,9.75,11.82,32.82,55.36,53.56,41.06,60.56
"MAR 2006",15449722.016,19.91,14.30,14.74,38.94,10.07,14.70,9.77,12.29,10.63,16.52,46.02,15.24,75.44,35.60,41.82
"ABR 2006",13161178.898,-1.82,-6.89,-11.54,2.23,-4.91,-7.03,-4.77,-5.68,-6.70,-1.23,11.66,-33.91,29.94,-6.22,27.33
"MAY 2006",15471516.723,16.26,11.68,11.02,21.05,10.44,0.12,11.15,12.83,10.91,14.30,41.57,2.94,117.83,-21.02,35.98
"JUN 2006",15192130.605,11.86,6.08,9.53,-13.24,8.40,-14.62,10.09,13.19,12.19,9.78,24.02,30.92,43.36,11.58,14.56
"JUL 2006",13597014.303,6.23,1.22,-1.14,10.93,0.93,-15.13,2.08,7.40,9.27,6.46,15.62,-8.40,37.23,-1.19,-9.01
"AGO 2006",11264430.608,13.55,8.14,7.66,26.22,5.81,-12.77,7.69,9.34,10.66,10.32,26.31,32.02,91.52,17.48,4.05
"SEP 2006",14092494.498,4.27,-0.20,-4.74,16.74,0.38,-11.42,1.24,3.98,4.81,3.10,-1.20,2.64,13.09,-6.12,23.47
"OCT 2006",15263497.286,15.49,10.67,6.90,28.37,10.85,-17.59,12.94,17.84,18.12,14.47,-4.15,6.58,61.85,-3.18,31.31
"NOV 2006",15096807.186,3.45,-0.90,-1.69,-15.89,3.59,-32.89,6.03,7.54,8.51,5.87,3.48,-12.14,-30.97,-24.03,-15.29
"DIC 2006",14538082.983,9.39,6.53,8.95,-3.52,7.36,42.31,4.95,1.80,2.92,4.89,40.47,19.46,25.86,100.10,9.87
"ENE 2007",13968537.674,9.53,6.09,8.41,-17.38,9.26,-9.18,10.56,11.28,14.07,9.34,4.66,20.01,-19.52,-2.55,76.60
"FEB 2007",14859700.138,6.20,1.15,-2.61,2.02,3.98,-7.09,4.74,3.17,3.97,3.86,20.79,-17.75,68.67,1.67,-23.25
"MAR 2007",16301841.294,5.52,2.19,0.92,-7.40,5.00,-23.40,6.92,8.31,9.86,6.05,-2.81,17.53,-27.83,11.10,-8.06
"ABR 2007",14399070.415,9.41,6.96,7.01,15.62,5.32,-10.02,6.36,9.30,10.54,4.93,-12.00,50.01,44.46,43.80,-4.62
"MAY 2007",16018788.337,3.54,0.13,-5.91,-0.06,4.93,-10.47,5.89,4.53,6.21,2.60,-22.09,-11.80,-16.48,41.10,-10.92
"JUN 2007",16109748.874,6.04,2.33,-2.06,0.12,5.89,-4.79,6.50,3.45,3.49,4.26,24.32,15.17,21.88,-2.32,14.40
"JUL 2007",15321762.724,12.68,10.12,12.52,-8.49,12.49,10.94,12.58,12.67,14.09,11.73,9.41,25.90,-23.98,26.28,8.02
"AGO 2007",12125691.771,7.65,5.94,-4.02,-8.10,14.80,30.66,13.50,5.09,8.12,3.86,2.86,18.54,-40.99,20.13,9.05
"SEP 2007",14903099.693,5.75,2.87,-1.31,-3.09,6.83,8.34,6.73,0.04,-0.15,0.88,13.66,26.67,-20.80,67.29,-0.69
"OCT 2007",16706635.863,9.45,8.06,1.61,14.25,11.62,37.22,10.24,1.66,3.02,3.95,26.16,41.31,16.11,97.33,-1.52
"NOV 2007",16568049.750,9.75,8.82,-2.08,18.25,15.70,82.49,12.88,4.22,2.38,4.01,-2.37,83.04,4.59,33.51,-8.05
"DIC 2007",14195621.436,-2.36,-3.91,-11.72,-18.18,5.43,-22.85,8.08,4.57,2.42,1.21,-29.12,-7.85,-54.00,-9.99,7.10
"ENE 2008",14928260.944,6.87,3.29,-1.19,7.58,5.92,21.56,5.02,5.61,5.15,5.59,-7.42,8.88,-10.17,58.26,-17.48
"FEB 2008",16621408.421,11.86,8.55,10.40,-7.34,10.08,1.27,10.62,13.99,11.20,12.71,-5.74,29.12,-37.37,20.85,11.64
"MAR 2008",15881583.587,-2.58,-3.42,-1.55,-9.53,-3.77,50.16,-6.38,-2.31,-3.97,-4.82,-15.46,9.12,-1.08,1.66,-18.54
"ABR 2008",17963810.975,24.76,21.96,20.92,3.81,26.07,58.79,24.20,21.18,19.72,24.39,33.67,28.73,-19.49,45.23,8.78
"MAY 2008",16621279.823,3.76,3.19,4.07,3.94,2.48,23.85,1.35,2.24,2.16,0.84,11.99,51.26,-16.17,-1.52,4.19
"JUN 2008",15464022.719,-4.01,-5.46,-8.17,-11.29,-2.63,38.44,-4.72,-3.99,-3.06,-6.25,-25.42,11.07,-33.39,20.84,0.59
"JUL 2008",17188940.560,12.19,9.62,6.09,21.69,9.97,49.36,7.64,3.50,3.15,5.06,16.63,74.27,39.54,16.23,23.89
"AGO 2008",12121831.836,-0.03,-2.69,-6.41,-3.49,-0.64,6.38,-1.30,-3.31,-6.76,-2.28,-1.78,25.52,9.73,-0.43,18.84
"SEP 2008",17290431.117,16.02,15.12,29.00,2.53,8.27,36.86,6.41,18.68,17.47,16.19,0.08,43.38,38.41,-10.53,18.77
"OCT 2008",16671547.351,-0.21,0.02,-0.47,8.74,-1.13,9.06,-1.81,-2.77,-3.08,-2.56,-4.34,52.74,-8.93,-24.77,6.20
"NOV 2008",14288990.897,-13.76,-15.77,-3.75,-29.47,-21.08,-1.20,-22.43,-15.50,-14.26,-14.24,13.90,-11.54,-9.86,-28.48,-14.12
"DIC 2008",13142279.893,-7.42,-7.48,3.96,-0.17,-16.00,-2.51,-16.90,-13.03,-10.70,-11.43,19.09,59.99,19.16,-0.19,-9.79
"ENE 2009",11092411.871,-25.70,-22.49,-14.16,-31.14,-26.88,-5.45,-28.32,-25.55,-22.65,-25.88,-21.08,-1.85,-32.45,-46.11,-19.90
"FEB 2009",12400568.190,-25.39,-21.17,-17.23,0.82,-27.27,-11.93,-28.12,-29.53,-27.05,-28.00,-22.09,29.11,-17.64,-27.05,2.88
"MAR 2009",13714245.412,-13.65,-8.84,3.03,-16.14,-16.17,-33.77,-14.80,-17.49,-16.31,-14.87,-4.40,20.11,3.13,-7.41,36.79
"ABR 2009",13192118.289,-26.56,-22.00,-12.75,-27.15,-27.30,-44.93,-26.02,-23.83,-21.13,-25.99,-34.30,-4.34,-33.52,-26.47,-3.61
"MAY 2009",12893413.676,-22.43,-15.67,-9.23,-35.03,-16.56,0.85,-17.68,-23.72,-22.64,-22.10,-19.38,-7.40,-30.65,-12.56,-5.14
"JUN 2009",13895927.323,-10.14,-4.43,6.33,-14.78,-9.51,-17.60,-8.91,-11.73,-9.65,-10.72,-17.49,27.26,-20.14,0.11,-1.80
"JUL 2009",14474719.925,-15.79,-9.27,1.16,-11.87,-15.47,-34.10,-13.95,-13.01,-12.51,-12.51,-11.36,-20.18,-26.10,-15.63,-19.68
"AGO 2009",10072323.375,-16.91,-6.74,3.40,-7.61,-12.02,-23.98,-10.81,-13.55,-8.63,-14.97,-40.87,-21.18,-26.28,-14.16,-22.03
"SEP 2009",13871145.853,-19.78,-12.48,-16.73,-1.73,-10.86,-21.90,-9.94,-18.88,-16.02,-18.24,-36.96,-24.83,-33.77,2.17,-16.35
"OCT 2009",14918180.225,-10.52,-4.28,0.69,-17.28,-5.14,-7.79,-4.95,-9.41,-7.12,-8.53,-26.97,-30.05,-20.62,16.94,-8.58
"NOV 2009",14067741.445,-1.55,6.51,5.40,-7.24,9.92,-15.63,12.15,1.68,2.79,0.34,-32.14,-27.14,-11.24,37.57,8.44
"DIC 2009",13661481.013,3.95,10.83,12.06,6.91,10.83,-14.29,12.80,4.38,4.92,1.69,-28.97,-26.59,-5.34,12.98,200.95
"ENE 2010",12091730.785,9.01,12.57,2.55,-1.28,22.75,-15.32,26.12,8.66,7.03,8.16,-24.77,-5.80,28.89,47.87,43.56
"FEB 2010",13986408.776,12.79,16.80,0.93,16.44,29.92,-24.98,33.66,11.75,12.86,11.76,-3.68,-23.25,28.76,41.23,168.80
"MAR 2010",16652383.358,21.42,23.98,-2.10,38.95,44.96,14.77,46.78,19.27,21.83,19.94,11.38,14.29,27.82,46.82,12.39
"ABR 2010",14623257.267,10.85,12.97,-9.08,23.33,29.32,17.33,29.97,7.05,4.58,9.08,10.04,8.53,8.16,18.89,17.03
"MAY 2010",16213445.891,25.75,18.25,-4.36,85.95,25.92,1.98,27.80,22.84,23.30,22.88,3.33,-10.50,39.16,24.44,35.50
"JUN 2010",16203220.225,16.60,15.28,-4.31,39.47,26.42,-4.93,28.52,14.09,13.52,16.42,17.00,8.07,58.19,15.18,36.05
"JUL 2010",16378808.950,13.15,11.54,-9.46,-3.90,31.29,28.81,31.44,11.18,12.78,12.65,5.32,0.68,40.51,48.26,47.92
"AGO 2010",12874026.990,27.82,19.42,2.73,31.43,28.84,32.22,28.55,23.32,19.35,25.12,48.61,24.19,71.48,69.12,38.69
"SEP 2010",15901966.155,14.64,9.74,-4.36,1.50,21.51,2.28,22.91,10.76,10.23,12.49,29.07,16.72,66.56,35.73,48.76
"OCT 2010",17392551.946,16.59,11.96,-6.40,24.81,23.20,4.38,24.55,16.81,15.23,15.34,25.98,16.94,31.12,10.88,31.86
"NOV 2010",17525023.872,24.58,20.11,2.04,32.51,32.62,28.86,32.87,20.14,20.35,21.84,35.72,53.79,57.73,50.60,33.45
"DIC 2010",15956191.304,16.80,13.47,2.15,-1.77,25.42,38.51,24.64,20.22,20.19,20.95,11.40,14.85,17.45,15.94,-53.33
"ENE 2011",15955103.022,31.95,24.66,13.72,57.68,28.17,15.86,28.90,25.30,24.25,30.90,62.93,26.27,46.10,60.54,-7.08
"FEB 2011",17136929.187,22.53,14.75,8.82,18.60,18.22,69.92,16.24,19.88,18.35,21.71,56.91,47.88,70.49,51.50,-54.12
"MAR 2011",19645243.405,17.97,10.61,10.38,39.15,6.55,12.54,6.26,13.35,9.82,17.19,33.36,5.29,26.05,12.57,31.05
"ABR 2011",17343848.231,18.60,8.28,7.11,22.86,6.85,35.00,5.47,15.29,10.79,15.84,50.42,34.68,32.95,17.00,-3.51
"MAY 2011",18328321.579,13.04,12.25,9.93,-13.37,19.31,17.20,19.44,10.85,7.06,13.40,19.00,32.12,23.75,44.05,10.28
"JUN 2011",17953510.396,10.80,6.28,8.15,8.83,4.85,29.19,3.64,7.94,5.18,8.57,35.25,7.79,15.71,38.62,12.10
"JUL 2011",18635206.323,13.78,8.73,1.47,34.18,9.27,15.58,8.88,14.23,8.09,9.97,-10.11,25.19,9.95,6.53,5.58
"AGO 2011",15443785.263,19.96,17.37,16.87,14.77,17.88,-1.65,19.62,19.32,16.35,20.23,16.42,29.23,9.40,25.10,34.59
"SEP 2011",17779690.322,11.81,7.75,4.04,22.58,7.78,18.12,7.15,4.85,0.95,7.34,20.58,26.99,10.99,22.42,17.05
"OCT 2011",19394359.375,11.51,5.05,0.85,-9.34,9.77,124.19,2.86,12.09,10.04,11.11,-7.61,9.32,7.02,38.09,16.30
"NOV 2011",19865736.759,13.36,8.68,0.09,15.16,13.08,101.61,7.46,14.32,14.66,12.67,-1.78,14.15,3.44,27.01,14.80
"DIC 2011",17003811.903,6.57,2.06,-11.44,9.68,9.99,-1.01,10.72,-0.65,-4.52,0.96,14.58,75.37,12.04,15.76,10.28
"ENE 2012",16579204.648,3.91,1.84,-5.22,-4.65,7.15,29.50,5.96,0.82,-1.22,-0.52,6.37,42.49,11.32,14.64,37.26
"FEB 2012",17977588.885,4.91,-0.19,0.10,-26.51,4.36,41.24,2.30,1.93,-1.28,3.21,-3.67,16.32,-24.20,-0.97,36.61
"MAR 2012",19888497.946,1.24,-2.36,-10.77,-15.27,5.51,49.16,3.33,-0.22,-0.57,-1.43,-3.87,24.36,3.91,17.94,56.58
"ABR 2012",17198356.293,-0.84,-0.50,-5.89,-9.15,3.99,-3.64,4.47,-4.61,-2.69,-3.06,-8.14,7.59,18.25,22.54,29.69
"MAY 2012",19462192.742,6.19,3.95,-3.85,1.39,8.58,7.25,8.66,2.10,0.47,1.77,4.53,57.05,29.93,5.63,33.76
"JUN 2012",18868544.156,5.10,4.52,-3.26,2.93,9.41,12.35,9.22,-1.11,-3.53,-0.39,11.55,44.99,29.56,5.26,12.47
"JUL 2012",19600183.820,5.18,5.29,5.15,-10.91,7.93,25.22,6.81,-2.01,0.96,2.51,30.59,22.95,13.91,32.46,3.39
"AGO 2012",16586907.342,7.40,5.19,-2.54,-13.53,11.14,2.97,11.74,-1.49,-0.14,4.69,26.68,23.28,20.81,6.66,-0.24
"SEP 2012",17865997.294,0.49,-2.79,-13.85,-21.06,6.05,15.88,5.40,-4.06,-5.55,-2.41,24.86,33.79,9.90,-14.21,15.00
"OCT 2012",21077971.239,8.68,8.60,7.02,12.53,8.77,-30.80,13.98,-3.27,-6.26,2.83,59.44,54.19,39.61,24.21,35.70
"NOV 2012",19749822.820,-0.58,-2.68,-2.54,3.19,-3.65,-44.63,1.23,-5.59,-9.95,-3.01,26.76,13.33,-0.84,1.98,16.77
"DIC 2012",17788626.650,4.62,0.15,5.17,4.55,-3.25,37.02,-5.63,3.77,1.36,5.55,12.30,-13.34,13.35,18.79,68.56
"ENE 2013",17881673.505,7.86,5.26,5.21,17.36,3.66,-1.10,3.97,3.65,1.93,3.43,6.18,83.18,14.77,15.21,1.54
"FEB 2013",18414293.077,2.43,4.88,0.27,15.81,6.06,-31.48,8.96,-0.58,-1.57,-1.78,-9.13,37.00,24.76,25.75,11.33
"MAR 2013",20288581.514,2.01,5.52,0.16,5.17,8.49,3.68,8.83,-8.14,-8.81,-6.87,13.93,41.10,13.12,2.31,-36.12
"ABR 2013",20398425.668,18.61,16.32,18.51,41.79,11.33,26.43,10.45,13.21,11.68,16.15,23.91,8.27,49.21,32.07,28.19
"MAY 2013",20890752.261,7.34,7.65,10.96,4.46,6.45,47.06,3.99,6.36,4.70,6.66,18.74,-1.10,22.43,12.85,-5.60
"JUN 2013",20848467.022,10.49,7.46,4.91,4.67,9.19,41.23,7.16,15.25,12.98,12.74,-16.03,14.79,14.97,-3.37,-5.20
"JUL 2013",19860819.902,1.33,-0.08,0.85,7.52,-1.64,-15.33,-0.59,-2.98,-4.81,-2.02,-11.19,30.50,24.34,-5.81,24.36
"AGO 2013",17215516.192,3.79,1.85,6.70,37.96,-3.62,20.06,-5.21,11.78,9.95,3.68,-19.77,0.04,17.82,20.35,7.87
"SEP 2013",19344803.055,8.28,11.36,22.65,22.69,4.95,-4.73,5.66,12.37,13.98,8.87,-5.35,-13.12,26.97,14.14,-4.60
"OCT 2013",21464846.041,1.84,1.18,8.68,14.31,-4.61,-16.09,-3.69,6.82,7.32,3.49,-16.80,-16.78,16.89,-8.24,-14.36
"NOV 2013",19318583.925,-2.18,-0.89,2.86,7.51,-4.74,17.49,-6.19,0.06,1.32,-0.90,-15.22,-11.61,22.63,-12.45,19.37
"DIC 2013",18313036.902,2.95,5.50,4.32,9.26,5.23,-24.38,7.77,1.94,4.96,4.15,-2.26,-1.97,9.04,-17.64,-15.08
"ENE 2014",18434419.999,3.09,5.39,2.52,19.64,5.06,12.03,4.62,5.23,5.62,5.78,8.05,-38.34,3.38,27.46,41.12
"FEB 2014",19325388.710,4.95,5.22,6.98,16.76,2.43,1.95,2.45,7.01,5.57,7.88,32.36,-18.28,4.11,1.69,3.87
"MAR 2014",20632551.591,1.70,-1.10,5.73,12.66,-6.75,-5.76,-6.82,11.30,11.37,9.76,8.68,-24.71,7.23,-14.75,37.46
"ABR 2014",19645234.513,-3.69,-2.12,-1.85,-16.38,0.26,-10.85,1.00,-3.10,-2.88,-3.66,-3.44,35.31,-19.70,-14.31,43.91
"MAY 2014",20626409.728,-1.27,-2.54,3.89,10.11,-7.85,-25.65,-6.32,-0.50,0.94,-0.13,15.25,-1.90,-13.41,-1.78,44.41
"JUN 2014",20601332.097,-1.19,1.47,3.03,1.63,0.62,3.52,0.37,-2.86,-1.11,-1.08,18.27,-16.83,-13.75,16.31,30.58
"JUL 2014",21584791.358,8.68,10.63,15.96,32.74,4.35,21.53,3.23,16.78,16.09,14.03,28.34,-23.88,-6.30,-0.27,63.19
"AGO 2014",16341901.592,-5.07,-1.05,-1.84,-11.95,0.87,18.88,-0.67,-3.83,-3.86,-2.29,17.25,-20.25,-23.29,-17.25,57.45
"SEP 2014",21198804.202,9.58,8.04,9.19,38.77,3.21,38.44,0.89,9.56,8.94,11.76,28.88,17.81,-6.94,41.37,56.44
"OCT 2014",22347127.559,4.11,6.56,3.84,16.20,6.67,7.68,6.60,2.37,3.09,4.04,37.77,6.93,-9.39,-5.40,117.66
"NOV 2014",19944375.461,3.24,4.53,7.79,-6.25,4.26,-5.90,5.09,0.77,0.15,2.84,53.55,15.27,-8.93,9.91,21.60
"DIC 2014",19352534.871,5.68,7.21,11.02,2.25,5.62,50.06,2.94,4.93,4.13,3.62,36.32,15.34,12.62,16.27,34.25
"ENE 2015",17894613.843,-2.93,-3.05,8.41,-19.67,-7.41,-15.93,-6.85,0.22,-1.37,-0.19,13.12,-6.44,-4.65,-24.55,-28.17
"FEB 2015",19859900.286,2.77,1.52,8.22,1.29,-2.81,-3.34,-2.79,5.11,7.11,6.65,5.23,-18.88,-4.85,2.49,10.10
"MAR 2015",23218284.824,12.53,11.81,20.07,6.36,7.53,-26.56,9.90,11.40,9.82,12.11,2.80,44.35,22.45,33.57,7.12
"ABR 2015",20918284.689,6.48,6.56,11.83,3.89,3.73,28.90,2.26,10.50,7.86,8.79,20.27,-23.46,16.22,23.06,-12.33
"MAY 2015",21025250.441,1.93,-0.94,5.41,-1.14,-4.98,-18.95,-4.03,4.13,2.55,4.38,-0.47,-1.56,-4.74,1.97,-22.68
"JUN 2015",22206573.616,7.79,6.19,12.26,12.89,1.78,-17.27,3.43,8.76,11.14,9.94,24.64,20.16,5.95,1.22,15.89
"JUL 2015",23507852.807,8.91,6.83,14.83,-2.65,3.58,-2.73,4.06,9.49,8.00,10.44,25.16,0.01,8.32,29.43,-39.08
"AGO 2015",16206412.032,-0.83,-1.41,4.73,8.07,-5.69,-18.78,-4.35,-2.44,-3.58,-2.08,17.10,3.66,26.11,5.01,-34.13
"SEP 2015",21423909.804,1.06,3.64,10.30,-5.48,1.15,-19.16,2.99,5.91,4.78,4.38,4.50,-11.36,-2.87,2.55,-24.26
"OCT 2015",22169365.983,-0.80,-1.48,8.76,-2.37,-7.56,-16.24,-6.95,3.78,1.61,2.11,-4.29,-9.51,-5.12,10.76,-43.46
"NOV 2015",21655393.370,8.58,8.46,13.85,21.89,2.56,4.08,2.45,11.26,8.91,11.40,-6.87,-11.98,13.35,18.14,-5.77
"DIC 2015",20155490.474,4.15,4.70,10.94,5.90,0.19,-23.04,2.23,6.82,5.97,5.42,-6.91,4.50,6.10,12.78,-26.87
"ENE 2016",18267292.460,2.08,3.16,6.38,13.90,-0.76,-9.85,-0.22,5.21,4.51,3.94,-3.84,-18.03,-11.52,13.18,7.64
