"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA SEGUN PDE ","PDE2010.AAPP.DEUDA SEGUN PDE.T 1,12 DE LA DEUDA SEGUN PDE","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE. CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. T1/12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. CONTRIBUCION A T1,12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"OCT 1995",277301673,-2428859,"_",73150400,-4001792,"_","_",139510768,1938926,"_","_",64640508,-365987,"_","_"
"NOV 1995",278245484,943811,"_",71218160,-1932240,"_","_",142268150,2757382,"_","_",64759176,118668,"_","_"
"DIC 1995",283457297,5211812,13.6,71746696,528536,1.1,0.3,144970564,2702414,23.0,10.9,66740034,1980858,10.0,2.4
"ENE 1996",287334987,3877690,13.6,71326856,-419840,6.0,1.6,148107538,3136974,25.2,11.8,67900594,1160560,1.0,0.3
"FEB 1996",289177453,1842466,11.4,69660144,-1666712,-4.5,-1.3,151675234,3567696,26.8,12.3,67842078,-58516,1.3,0.3
"MAR 1996",292785564,3608111,11.9,69965648,305504,0.4,0.1,154198224,2522990,24.7,11.7,68621691,779613,0.5,0.1
"ABR 1996",293612289,826725,13.0,72144072,2178424,4.3,1.1,153030483,-1167740,23.7,11.3,68437733,-183958,2.1,0.5
"MAY 1996",293040695,-571595,11.4,70490456,-1653616,1.3,0.4,154386689,1356206,22.4,10.7,68163552,-274181,1.3,0.3
"JUN 1996",295757593,2716899,8.5,70269736,-220720,-5.7,-1.6,156576343,2189654,20.0,9.6,68911516,747964,2.1,0.5
"JUL 1996",297556548,1798954,8.4,70640648,370912,-9.1,-2.6,158245520,1669177,21.1,10.0,68670380,-241136,4.1,1.0
"AGO 1996",295331356,-2225192,6.6,67140384,-3500264,-13.4,-3.7,156731786,-1513734,17.2,8.3,71459184,2788804,8.6,2.0
"SEP 1996",302927591,7596235,8.3,73242048,6101664,-5.1,-1.4,160647936,3916150,16.8,8.2,69037604,-2421580,6.2,1.4
"OCT 1996",308757861,5830270,11.3,75091088,1849040,2.7,0.7,164267956,3620020,17.7,8.9,69398821,361217,7.4,1.7
"NOV 1996",311224778,2466917,11.9,78172280,3081192,9.8,2.5,163632828,-635128,15.0,7.7,69419666,20846,7.2,1.7
"DIC 1996",319975809,8751031,12.9,81789192,3616912,14.0,3.5,167060440,3427612,15.2,7.8,71126180,1706514,6.6,1.5
"ENE 1997",319259101,-716708,11.1,81715880,-73312,14.6,3.6,168804877,1744437,14.0,7.2,68738347,-2387833,1.2,0.3
"FEB 1997",315009878,-4249223,8.9,79831744,-1884136,14.6,3.5,166262048,-2542829,9.6,5.0,68916085,177738,1.6,0.4
"MAR 1997",319311352,4301474,9.1,80197632,365888,14.6,3.5,169071525,2809477,9.6,5.1,70042195,1126110,2.1,0.5
"ABR 1997",323017235,3705883,10.0,78500344,-1697288,8.8,2.2,175324951,6253426,14.6,7.6,69191935,-850260,1.1,0.3
"MAY 1997",331667900,8650664,13.2,77336784,-1163560,9.7,2.3,185021420,9696469,19.8,10.5,69309693,117757,1.7,0.4
