"","IE_3_1.1","IE_3_1.2","IE_3_1.3","IE_3_1.4","IE_3_1.5","IE_3_1.6","IE_3_1.7","IE_3_1.8","IE_3_1.9","IE_3_1.10","IE_3_1.11","IE_3_1.12","IE_3_1.13","IE_3_1.14","IE_3_1.15","IE_3_1.16","IE_3_1.17"
"JUN 1983","_","_","_","_","_","_",-2.10,"_","_","_","_","_","_","_","_","_","_"
"JUL 1983","_","_","_","_","_","_",-6.41,"_","_","_","_","_","_","_","_","_","_"
"AGO 1983","_","_","_","_","_","_",20.44,"_","_","_","_","_","_","_","_","_","_"
"SEP 1983","_","_","_","_","_","_",4.44,"_","_","_","_","_","_","_","_","_","_"
"OCT 1983","_","_","_","_","_","_",0.38,"_","_","_","_","_","_","_","_","_","_"
"NOV 1983","_","_","_","_","_","_",-9.69,"_","_","_","_","_","_","_","_","_","_"
"DIC 1983","_","_","_","_","_","_",1.00,"_","_","_","_","_","_","_","_","_","_"
"ENE 1984","_","_","_","_","_","_",-1.97,"_","_","_","_","_","_","_","_","_","_"
"FEB 1984","_","_","_","_","_","_",-6.18,"_","_","_","_","_","_","_","_","_","_"
"MAR 1984","_","_","_","_","_","_",-15.78,"_","_","_","_","_","_","_","_","_","_"
"ABR 1984","_","_","_","_","_","_",12.00,"_","_","_","_","_","_","_","_","_","_"
"MAY 1984","_","_","_","_","_","_",-5.53,"_","_","_","_","_","_","_","_","_","_"
"JUN 1984","_","_","_","_","_","_",-9.14,"_","_","_","_","_","_","_","_","_","_"
"JUL 1984","_","_","_","_","_","_",13.23,"_","_","_","_","_","_","_","_","_","_"
"AGO 1984","_","_","_","_","_","_",-2.10,"_","_","_","_","_","_","_","_","_","_"
"SEP 1984","_","_","_","_","_","_",-13.01,"_","_","_","_","_","_","_","_","_","_"
"OCT 1984","_","_","_","_","_","_",-6.00,"_","_","_","_","_","_","_","_","_","_"
"NOV 1984","_","_","_","_","_","_",-8.88,"_","_","_","_","_","_","_","_","_","_"
"DIC 1984","_","_","_","_","_","_",-18.32,"_","_","_","_","_","_","_","_","_","_"
"ENE 1985","...","...","...","...",-16,"...",-1.89,"_","_","_","_","_","_","_","_","_","_"
"FEB 1985","...","...","...","...",-17,"...",-5.46,"_","_","_","_","_","_","_","_","_","_"
"MAR 1985","...","...","...","...",-17,"...",16.72,"_","_","_","_","_","_","_","_","_","_"
"ABR 1985","...","...","...","...",-16,"...",2.46,"_","_","_","_","_","_","_","_","_","_"
"MAY 1985","...","...","...","...",-15,"...",-13.55,"_","_","_","_","_","_","_","_","_","_"
"JUN 1985","...","...","...","...",-15,"...",2.34,"_","_","_","_","_","_","_","_","_","_"
"JUL 1985","...","...","...","...",-16,"...",17.86,"_","_","_","_","_","_","_","_","_","_"
"AGO 1985","...","...","...","...",-15,"...",-7.74,"_","_","_","_","_","_","_","_","_","_"
"SEP 1985","...","...","...","...",-15,"...",7.26,"_","_","_","_","_","_","_","_","_","_"
"OCT 1985","...","...","...","...",-13,-19,32.98,"_","_","_","_","_","_","_","_","_","_"
"NOV 1985","...","...","...","...",-12,-15,21.81,"_","_","_","_","_","_","_","_","_","_"
"DIC 1985","...","...","...","...",-13,-12,52.07,"_","_","_","_","_","_","_","_","_","_"
"ENE 1986","...","...","...","...",-10,-8,-37.25,"_","_","_","_","_","_","_","_","_","_"
"FEB 1986","...","...","...","...",-9,-6,9.43,"_","_","_","_","_","_","_","_","_","_"
"MAR 1986","...","...","...","...",-7,-8,2.86,"_","_","_","_","_","_","_","_","_","_"
"ABR 1986","...","...","...","...",-7,-9,1.44,"_","_","_","_","_","_","_","_","_","_"
"MAY 1986","...","...","...","...",-6,-5,35.69,"_","_","_","_","_","_","_","_","_","_"
"JUN 1986",-11.8,0.9,3.0,"...",-7,-3,58.09,"_","_","_","_","_","_","_","_","_","_"
"JUL 1986",-14.4,1.5,2.8,"...",-8,-4,24.41,"_","_","_","_","_","_","_","_","_","_"
"AGO 1986",-14.2,1.9,1.2,"...",-8,-4,32.95,"_","_","_","_","_","_","_","_","_","_"
"SEP 1986",-13.4,-0.1,2.0,"...",-8,-1,38.90,"_","_","_","_","_","_","_","_","_","_"
"OCT 1986",-13.3,-0.4,1.9,"...",-8,2,23.94,"_","_","_","_","_","_","_","_","_","_"
"NOV 1986",-12.7,1.4,3.1,"...",-8,-2,39.56,"_","_","_","_","_","_","_","_","_","_"
"DIC 1986",-14.0,1.9,1.9,"...",-9,-4,20.20,"_","_","_","_","_","_","_","_","_","_"
"ENE 1987",-16.7,-1.7,2.0,"...",-10,-4,102.90,"_","_","_","_","_","_","_","_","_","_"
"FEB 1987",-16.1,-3.0,2.2,"...",-11,-4,67.08,"_","_","_","_","_","_","_","_","_","_"
"MAR 1987",-15.7,-3.5,1.7,"...",-11,-2,51.40,"_","_","_","_","_","_","_","_","_","_"
"ABR 1987",-18.2,-4.1,0.0,"...",-12,-2,64.34,"_","_","_","_","_","_","_","_","_","_"
"MAY 1987",-18.6,-3.4,-1.0,"...",-12,-6,35.15,"_","_","_","_","_","_","_","_","_","_"
"JUN 1987",-14.0,-3.0,0.7,"...",-11,-10,18.27,"_","_","_","_","_","_","_","_","_","_"
"JUL 1987",-12.7,-1.1,1.7,"...",-11,-6,33.64,"_","_","_","_","_","_","_","_","_","_"
"AGO 1987",-13.8,-0.9,2.3,"...",-12,-2,34.03,"_","_","_","_","_","_","_","_","_","_"
"SEP 1987",-10.6,2.5,3.3,"...",-10,-8,21.93,"_","_","_","_","_","_","_","_","_","_"
"OCT 1987",-13.3,2.3,1.7,"...",-12,-8,10.38,"_","_","_","_","_","_","_","_","_","_"
"NOV 1987",-16.2,-0.8,1.4,"...",-13,-6,14.60,"_","_","_","_","_","_","_","_","_","_"
"DIC 1987",-16.4,-2.5,0.9,"...",-13,-5,21.89,"_","_","_","_","_","_","_","_","_","_"
"ENE 1988",-15.0,-0.7,3.2,"...",-14,-6,36.13,"_","_","_","_","_","_","_","_","_","_"
"FEB 1988",-14.1,0.7,3.2,"...",-13,-6,19.03,"_","_","_","_","_","_","_","_","_","_"
"MAR 1988",-12.2,3.8,4.2,"...",-13,-7,24.15,"_","_","_","_","_","_","_","_","_","_"
"ABR 1988",-10.9,3.9,4.5,"...",-11,-4,-11.83,"_","_","_","_","_","_","_","_","_","_"
"MAY 1988",-7.7,3.2,7.0,"...",-10,-4,21.90,"_","_","_","_","_","_","_","_","_","_"
"JUN 1988",-10.5,2.3,3.7,"...",-9,-2,28.22,"_","_","_","_","_","_","_","_","_","_"
"JUL 1988",-10.0,1.8,4.9,"...",-10,-4,-3.44,"_","_","_","_","_","_","_","_","_","_"
"AGO 1988",-9.4,1.6,5.9,"...",-9,-5,30.24,"_","_","_","_","_","_","_","_","_","_"
"SEP 1988",-9.9,2.8,4.9,6.5,-10,0,24.51,"_","_","_","_","_","_","_","_","_","_"
"OCT 1988",-9.0,1.0,5.8,0.8,-8,2,10.02,"_","_","_","_","_","_","_","_","_","_"
"NOV 1988",-11.0,0.8,4.1,-0.6,-6,-3,13.57,"_","_","_","_","_","_","_","_","_","_"
"DIC 1988",-11.1,1.2,4.3,0.5,-6,-2,11.20,"_","_","_","_","_","_","_","_","_","_"
"ENE 1989",-7.9,3.9,5.6,-0.1,-6,-5,7.15,"_","_","_","_","_","_","_","_","_","_"
"FEB 1989",-11.2,2.4,4.7,-1.4,-8,-3,18.97,"_","_","_","_","_","_","_","_","_","_"
"MAR 1989",-10.3,0.1,3.4,4.3,-7,-1,4.75,"_","_","_","_","_","_","_","_","_","_"
"ABR 1989",-8.8,1.2,5.0,12.8,-7,-2,24.90,"_","_","_","_","_","_","_","_","_","_"
"MAY 1989",-8.1,1.0,4.2,-2.2,-6,-1,2.98,3.88,"_","_","_","_","_","_","_","_","_"
"JUN 1989",-6.0,3.0,5.4,2.6,-5,-0,15.10,17.22,"_","_","_","_","_","_","_","_","_"
"JUL 1989",-8.6,-0.1,3.1,3.0,-3,2,6.69,9.34,"_","_","_","_","_","_","_","_","_"
"AGO 1989",-7.9,0.1,3.9,-5.4,-4,-0,-2.43,-0.41,"_","_","_","_","_","_","_","_","_"
"SEP 1989",-6.0,0.1,4.5,-8.2,-4,-1,4.54,5.16,"_","_","_","_","_","_","_","_","_"
"OCT 1989",-6.0,2.5,4.6,-1.5,-5,-0,9.28,10.62,"_","_","_","_","_","_","_","_","_"
"NOV 1989",-5.7,3.2,5.7,-0.6,-6,0,2.75,3.96,"_","_","_","_","_","_","_","_","_"
"DIC 1989",-4.5,4.1,7.7,-2.5,-5,1,-2.38,0.13,"_","_","_","_","_","_","_","_","_"
"ENE 1990",-5.9,5.2,4.5,-1.8,-5,1,-1.52,-1.51,1046955,"_","_","_","_","_","_","_","_"
"FEB 1990",-8.0,5.0,4.1,-4.4,-7,1,-12.70,-12.29,892937,"_","_","_","_","_","_","_","_"
"MAR 1990",-7.4,1.8,4.5,-9.2,-6,1,-3.57,-4.17,1077270,"_","_","_","_","_","_","_","_"
"ABR 1990",-7.1,1.5,4.7,-24.9,-4,0,-3.95,-3.84,1013256,"_","_","_","_","_","_","_","_"
"MAY 1990",-7.5,1.2,3.0,-7.0,-5,3,-4.18,-3.84,976701,"_","_","_","_","_","_","_","_"
"JUN 1990",-9.4,-0.9,4.2,-9.9,-5,5,-20.31,-20.01,922824,"_","_","_","_","_","_","_","_"
"JUL 1990",-4.4,2.5,5.3,-7.5,-4,2,-5.28,-4.39,992498,"_","_","_","_","_","_","_","_"
"AGO 1990",-7.7,-3.6,3.3,-5.3,-5,4,-0.53,-0.09,723261,"_","_","_","_","_","_","_","_"
"SEP 1990",-20.8,-23.9,-2.1,-7.5,-13,2,-28.57,-25.51,760217,"_","_","_","_","_","_","_","_"
"OCT 1990",-16.9,-16.6,2.1,-12.0,-12,3,-18.34,-17.37,945003,"_","_","_","_","_","_","_","_"
"NOV 1990",-16.9,-12.2,3.1,-10.1,-13,4,-22.77,-22.23,898392,"_","_","_","_","_","_","_","_"
"DIC 1990",-16.0,-10.6,4.4,-8.1,-13,3,-29.33,-28.41,694372,"_","_","_","_","_","_","_","_"
"ENE 1991",-20.8,-22.5,-1.3,-9.4,-16,-1,-20.46,-19.70,1039621,"_","_","_","_","_","_","_","_"
"FEB 1991",-16.3,-12.7,2.8,-8.4,-17,-4,-16.84,-16.65,928869,"_","_","_","_","_","_","_","_"
"MAR 1991",-10.4,1.1,6.0,-3.3,-13,-3,-26.50,-25.83,1199622,"_","_","_","_","_","_","_","_"
"ABR 1991",-11.0,-3.1,4.8,-3.9,-14,-3,-9.08,-8.08,1072533,"_","_","_","_","_","_","_","_"
"MAY 1991",-8.2,0.6,7.0,-4.2,-14,-1,-12.73,-11.90,1083752,"_","_","_","_","_","_","_","_"
"JUN 1991",-10.9,-3.6,4.0,-7.5,-14,-2,-9.90,-8.67,1051591,"_","_","_","_","_","_","_","_"
"JUL 1991",-12.9,-4.4,4.3,-5.9,-17,-2,-4.96,-4.87,1224678,"_","_","_","_","_","_","_","_"
"AGO 1991",-15.1,-8.4,2.4,-2.8,-17,-2,-19.79,-18.84,611360,"_","_","_","_","_","_","_","_"
"SEP 1991",-5.7,3.1,4.7,-0.2,-14,-4,10.61,8.19,717182,"_","_","_","_","_","_","_","_"
"OCT 1991",-12.1,-4.3,3.7,3.2,-15,-4,6.03,6.22,893934,"_","_","_","_","_","_","_","_"
"NOV 1991",-15.3,-6.0,3.2,-1.0,-16,1,0.81,1.53,825609,"_","_","_","_","_","_","_","_"
"DIC 1991",-18.7,-10.6,-0.6,-5.3,-17,-2,9.39,9.71,689502,"_","_","_","_","_","_","_","_"
"ENE 1992",-15.3,-5.9,1.3,-5.5,-16,-5,29.34,29.13,1097888,"_","_","_","_","_","_","_","_"
"FEB 1992",-16.3,-8.1,1.9,-2.5,-16,2,24.00,24.86,946717,"_","_","_","_","_","_","_","_"
"MAR 1992",-20.9,-13.8,-0.9,-16.4,-17,-4,27.51,27.66,1122184,"_","_","_","_","_","_","_","_"
"ABR 1992",-16.5,-13.1,-3.4,-8.7,-17,-3,13.77,13.68,1140473,"_","_","_","_","_","_","_","_"
"MAY 1992",-20.0,-16.7,-3.6,-17.1,-17,-6,2.48,2.64,1052538,"_","_","_","_","_","_","_","_"
"JUN 1992",-20.6,-20.8,-2.2,-19.9,-18,-11,14.58,14.26,986246,"_","_","_","_","_","_","_","_"
"JUL 1992",-25.8,-26.8,-6.1,-25.9,-19,-14,8.59,8.97,1057992,"_","_","_","_","_","_","_","_"
"AGO 1992",-34.6,-36.6,-14.5,-26.3,-20,-15,-14.71,-14.72,650634,"_","_","_","_","_","_","_","_"
"SEP 1992",-29.9,-30.6,-12.7,-27.2,-22,-22,6.92,7.34,761859,"_","_","_","_","_","_","_","_"
"OCT 1992",-38.6,-37.8,-16.3,-25.5,-24,-19,-9.26,-7.74,913236,"_","_","_","_","_","_","_","_"
"NOV 1992",-36.5,-36.3,-13.5,-28.4,-26,-21,-2.09,-0.54,827629,"_","_","_","_","_","_","_","_"
"DIC 1992",-37.2,-37.5,-15.9,-29.8,-28,-22,21.29,24.63,839940,"_","_","_","_","_","_","_","_"
"ENE 1993",-33.8,-28.5,-12.6,-32.1,-28,-25,-50.94,-51.62,844766,"_","_","_","_","_","_","_","_"
"FEB 1993",-34.9,-32.9,-14.2,-36.0,-28,-25,-30.43,-31.00,758508,"_","_","_","_","_","_","_","_"
"MAR 1993",-33.5,-31.1,-12.6,-32.0,-29,-23,-22.25,-22.40,927829,"_","_","_","_","_","_","_","_"
"ABR 1993",-28.7,-24.1,-9.0,-30.1,-26,-17,-28.32,-28.31,886241,"_","_","_","_","_","_","_","_"
"MAY 1993",-22.7,-18.0,-7.1,-28.6,-26,-18,-19.59,-19.61,786576,"_","_","_","_","_","_","_","_"
"JUN 1993",-31.2,-28.3,-12.2,-24.2,-28,-23,-20.32,-20.27,755125,"_","_","_","_","_","_","_","_"
"JUL 1993",-26.6,-22.0,-7.7,-33.2,-28,-18,-18.90,-19.35,852126,"_","_","_","_","_","_","_","_"
"AGO 1993",-33.0,-30.0,-14.4,-29.7,-28,-18,-2.97,-4.07,553150,"_","_","_","_","_","_","_","_"
"SEP 1993",-27.3,-22.0,-7.6,-31.6,-27,-18,-14.89,-15.47,651492,"_","_","_","_","_","_","_","_"
"OCT 1993",-30.3,-22.2,-9.9,-26.2,-27,-21,-21.82,-22.21,747216,"_","_","_","_","_","_","_","_"
"NOV 1993",-32.0,-25.5,-12.8,-30.7,-29,-16,-17.01,-18.09,667216,"_","_","_","_","_","_","_","_"
"DIC 1993",-29.8,-22.1,-9.6,-23.9,-27,-18,-18.63,-19.62,580404,"_","_","_","_","_","_","_","_"
"ENE 1994",-29.0,-24.0,-11.1,-23.9,-25,-19,27.42,28.11,827452,"_","_","_","_","_","_","_","_"
"FEB 1994",-25.4,-19.7,-8.5,-23.8,-23,-18,5.91,7.20,743254,"_","_","_","_","_","_","_","_"
"MAR 1994",-25.6,-22.0,-7.7,-18.7,-21,-16,15.22,15.40,982510,"_","_","_","_","_","_","_","_"
"ABR 1994",-21.7,-20.1,-6.6,-19.5,-17,-19,6.86,6.90,867414,"_","_","_","_","_","_","_","_"
"MAY 1994",-18.3,-14.3,-5.4,-16.6,-13,-16,29.50,28.89,871222,"_","_","_","_","_","_","_","_"
"JUN 1994",-12.3,-7.6,-2.2,-15.8,-10,-17,26.85,25.71,828462,"_","_","_","_","_","_","_","_"
"JUL 1994",-13.1,-4.5,-2.9,-7.9,-11,-15,16.10,14.47,896315,"_","_","_","_","_","_","_","_"
"AGO 1994",-9.2,3.0,0.9,-9.8,-10,-16,32.03,31.74,574644,"_","_","_","_","_","_","_","_"
"SEP 1994",-7.9,7.3,3.0,-10.1,-7,-12,24.99,24.38,682860,"_","_","_","_","_","_","_","_"
"OCT 1994",-13.2,0.4,1.2,-9.5,-8,-12,23.79,22.20,781370,"_","_","_","_","_","_","_","_"
"NOV 1994",-10.5,3.0,2.9,-8.0,-8,-18,18.73,17.68,749967,"_","_","_","_","_","_","_","_"
"DIC 1994",-9.6,2.6,3.5,-9.4,-9,-19,31.03,31.03,671074,"_","_","_","_","_","_","_","_"
"ENE 1995",-10.0,0.1,2.2,-11.5,-8,-15,-0.85,-3.32,841121,"_",85.486,84.102,75.744,"_","_","_","_"
"FEB 1995",-14.4,-2.7,-0.5,-12.9,-8,-12,3.83,2.71,755810,"_",69.538,80.551,56.657,"_","_","_","_"
"MAR 1995",-15.1,-10.3,-2.1,-17.0,-8,-19,7.87,7.92,954816,"_",79.535,93.126,61.843,"_","_","_","_"
"ABR 1995",-15.3,-9.9,-2.2,-13.3,-8,-17,3.61,3.65,891730,"_",76.876,89.976,63.077,"_","_","_","_"
"MAY 1995",-10.5,-10.1,-2.6,-13.5,-6,-19,-7.81,-7.76,861935,"_",81.903,93.927,62.592,"_","_","_","_"
"JUN 1995",-13.0,-11.2,-3.4,-15.0,-6,-16,6.59,6.57,947701,"_",83.385,97.220,64.602,"_","_","_","_"
"JUL 1995",-15.4,-13.4,-5.0,-8.8,-7,-18,-26.46,-26.14,871549,"_",88.102,99.063,76.205,"_","_","_","_"
"AGO 1995",-11.3,-4.6,-0.7,-15.2,-8,-19,-19.22,-19.80,577396,"_",77.745,93.328,67.495,"_","_","_","_"
"SEP 1995",-12.1,-5.3,-1.3,-12.9,-10,-6,-19.81,-20.80,693540,"_",84.338,97.238,71.845,"_","_","_","_"
"OCT 1995",-16.3,-8.3,-0.6,-16.3,-12,-17,-11.77,-12.86,748267,"_",83.363,94.421,64.938,"_","_","_","_"
"NOV 1995",-12.8,-3.2,-0.3,-14.1,-12,-21,-3.52,-4.69,748255,"_",80.522,91.632,66.171,"_","_","_","_"
"DIC 1995",-12.8,-5.1,-0.8,-14.6,-14,-20,-16.28,-16.95,653334,"_",106.734,119.484,103.724,"_","_","_","_"
"ENE 1996",-7.1,0.8,4.2,-8.9,-15,-15,9.91,10.01,894202,"_",85.564,82.768,75.561,"_","_","_",0.970
"FEB 1996",-9.6,-1.9,1.3,-8.5,-16,-13,15.21,13.74,823821,"_",72.323,82.282,60.479,"_","_","_",-0.140
"MAR 1996",-7.4,1.4,1.1,-10.2,-17,-11,4.95,3.23,1074287,"_",77.712,89.818,65.367,"_","_","_",-0.730
"ABR 1996",-8.0,-2.8,0.6,-9.1,-17,-11,5.70,3.30,933374,"_",76.702,88.651,62.827,"_","_","_",0.620
"MAY 1996",-8.0,-6.0,-1.2,-13.2,-16,-12,6.07,3.76,936696,"_",79.156,91.750,65.306,"_","_","_",-0.990
"JUN 1996",-7.0,-1.2,-0.3,-5.8,-15,-8,-19.75,-21.16,874423,"_",79.738,92.769,66.050,"_","_","_",-1.160
"JUL 1996",-10.9,-9.4,-3.4,-8.1,-17,-9,41.03,38.33,929676,"_",87.581,95.292,76.598,"_","_","_",-1.400
"AGO 1996",-8.0,-4.0,-0.4,-10.2,-16,-10,3.87,0.79,646542,"_",76.630,90.710,70.115,"_","_","_",0.040
"SEP 1996",-10.9,-8.3,-2.7,-10.4,-17,-17,21.42,18.71,802363,"_",81.163,87.696,67.331,"_","_","_",-0.480
"OCT 1996",-11.3,-3.2,0.9,-9.0,-17,-9,33.76,30.57,830751,"_",85.176,92.940,68.865,"_","_","_",0.440
"NOV 1996",-12.2,-4.3,0.1,-5.4,-18,-9,14.32,11.96,730258,"_",79.140,88.263,69.839,"_","_","_",-0.950
"DIC 1996",-9.1,1.0,1.6,-2.3,-17,-7,16.62,15.62,670742,"_",104.181,106.837,103.804,"_","_","_",-1.680
"ENE 1997",-3.1,5.7,4.8,2.6,-16,-5,22.92,21.08,865366,"_",86.954,83.055,79.117,"_","_","_",1.120
"FEB 1997",-6.4,2.4,1.8,-3.9,-16,-10,2.39,0.76,833608,"_",70.492,79.666,59.637,"_","_","_",-0.160
"MAR 1997",-5.8,3.1,2.1,-4.7,-16,-12,2.71,1.80,1089715,"_",76.222,85.872,66.005,"_","_","_",-0.200
"ABR 1997",-4.1,3.5,3.2,-3.9,-15,-14,21.47,20.04,964298,"_",80.248,89.570,65.772,"_","_","_",0.800
"MAY 1997",-4.4,0.6,0.8,-1.4,-15,-7,7.20,6.06,930180,"_",82.014,92.748,68.862,"_","_","_",0.950
"JUN 1997",-0.6,5.4,4.7,-3.3,-13,-9,19.35,17.70,916231,"_",80.540,90.505,65.674,"_","_","_",0.310
"JUL 1997",0.3,7.1,4.5,-3.8,-12,-10,16.36,15.38,1045270,"_",89.924,95.512,79.009,"_","_","_",0.780
"AGO 1997",1.8,10.9,8.1,1.4,-11,-11,16.73,15.72,686415,"_",77.896,90.473,73.031,"_","_","_",-0.850
"SEP 1997",-1.9,5.8,4.7,4.0,-10,-16,9.48,7.89,794356,"_",83.699,91.697,70.875,"_","_","_",-0.510
"OCT 1997",-2.4,8.3,4.5,-1.1,-9,-9,12.68,12.23,917865,"_",87.364,94.106,72.059,"_","_","_",2.320
"NOV 1997",-3.0,7.7,4.9,-2.4,-9,-6,11.25,10.40,807595,"_",80.301,86.016,72.680,"_","_","_",0.660
"DIC 1997",-2.6,8.2,4.0,0.0,-9,-6,13.78,10.45,741132,"_",110.036,112.552,112.656,"_","_","_",1.590
"ENE 1998",-2.8,6.9,5.0,0.4,-9,-5,6.57,6.93,998145,"_",91.738,84.734,84.627,"_","_","_",1.740
"FEB 1998",-2.5,7.8,5.8,2.9,-8,-3,19.32,18.64,921159,"_",73.129,80.246,63.305,"_","_","_",1.980
"MAR 1998",-0.8,8.3,5.9,2.1,-7,-7,16.38,15.08,1155533,"_",80.116,88.379,67.313,"_","_","_",3.130
"ABR 1998",-0.3,6.9,5.3,1.9,-6,-7,12.83,13.21,997790,"_",83.088,93.785,71.202,"_","_","_",1.410
"MAY 1998",0.0,5.5,4.8,3.3,-5,-5,13.53,13.41,997411,"_",87.172,93.107,72.076,"_","_","_",3.520
"JUN 1998",0.8,3.8,5.2,-4.7,-5,-4,24.51,24.85,958438,"_",87.705,95.094,73.201,"_","_","_",2.380
"JUL 1998",0.5,6.8,4.9,1.5,-3,-5,16.17,16.25,1122900,"_",96.888,99.747,87.305,"_","_","_",4.370
"AGO 1998",-1.1,5.2,5.4,6.3,-4,-2,11.81,12.34,722359,"_",81.613,91.664,76.706,"_","_","_",4.440
"SEP 1998",0.1,6.4,7.1,3.3,-4,-7,14.30,16.38,863850,"_",88.803,94.521,75.982,"_","_","_",3.130
"OCT 1998",2.6,10.5,7.2,6.0,-4,-7,18.54,19.51,958058,"_",93.479,97.345,82.423,"_","_","_",2.620
"NOV 1998",2.5,10.8,8.8,5.0,-2,-7,31.01,32.49,892303,"_",84.427,89.874,76.677,"_","_","_",4.440
"DIC 1998",1.0,7.6,7.5,3.2,-4,-3,22.28,23.56,780786,"_",114.591,119.900,120.753,"_","_","_",2.910
"ENE 1999",2.7,7.6,5.7,1.5,-2,-16,13.31,15.57,1080904,"_",92.061,85.017,93.137,"_","_","_",2.330
"FEB 1999",0.9,7.9,7.1,-0.1,-2,-17,22.78,26.12,964924,"_",75.119,80.936,70.210,"_","_","_",2.940
"MAR 1999",1.0,7.6,7.0,-0.3,-3,-14,30.65,33.31,1243775,"_",86.391,91.426,78.679,"_","_","_",2.680
"ABR 1999",-0.3,3.6,6.4,3.3,-6,-16,11.59,12.53,1114400,"_",83.911,88.514,74.420,"_","_","_",2.280
"MAY 1999",1.9,1.4,5.9,2.7,-5,-16,22.30,25.04,1063839,"_",87.593,89.202,77.616,"_","_","_",1.320
"JUN 1999",2.0,2.8,5.1,2.1,-6,-16,24.79,26.73,1044372,"_",91.027,96.830,80.138,"_","_","_",3.040
"JUL 1999",2.2,5.8,7.2,1.4,-4,-16,15.97,17.20,1253897,"_",101.394,102.504,99.204,"_","_","_",1.800
"AGO 1999",0.5,5.8,6.8,4.0,-4,-15,24.64,26.40,775192,"_",84.793,93.310,84.074,"_","_","_",1.940
"SEP 1999",0.3,6.4,7.2,4.2,-4,-15,22.64,23.77,882398,"_",91.363,98.050,83.621,"_","_","_",0.650
"OCT 1999",3.6,9.7,9.7,4.7,-3,-16,6.83,7.28,989030,"_",95.195,96.649,89.196,"_","_","_",4.210
"NOV 1999",2.4,8.9,8.2,8.4,-2,-13,12.23,13.23,895686,"_",90.207,92.452,86.260,"_","_","_",1.870
"DIC 1999",1.7,6.3,7.8,3.6,-1,-13,2.34,2.53,762741,"_",120.625,120.811,130.908,"_","_","_",2.600
"ENE 2000",2.8,6.9,7.2,2.1,1,-6,15.65,16.70,1091256,96.876,96.082,86.497,98.813,"_","_","_",0.200
"FEB 2000",3.9,8.3,8.5,2.6,-0,1,11.84,11.81,1022991,84.619,83.411,86.652,76.978,"_","_","_",2.500
"MAR 2000",5.3,9.6,8.8,4.8,1,-4,-1.03,-0.99,1235393,92.815,91.614,95.979,82.890,"_","_","_",-0.270
"ABR 2000",5.1,8.0,7.6,-2.8,2,1,8.15,8.62,1105155,90.572,89.475,95.573,83.492,"_","_","_",3.690
"MAY 2000",3.9,6.4,7.6,2.2,2,3,3.15,2.87,1101267,94.220,93.404,95.393,84.556,"_","_","_",4.490
"JUN 2000",4.3,5.6,7.6,9.5,2,-3,-1.62,-1.66,1053228,95.952,95.369,101.208,87.324,"_","_","_",3.830
"JUL 2000",4.9,5.4,9.1,2.9,2,-5,-7.00,-7.02,1082893,102.003,101.352,102.004,101.891,"_","_","_",2.670
"AGO 2000",2.5,5.9,7.5,2.5,2,-0,0.86,1.28,756128,89.507,88.216,95.626,92.704,"_","_","_",-0.080
"SEP 2000",-0.6,0.4,5.4,0.1,-2,-6,-6.01,-5.30,867919,93.955,93.376,97.264,90.610,"_","_","_",4.270
"OCT 2000",-1.9,-0.8,6.5,1.1,-1,-4,-12.02,-11.08,915075,95.804,95.302,95.449,88.010,"_","_","_",1.680
"NOV 2000",-1.1,-1.3,5.4,-0.2,-0,-4,-10.78,-10.29,859476,93.334,93.022,94.251,88.461,"_","_","_",3.860
"DIC 2000",-3.2,0.1,5.8,3.9,1,-6,-21.36,-20.82,747273,119.809,120.538,119.378,134.770,"_","_","_",3.920
"ENE 2001",-2.5,-1.7,5.2,1.6,1,-0,-3.89,-5.08,1027841,102.426,101.942,91.473,101.109,"_","_","_",3.590
"FEB 2001",-2.1,-0.3,5.7,-1.2,-0,-5,-4.53,-5.28,959866,85.872,84.607,87.644,78.073,"_","_","_",2.440
"MAR 2001",-1.4,-1.1,6.6,2.7,-0,-1,0.69,0.55,1196547,96.312,94.887,99.549,88.556,"_","_","_",2.710
"ABR 2001",-3.2,-3.1,5.1,-3.3,-1,-6,-2.29,-1.82,1086706,92.504,91.210,99.260,84.443,"_","_","_",1.520
"MAY 2001",-1.7,-2.1,4.7,-1.8,-2,-9,4.80,5.66,1098176,96.790,95.955,102.922,87.830,"_","_","_",1.500
"JUN 2001",-3.3,-3.5,2.1,0.8,-3,-5,2.89,2.46,1127429,100.358,99.744,107.681,93.097,"_","_","_",1.910
"JUL 2001",-4.3,-4.8,2.9,1.7,-5,-5,6.32,7.11,1069034,104.945,103.661,107.261,100.866,"_","_","_",1.680
"AGO 2001",-3.2,-2.2,3.1,0.8,-8,-7,3.18,3.78,743153,95.396,93.576,104.220,95.675,"_","_","_",2.350
"SEP 2001",-3.5,-4.5,5.3,2.7,-9,-5,-3.68,-2.38,850143,94.805,93.316,101.225,89.138,"_","_","_",1.680
"OCT 2001",-6.5,-3.8,4.9,-3.5,-11,-10,11.00,11.44,942938,100.418,98.758,101.653,93.552,"_","_","_",0.280
"NOV 2001",-8.4,-5.3,3.1,-6.6,-13,-10,2.53,2.67,875023,96.513,94.437,98.028,93.106,"_","_","_",1.360
"DIC 2001",-8.4,-5.0,1.2,-1.2,-11,-13,8.30,10.16,757973,124.803,123.443,122.879,139.338,"_","_","_",1.410
