"","IE_8_3.1","IE_8_3.2","IE_8_3.3","IE_8_3.4","IE_8_3.5","IE_8_3.6","IE_8_3.7","IE_8_3.8","IE_8_3.9","IE_8_3.10"
"NÚMERO SECUENCIAL",1656407,1656408,1656409,1656410,1656411,1656412,1656413,1656414,1656415,1656416
"DESCRIPCIÓN DE LA SERIE","Medios de pago de las sociedades no financieras","Medios de pago de las sociedades no financieras. Tasa de variación interanual","Otros pasivos de entidades de crédito en poder de las sociedades no financieras","Otros pasivos de entidades de crédito en poder de las sociedades no financieras. Tasa de variación interanual","Otros depósitos mantenidos por las sociedades no financieras. Tasa de variación interanual","Cesiones temporales, valores de entidades de crédito y depósitos en sucursales en el extranjero en poder de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión residentes de las sociedades no financieras","Participaciones en fondos de inversión residentes de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión de renta fija en euros de las sociedades no financieras. Tasa de variación interanual","Participaciones en resto de fondos de inversión de las sociedades no financieras. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje"
"ENE 2001",52830533,7.95,41304372,18.15,43.03,8.94,23566530,-13.12,-30.05,-7.81
"FEB 2001",52784355,6.23,39949552,15.51,41.47,5.18,22147472,-19.49,-24.34,-18.14
"MAR 2001",52733998,4.06,39918664,12.79,38.68,2.04,20959898,-24.01,-17.75,-25.59
"ABR 2001",54566811,4.41,39793120,10.90,34.75,0.53,21551176,-20.49,-13.84,-22.17
"MAY 2001",55539896,6.23,40772252,12.97,31.54,4.57,21939772,-16.74,-8.54,-18.81
"JUN 2001",60231718,7.91,41194612,13.17,27.50,6.38,22229786,-14.28,-5.96,-16.41
"JUL 2001",58983160,7.40,40263256,9.94,25.51,2.37,22762742,-13.79,2.44,-17.75
"AGO 2001",57565324,9.06,41042900,9.39,24.87,1.89,23238280,-14.68,9.24,-20.29
"SEP 2001",60849572,10.04,41737576,7.56,22.89,0.34,23422366,-15.09,18.31,-22.72
"OCT 2001",59020038,11.28,42701188,11.28,20.82,6.60,24550326,-8.14,28.75,-16.43
"NOV 2001",61224265,14.53,43699316,11.50,20.53,7.10,25668138,0.76,37.30,-7.65
"DIC 2001",66794266,20.25,45274476,12.80,16.68,10.91,26581776,8.06,44.82,-0.48
"ENE 2002",63050089,19.34,45264916,9.59,16.36,6.30,26541012,12.62,49.76,3.78
"FEB 2002",64160636,21.55,44734884,11.98,15.10,10.31,26593630,20.08,50.45,12.27
"MAR 2002",65781208,24.74,45123584,13.04,13.67,12.68,27062548,29.12,53.11,22.43
"ABR 2002",65648086,20.31,44895240,12.82,11.87,13.37,26810268,24.40,52.35,16.59
"MAY 2002",67081351,20.78,44492640,9.12,10.58,8.30,26674076,21.58,53.08,12.63
"JUN 2002",72136969,19.77,44753348,8.64,10.06,7.83,26343818,18.51,53.07,8.54
"JUL 2002",70029921,18.73,44380228,10.23,11.60,9.41,25197528,10.70,44.89,0.30
"AGO 2002",69452680,20.65,45225792,10.19,11.14,9.63,24417098,5.07,37.83,-5.47
"SEP 2002",71975013,18.28,45222720,8.35,10.84,6.92,23351080,-0.30,30.59,-11.11
"OCT 2002",71756483,21.58,46552868,9.02,15.12,5.63,23544788,-4.10,23.42,-13.62
"NOV 2002",75708417,23.66,47096204,7.77,16.31,3.10,23637722,-7.91,16.36,-16.21
"DIC 2002",78622924,17.71,49236732,8.75,19.07,3.48,23409874,-11.93,10.30,-19.46
"ENE 2003",76559135,21.43,49093656,8.46,10.88,7.17,23607768,-11.05,13.44,-19.47
"FEB 2003",77161299,20.26,50387284,12.64,17.08,10.16,24232932,-8.88,22.02,-19.52
"MAR 2003",80872689,22.94,51944968,15.12,15.27,15.03,24714964,-8.67,23.63,-19.94
"ABR 2003",78835838,20.09,50937676,13.46,16.07,11.96,26201824,-2.27,25.49,-12.41
"MAY 2003",79488854,18.50,56447536,26.87,47.06,15.13,27652392,3.67,26.75,-5.24
"JUN 2003",83092993,15.19,55345372,23.67,46.67,10.34,29131742,10.58,28.46,3.32
"JUL 2003",80116265,14.40,54123624,21.95,44.82,8.04,29443450,16.85,28.61,11.69
"AGO 2003",80340972,15.68,56376532,24.66,46.28,11.65,29602084,21.24,26.92,18.57
"SEP 2003",82027743,13.97,56666668,25.31,47.53,12.03,29643350,26.95,24.21,28.35
"OCT 2003",78763133,9.76,58348600,25.34,38.83,17.17,30354192,28.92,27.55,29.60
"NOV 2003",83765311,10.64,59191976,25.68,39.84,16.95,30934068,30.87,32.27,30.20
"DIC 2003",85023441,8.14,63328272,28.62,39.24,22.38,31536588,34.71,37.56,33.40
"ENE 2004",82576901,7.86,58395780,18.95,39.94,7.40,32245910,36.59,34.96,37.38
"FEB 2004",83486483,8.20,58035756,15.18,30.39,6.15,32939940,35.93,27.37,40.40
"MAR 2004",85639995,5.89,57858440,11.38,33.83,-1.42,33733856,36.49,28.41,40.84
"ABR 2004",84163368,6.76,58258628,14.37,34.36,2.46,34126808,30.25,26.64,32.14
"MAY 2004",87969404,10.67,57439300,1.76,11.69,-5.62,34350904,24.22,24.77,23.94
"JUN 2004",93610588,12.66,55983520,1.15,9.78,-5.49,34652512,18.95,23.24,16.78
"JUL 2004",91189664,13.82,55687452,2.89,10.55,-3.36,34244232,16.31,20.59,14.14
"AGO 2004",88003716,9.54,58055452,2.98,10.67,-3.08,34002304,14.86,20.20,12.19
"SEP 2004",91482340,11.53,56569096,-0.17,12.88,-10.43,33588852,13.31,17.64,11.16
"OCT 2004",89488517,13.62,56002552,-4.02,17.75,-19.64,34224140,12.75,17.08,10.64
"NOV 2004",91771571,9.56,57106032,-3.52,19.72,-20.67,34976816,13.07,16.85,11.25
"DIC 2004",93047785,9.44,62891088,-0.69,24.57,-17.58,35675904,13.13,16.41,11.55
"ENE 2005",91212996,10.46,59345952,1.63,28.45,-17.59,36339996,12.70,14.94,11.63
"FEB 2005",93733147,12.27,59044424,1.74,29.37,-18.40,37145104,12.77,13.57,12.38
"MAR 2005",95587298,11.62,62016748,7.19,30.25,-10.67,37701416,11.76,7.83,13.69
"ABR 2005",97379126,15.70,61630348,5.79,29.74,-12.94,38093128,11.62,8.27,13.31
"MAY 2005",97737711,11.10,60871076,5.97,31.18,-16.17,38859328,13.12,8.36,15.60
"JUN 2005",104271565,11.39,64906456,15.94,45.14,-10.19,39498776,13.99,8.86,16.72
"JUL 2005",105882394,16.11,61716620,10.83,34.02,-10.81,40107088,17.12,10.52,20.65
"AGO 2005",101004712,14.77,65410628,12.67,36.05,-8.36,40556344,19.28,11.77,23.32
"SEP 2005",103294715,12.91,66672808,17.86,32.37,3.48,41142540,22.49,13.84,27.04
"OCT 2005",103527285,15.69,65401724,16.78,32.58,0.17,41616352,21.60,14.36,25.33
"NOV 2005",108319340,18.03,69258136,21.28,32.57,8.71,42528300,21.59,14.11,25.38
"DIC 2005",114364589,22.91,71944152,14.39,30.49,-1.87,43337200,21.47,13.89,25.26
"ENE 2006",110230071,20.85,71645968,20.73,27.40,13.28,42800860,17.78,8.95,22.10
"FEB 2006",114139419,21.77,71274584,20.71,25.75,14.90,42300924,13.88,2.55,19.30
"MAR 2006",117298825,22.71,72481240,16.87,23.85,9.00,41708396,10.63,-1.81,16.42
"ABR 2006",115694803,18.81,71433824,15.91,24.42,5.99,41613516,9.24,-6.72,16.89
"MAY 2006",118183934,20.92,72425288,18.98,19.11,18.80,41150624,5.90,-9.25,13.28
"JUN 2006",124638975,19.53,73358640,13.02,12.68,13.51,40982952,3.76,-9.89,10.55
"JUL 2006",123917184,17.03,74435456,20.61,21.14,19.87,40857544,1.87,-11.99,8.65
"AGO 2006",120200274,19.00,77415696,18.35,21.84,13.70,40999780,1.09,-12.98,7.95
"SEP 2006",127857320,23.78,77934144,16.89,24.29,7.51,40789984,-0.86,-14.31,5.49
"OCT 2006",122953624,18.76,77283280,18.17,22.01,12.82,41491696,-0.30,-12.67,5.52
"NOV 2006",126017865,16.34,78278248,13.02,19.52,4.21,41546932,-2.31,-14.23,3.19
"DIC 2006",137174831,19.95,82041632,14.04,17.44,9.46,41721280,-3.73,-15.53,1.62
"ENE 2007",128486144,16.56,81006680,13.07,24.48,-1.27,42605676,-0.46,-11.94,4.56
"FEB 2007",129418791,13.39,82140944,15.25,28.17,-1.10,43388632,2.57,-5.46,5.88
"MAR 2007",134098367,14.32,86000384,18.65,30.74,3.15,44552888,6.82,4.06,7.90
"ABR 2007",128357936,10.95,83980320,17.56,28.79,2.21,44264000,6.37,3.57,7.44
"MAY 2007",132977863,12.52,86891072,19.97,29.82,6.40,44078916,7.12,0.47,9.71
