"","IE_9_5.1","IE_9_5.2","IE_9_5.3","IE_9_5.4","IE_9_5.5","IE_9_5.6","IE_9_5.7","IE_9_5.8","IE_9_5.9","IE_9_5.10","IE_9_5.11","IE_9_5.12","IE_9_5.13","IE_9_5.14"
"OCT 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1996","_","_",106.14,"_","_","_","_",102.23,"_","_","_","_","_","_"
"ENE 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1997","_","_",102.43,"_","_","_","_",100.64,"_","_","_","_","_","_"
"ABR 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1997","_","_",103.83,"_","_","_","_",102.83,"_","_","_","_","_","_"
"JUL 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1997","_","_",105.16,"_","_","_","_",105.65,"_","_","_","_","_","_"
"OCT 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997","_","_",105.45,"_","_","_","_",105.21,"_","_","_","_","_","_"
"ENE 1998",99.01,99.11,"_","_",99.52,99.49,99.59,"_","_",99.48,99.84,100.04,99.44,99.80
"FEB 1998",99.07,98.50,"_","_",99.48,99.58,99.01,"_","_",99.20,98.88,99.72,99.48,99.17
"MAR 1998",98.99,98.21,100.55,"_",99.25,99.75,98.95,101.13,"_",98.96,98.37,99.27,99.68,99.09
"ABR 1998",99.01,98.21,"_","_",99.35,99.65,98.84,"_","_",98.83,98.20,99.22,99.61,98.97
"MAY 1998",99.70,98.94,"_","_",100.11,99.59,98.82,"_","_",99.76,99.18,100.24,99.52,98.94
"JUN 1998",99.75,98.87,102.91,"_",100.08,99.68,98.79,103.06,"_",99.92,99.26,100.39,99.53,98.87
"JUL 1998",99.73,99.49,"_","_",100.11,99.62,99.38,"_","_",99.79,99.72,100.32,99.48,99.41
"AGO 1998",100.14,100.12,"_","_",100.49,99.65,99.64,"_","_",100.22,100.34,100.70,99.52,99.64
"SEP 1998",100.61,100.58,103.46,"_",101.03,99.58,99.55,102.89,"_",100.99,101.08,101.56,99.44,99.53
"OCT 1998",100.93,100.84,"_","_",101.35,99.58,99.50,"_","_",101.39,101.35,101.90,99.51,99.46
"NOV 1998",100.40,100.23,"_","_",100.86,99.54,99.38,"_","_",100.58,100.42,101.09,99.50,99.34
"DIC 1998",100.45,100.48,103.54,"_",100.85,99.60,99.63,102.48,"_",100.64,100.68,101.06,99.59,99.63
"ENE 1999",100.25,100.62,"_",100.17,100.54,99.72,100.08,"_",99.68,100.41,100.76,100.70,99.70,100.06
"FEB 1999",100.16,99.90,"_",100.17,99.97,100.19,99.93,"_",100.25,100.13,99.85,99.94,100.19,99.91
"MAR 1999",99.57,99.47,100.00,99.65,99.48,100.09,99.99,100.00,100.21,99.45,99.37,99.34,100.11,100.03
"ABR 1999",99.13,99.18,"_",99.00,99.18,99.95,100.00,"_",99.86,98.87,98.94,98.88,99.99,100.06
"MAY 1999",99.22,98.98,"_",98.94,99.07,100.15,99.91,"_",99.91,98.88,98.65,98.67,100.21,99.98
"JUN 1999",98.84,98.51,99.86,98.15,98.58,100.26,99.93,100.92,99.60,98.30,97.98,97.96,100.34,100.02
"JUL 1999",98.94,99.04,"_",98.91,98.62,100.33,100.43,"_",100.34,98.43,98.49,97.96,100.48,100.53
"AGO 1999",99.22,99.48,"_",99.03,98.74,100.49,100.75,"_",100.35,98.93,99.15,98.32,100.62,100.85
"SEP 1999",98.81,98.91,100.46,98.55,98.16,100.66,100.76,101.98,100.43,98.53,98.64,97.78,100.76,100.87
"OCT 1999",98.96,98.94,"_",99.13,98.37,100.60,100.58,"_",100.82,98.73,98.73,98.07,100.68,100.67
"NOV 1999",98.08,98.43,"_",98.88,97.75,100.33,100.69,"_",101.19,97.60,97.94,97.17,100.44,100.79
"DIC 1999",97.57,98.00,99.93,97.74,97.24,100.34,100.78,102.19,100.56,96.94,97.36,96.48,100.48,100.91
"ENE 2000",97.48,98.48,"_",98.16,97.24,100.25,101.28,"_",100.99,96.88,97.81,96.47,100.43,101.39
"FEB 2000",97.51,98.05,"_",97.50,96.98,100.55,101.10,"_",100.58,96.72,97.19,96.01,100.74,101.22
"MAR 2000",97.47,97.71,98.28,96.84,96.55,100.95,101.20,101.39,100.33,96.54,96.77,95.47,101.12,101.36
"ABR 2000",97.06,97.43,"_",97.07,96.06,101.04,101.42,"_",101.09,96.05,96.39,94.89,101.23,101.59
"MAY 2000",96.65,97.05,"_",96.70,95.70,100.99,101.42,"_",101.10,95.42,95.80,94.29,101.19,101.59
"JUN 2000",97.53,97.93,100.10,97.29,96.60,100.96,101.37,104.14,100.75,96.59,96.98,95.49,101.15,101.56
"JUL 2000",97.31,98.46,"_",96.52,96.47,100.88,102.07,"_",100.10,96.34,97.48,95.34,101.04,102.25
"AGO 2000",96.69,98.01,"_",96.67,95.78,100.95,102.33,"_",100.98,95.47,96.76,94.40,101.14,102.50
"SEP 2000",96.48,97.43,100.29,96.27,95.32,101.22,102.22,104.62,101.04,95.08,95.99,93.75,101.42,102.39
"OCT 2000",96.25,97.13,"_",97.39,94.90,101.43,102.35,"_",102.67,94.82,95.65,93.30,101.63,102.52
"NOV 2000",96.39,97.48,"_",97.73,95.15,101.30,102.45,"_",102.76,95.02,96.07,93.62,101.50,102.62
"DIC 2000",97.46,98.42,99.64,98.79,95.99,101.54,102.53,104.50,102.96,96.44,97.38,94.80,101.73,102.71
"ENE 2001",98.80,99.37,"_",98.50,97.38,101.46,102.05,"_",101.52,98.02,98.52,96.39,101.69,102.21
"FEB 2001",99.06,98.85,"_",96.94,97.21,101.91,101.69,"_",100.09,98.14,97.87,96.06,102.17,101.89
"MAR 2001",99.28,99.22,101.80,97.73,97.20,102.15,102.08,104.66,100.91,98.35,98.23,96.02,102.42,102.30
"ABR 2001",98.64,99.30,"_",96.99,96.94,101.75,102.43,"_",100.42,97.69,98.30,95.75,102.03,102.66
"MAY 2001",98.20,98.69,"_",97.22,96.53,101.73,102.24,"_",101.08,97.10,97.58,95.19,102.01,102.51
"JUN 2001",97.89,98.56,100.95,96.54,96.23,101.72,102.42,104.53,100.69,96.65,97.28,94.75,102.00,102.68
"JUL 2001",98.43,98.23,"_",96.55,96.38,102.13,101.92,"_",100.54,97.21,96.99,94.96,102.37,102.14
"AGO 2001",98.99,98.95,"_",97.35,97.04,102.01,101.97,"_",100.69,98.01,97.89,95.80,102.30,102.17
"SEP 2001",99.04,99.30,99.95,97.01,97.08,102.02,102.28,103.22,100.29,98.22,98.37,95.97,102.35,102.50
"OCT 2001",99.05,99.77,"_",96.57,97.08,102.03,102.77,"_",99.83,98.21,98.84,95.98,102.33,102.98
"NOV 2001",98.85,99.81,"_",97.38,96.77,102.15,103.14,"_",100.99,97.88,98.73,95.54,102.45,103.34
"DIC 2001",99.00,100.01,99.04,97.89,96.98,102.08,103.12,102.15,101.31,98.10,98.99,95.76,102.44,103.37
"ENE 2002",99.11,99.66,"_",96.79,96.92,102.26,102.83,"_",100.23,98.22,98.60,95.66,102.67,103.07
"FEB 2002",99.11,99.31,"_",97.31,96.71,102.49,102.69,"_",100.99,98.10,98.14,95.35,102.88,102.93
"MAR 2002",99.25,99.73,99.17,97.81,96.72,102.61,103.11,102.46,101.49,98.29,98.63,95.40,103.02,103.39
"ABR 2002",99.45,100.81,"_",97.59,96.80,102.74,104.14,"_",101.17,98.54,99.78,95.54,103.14,104.44
"MAY 2002",99.99,101.42,"_",97.29,97.24,102.83,104.30,"_",100.41,99.20,100.55,96.12,103.20,104.61
"JUN 2002",100.36,102.05,101.83,97.57,97.80,102.63,104.35,104.68,100.13,99.78,101.39,96.88,102.99,104.65
"JUL 2002",100.45,101.64,"_",98.28,97.99,102.51,103.71,"_",100.66,100.11,101.21,97.31,102.88,104.01
"AGO 2002",100.39,101.67,"_",98.19,97.85,102.60,103.91,"_",100.71,99.98,101.17,97.09,102.97,104.20
"SEP 2002",100.36,101.75,104.15,97.95,97.82,102.59,104.02,106.39,100.49,100.04,101.34,97.13,102.99,104.33
"OCT 2002",100.34,102.62,"_",98.80,97.88,102.51,104.84,"_",101.31,100.05,102.27,97.25,102.88,105.16
"NOV 2002",100.36,103.11,"_",99.29,98.12,102.28,105.09,"_",101.56,100.14,102.86,97.59,102.62,105.40
"DIC 2002",100.49,103.36,103.24,99.07,98.37,102.15,105.07,105.20,101.07,100.38,103.25,97.95,102.49,105.41
"ENE 2003",101.78,103.55,"_",99.76,98.92,102.88,104.68,"_",101.21,101.90,103.68,98.75,103.19,104.99
"FEB 2003",102.03,103.55,"_",100.47,99.26,102.79,104.32,"_",101.58,102.23,103.85,99.21,103.05,104.67
"MAR 2003",102.65,104.04,105.00,100.95,99.47,103.20,104.60,105.82,101.86,102.89,104.43,99.48,103.43,104.98
"ABR 2003",102.65,105.06,"_",101.85,99.64,103.02,105.44,"_",102.59,102.89,105.44,99.66,103.24,105.80
"MAY 2003",103.55,106.00,"_",101.65,100.56,102.98,105.41,"_",101.45,104.25,106.81,100.98,103.23,105.77
"JUN 2003",103.47,105.99,109.47,101.11,100.54,102.91,105.41,109.19,100.93,104.23,106.85,101.00,103.19,105.79
"JUL 2003",103.49,105.23,"_",100.99,100.31,103.17,104.91,"_",101.04,104.03,105.86,100.55,103.45,105.27
"AGO 2003",103.30,105.28,"_",99.71,100.08,103.22,105.19,"_",99.99,103.67,105.74,100.17,103.50,105.56
"SEP 2003",103.32,105.08,108.29,100.62,99.97,103.34,105.10,108.15,101.01,103.72,105.58,100.09,103.62,105.48
"OCT 2003",103.48,105.96,"_",101.28,100.22,103.25,105.73,"_",101.42,104.18,106.78,100.65,103.52,106.10
"NOV 2003",103.44,106.28,"_",101.13,100.14,103.29,106.13,"_",101.35,104.14,107.14,100.62,103.50,106.48
"DIC 2003",104.07,106.82,108.08,102.52,100.73,103.31,106.05,107.68,102.14,105.08,108.08,101.58,103.44,106.40
"ENE 2004",104.23,106.10,"_",101.97,100.79,103.41,105.27,"_",101.62,105.73,107.98,102.10,103.55,105.75
"FEB 2004",104.59,105.71,"_",102.11,100.66,103.90,105.01,"_",101.89,106.01,107.61,101.98,103.95,105.52
"MAR 2004",104.38,105.64,109.54,101.77,100.34,104.03,105.28,108.89,101.88,105.49,107.25,101.35,104.08,105.82
"ABR 2004",104.21,106.29,"_",102.03,99.96,104.25,106.33,"_",102.52,105.03,107.63,100.71,104.29,106.88
"MAY 2004",104.49,106.80,"_",102.69,100.20,104.28,106.59,"_",102.94,105.45,108.26,101.04,104.36,107.14
"JUN 2004",104.38,106.80,113.03,102.36,100.10,104.28,106.69,112.92,102.71,105.45,108.38,101.09,104.32,107.22
"JUL 2004",104.53,106.40,"_",102.46,100.23,104.29,106.15,"_",102.68,105.73,108.00,101.32,104.34,106.59
"AGO 2004",104.43,106.70,"_",101.61,100.25,104.17,106.44,"_",101.81,105.55,108.22,101.28,104.22,106.85
"SEP 2004",104.78,106.95,112.20,102.14,100.41,104.35,106.51,111.85,102.17,105.82,108.43,101.43,104.33,106.90
"OCT 2004",104.82,107.99,"_",102.38,100.68,104.11,107.26,"_",102.14,106.05,109.70,101.89,104.08,107.66
"NOV 2004",105.21,108.59,"_",102.66,100.94,104.23,107.58,"_",102.16,106.67,110.59,102.42,104.15,107.98
"DIC 2004",105.63,108.54,113.20,103.65,101.21,104.36,107.24,112.14,102.86,107.34,110.80,102.92,104.29,107.65
"ENE 2005",106.37,107.88,"_",103.27,101.05,105.26,106.75,"_",102.65,107.71,109.74,102.49,105.09,107.07
"FEB 2005",106.78,107.48,"_",103.91,100.92,105.81,106.50,"_",103.42,107.97,109.22,102.24,105.60,106.83
"MAR 2005",106.88,107.96,116.02,103.88,101.09,105.73,106.80,114.83,103.22,108.18,109.87,102.52,105.52,107.17
"ABR 2005",107.09,108.94,"_",102.93,100.87,106.16,108.00,"_",102.50,108.16,110.69,102.14,105.90,108.37
"MAY 2005",106.96,108.66,"_",103.86,100.67,106.24,107.94,"_",103.62,107.82,110.19,101.72,106.00,108.33
"JUN 2005",106.13,108.32,116.72,102.14,100.09,106.03,108.22,116.08,102.50,106.68,109.45,100.77,105.86,108.61
"JUL 2005",106.68,107.99,"_",102.58,100.40,106.26,107.56,"_",102.63,107.10,108.93,100.96,106.08,107.89
"AGO 2005",106.98,108.28,"_",102.82,100.50,106.45,107.74,"_",102.76,107.51,109.34,101.18,106.26,108.07
"SEP 2005",107.00,108.29,116.44,102.60,100.35,106.62,107.91,115.95,102.69,107.54,109.40,101.05,106.42,108.26
"OCT 2005",107.07,108.93,"_",102.76,100.35,106.70,108.55,"_",102.86,107.39,109.84,100.88,106.46,108.89
"NOV 2005",107.15,109.30,"_",102.69,100.26,106.87,109.01,"_",102.88,107.22,109.97,100.59,106.59,109.32
"DIC 2005",107.13,109.31,115.97,103.35,100.29,106.82,109.00,115.61,103.51,107.23,110.01,100.63,106.56,109.33
"ENE 2006",107.83,109.39,"_",101.84,100.47,107.33,108.87,"_",101.81,108.04,110.06,100.85,107.13,109.13
"FEB 2006",108.59,108.94,"_",102.71,100.38,108.17,108.52,"_",102.77,108.56,109.45,100.58,107.93,108.82
"MAR 2006",108.52,109.40,119.22,102.68,100.55,107.93,108.79,118.65,102.57,108.60,109.99,100.79,107.74,109.12
"ABR 2006",108.67,110.63,"_",102.87,100.80,107.80,109.75,"_",102.51,108.89,111.40,101.17,107.63,110.11
"MAY 2006",109.13,110.71,"_",103.64,100.84,108.22,109.78,"_",103.23,109.75,111.93,101.61,108.01,110.15
"JUN 2006",109.17,110.88,121.88,103.00,100.89,108.20,109.90,120.85,102.55,109.71,112.05,101.63,107.95,110.25
"JUL 2006",109.12,110.46,"_",104.56,100.98,108.07,109.39,"_",104.00,109.69,111.57,101.71,107.84,109.69
"AGO 2006",109.05,110.42,"_",104.51,100.94,108.03,109.38,"_",104.00,109.73,111.67,101.80,107.80,109.70
"SEP 2006",109.10,110.21,119.94,104.34,100.92,108.10,109.20,118.80,103.84,109.56,111.32,101.66,107.78,109.50
"OCT 2006",108.81,110.65,"_",105.17,100.86,107.89,109.71,"_",104.74,109.13,111.60,101.46,107.56,109.99
"NOV 2006",108.99,111.05,"_",104.20,101.00,107.91,109.95,"_",103.62,109.46,112.13,101.73,107.60,110.23
"DIC 2006",109.29,111.24,120.92,105.10,101.22,107.97,109.90,119.68,104.30,109.95,112.53,102.12,107.66,110.19
"ENE 2007",109.03,110.40,"_",104.88,101.03,107.92,109.27,"_",104.50,109.77,111.90,102.01,107.60,109.69
"FEB 2007",109.31,110.13,"_",105.88,101.16,108.06,108.87,"_",105.36,110.10,111.66,102.14,107.79,109.32
"MAR 2007",109.66,110.52,127.25,105.21,101.33,108.22,109.07,125.76,104.52,110.62,112.25,102.45,107.98,109.57
"ABR 2007",109.84,111.73,"_",106.14,101.55,108.16,110.02,"_",105.22,110.98,113.69,102.83,107.93,110.56
"MAY 2007",109.94,111.88,"_",105.46,101.62,108.19,110.10,"_",104.47,110.94,113.70,102.78,107.93,110.63
"JUN 2007",109.80,111.92,126.51,105.29,101.53,108.15,110.23,124.55,104.40,110.66,113.55,102.56,107.89,110.72
"JUL 2007",109.80,111.50,"_",106.03,101.65,108.02,109.69,"_",105.00,110.87,113.20,102.84,107.80,110.07
"AGO 2007",109.82,111.44,"_",106.09,101.53,108.17,109.76,"_",105.18,110.87,113.08,102.72,107.93,110.08
"SEP 2007",110.03,111.70,126.43,105.96,101.79,108.09,109.74,124.36,104.79,111.23,113.50,103.15,107.84,110.04
"OCT 2007",110.69,113.08,"_",105.49,102.08,108.43,110.78,"_",104.03,112.01,115.04,103.61,108.11,111.04
"NOV 2007",110.88,113.72,"_",105.97,102.40,108.28,111.05,"_",104.18,112.48,116.04,104.23,107.91,111.33
"DIC 2007",111.37,114.02,127.71,105.82,102.57,108.58,111.16,124.77,103.86,112.69,116.14,104.22,108.13,111.44
"ENE 2008",112.10,113.83,"_",106.78,102.77,109.08,110.76,"_",104.60,113.34,115.80,104.40,108.56,110.92
"FEB 2008",112.29,113.41,"_",105.37,102.75,109.29,110.38,"_",103.23,113.43,115.27,104.31,108.74,110.51
"MAR 2008",113.01,114.07,135.18,106.45,103.28,109.42,110.45,131.32,103.76,114.73,116.64,105.44,108.80,110.62
"ABR 2008",113.51,115.47,"_",106.34,103.71,109.45,111.34,"_",103.22,115.21,118.05,105.94,108.76,111.43
"MAY 2008",113.29,115.40,"_",105.47,103.60,109.36,111.39,"_",102.49,114.99,117.94,105.79,108.69,111.48
"JUN 2008",113.80,115.64,133.16,105.62,103.65,109.79,111.57,128.46,102.58,115.35,118.06,105.78,109.05,111.61
"JUL 2008",113.95,115.38,"_",106.73,103.83,109.75,111.12,"_",103.48,115.51,117.75,106.03,108.93,111.05
"AGO 2008",113.32,114.73,"_",107.57,103.41,109.59,110.95,"_",104.72,114.19,116.42,105.03,108.72,110.85
"SEP 2008",112.50,114.01,130.30,106.20,103.00,109.22,110.68,126.01,103.80,113.06,115.35,104.33,108.37,110.57
"OCT 2008",111.24,113.45,"_",104.93,102.00,109.06,111.23,"_",103.57,111.19,114.10,102.76,108.21,111.04
"NOV 2008",110.30,113.56,"_",104.48,101.96,108.18,111.38,"_",103.16,109.87,113.63,102.28,107.42,111.10
"DIC 2008",110.88,114.54,123.44,104.65,103.13,107.51,111.06,120.61,102.15,111.11,115.24,104.03,106.81,110.77
"ENE 2009",111.44,113.66,"_",103.56,103.00,108.20,110.35,"_",101.22,111.40,113.97,103.66,107.47,109.95
"FEB 2009",111.18,112.48,"_",102.91,102.48,108.49,109.76,"_",101.09,110.84,112.60,102.88,107.73,109.44
"MAR 2009",111.76,113.15,121.01,103.93,103.20,108.29,109.64,117.61,101.39,111.66,113.59,103.86,107.51,109.36
"ABR 2009",111.77,113.82,"_",103.87,103.07,108.44,110.43,"_",101.46,111.60,114.22,103.68,107.64,110.17
"MAY 2009",111.70,113.73,"_",103.63,103.13,108.31,110.29,"_",101.16,111.83,114.44,104.00,107.53,110.04
"JUN 2009",111.90,114.12,121.47,102.71,103.18,108.45,110.60,117.79,100.22,112.47,115.25,104.41,107.72,110.38
"JUL 2009",111.91,113.84,"_",104.70,103.20,108.44,110.31,"_",102.14,112.47,114.92,104.51,107.61,109.96
"AGO 2009",112.30,113.87,"_",104.34,103.21,108.80,110.32,"_",101.77,112.98,115.15,104.67,107.94,110.02
"SEP 2009",112.49,113.95,121.70,106.27,103.53,108.66,110.07,117.79,103.34,113.26,115.42,105.17,107.69,109.75
"OCT 2009",112.75,115.00,"_",105.24,103.85,108.57,110.73,"_",102.02,113.56,116.53,105.56,107.58,110.40
"NOV 2009",112.25,115.40,"_",105.45,103.74,108.21,111.24,"_",102.34,113.06,117.02,105.53,107.14,110.89
"DIC 2009",111.90,114.86,122.64,104.00,103.56,108.06,110.91,118.24,101.11,112.31,116.20,105.08,106.88,110.57
"ENE 2010",111.70,113.29,"_",104.22,103.12,108.32,109.87,"_",101.75,111.68,114.09,104.29,107.08,109.40
"FEB 2010",111.21,111.88,"_",103.96,102.55,108.45,109.10,"_",102.06,110.66,112.22,103.26,107.17,108.68
"MAR 2010",111.68,113.77,126.78,104.31,102.59,108.85,110.89,123.39,102.36,110.98,113.98,103.09,107.65,110.56
"ABR 2010",112.05,113.87,"_",102.74,102.27,109.56,111.34,"_",101.14,111.12,113.84,102.55,108.36,111.01
"MAY 2010",111.07,112.82,"_",103.39,101.43,109.51,111.23,"_",102.63,109.47,112.05,101.06,108.32,110.88
"JUN 2010",110.23,112.25,126.02,104.04,100.76,109.39,111.40,124.19,103.95,108.37,111.20,100.18,108.17,111.00
"JUL 2010",110.09,111.72,"_",103.82,101.11,108.89,110.50,"_",103.38,108.75,111.11,101.01,107.66,110.00
"AGO 2010",110.30,111.53,"_",103.89,100.98,109.22,110.45,"_",103.57,109.03,111.03,100.98,107.97,109.95
"SEP 2010",110.58,112.54,125.46,103.45,101.11,109.36,111.30,124.13,103.00,109.35,112.04,101.15,108.11,110.77
"OCT 2010",111.29,113.79,"_",104.60,102.03,109.07,111.52,"_",103.21,110.57,113.80,102.57,107.81,110.95
"NOV 2010",111.25,113.70,"_",103.44,101.69,109.40,111.81,"_",102.41,110.35,113.46,102.03,108.16,111.20
"DIC 2010",111.26,113.10,126.17,102.66,101.15,109.99,111.81,124.16,102.18,110.02,112.48,101.13,108.79,111.22
"ENE 2011",111.59,112.08,"_",103.68,101.18,110.29,110.78,"_",103.17,110.44,111.34,101.18,109.15,110.04
"FEB 2011",112.17,111.77,"_",103.60,101.39,110.63,110.23,"_",102.87,111.32,111.34,101.64,109.53,109.55
"MAR 2011",112.55,113.78,124.79,103.69,101.79,110.57,111.78,123.01,102.56,112.07,113.73,102.29,109.55,111.18
"ABR 2011",113.00,114.80,"_",104.72,102.32,110.44,112.21,"_",103.04,112.78,115.01,103.04,109.45,111.62
"MAY 2011",112.40,114.28,"_",103.38,102.04,110.15,111.99,"_",102.00,112.06,114.33,102.67,109.14,111.36
"JUN 2011",112.57,114.15,128.05,103.71,102.08,110.27,111.82,125.36,102.28,112.22,114.13,102.72,109.24,111.10
"JUL 2011",112.43,112.88,"_",104.09,101.85,110.39,110.83,"_",102.90,111.90,112.54,102.31,109.37,109.99
"AGO 2011",111.98,112.33,"_",103.78,101.66,110.15,110.50,"_",102.77,111.50,112.05,102.20,109.10,109.64
"SEP 2011",111.67,112.85,127.95,103.10,101.37,110.16,111.32,125.91,102.39,110.78,112.17,101.55,109.09,110.46
"OCT 2011",111.74,113.05,"_",102.68,101.37,110.22,111.52,"_",101.97,110.81,112.37,101.58,109.09,110.63
"NOV 2011",111.53,113.07,"_",102.75,101.20,110.21,111.73,"_",102.22,110.51,112.21,101.28,109.11,110.80
"DIC 2011",111.02,112.28,126.33,101.41,100.77,110.17,111.42,124.94,101.32,109.67,111.15,100.57,109.05,110.51
"ENE 2012",110.83,110.47,"_",102.61,100.34,110.46,110.10,"_",102.96,109.18,108.89,99.83,109.37,109.07
"FEB 2012",111.38,110.12,"_",103.39,100.64,110.68,109.42,"_",103.43,109.92,108.76,100.29,109.61,108.45
"MAR 2012",111.92,111.68,124.60,103.29,100.76,111.07,110.83,123.89,103.20,110.51,110.42,100.43,110.04,109.95
"ABR 2012",111.73,112.30,"_",102.53,100.58,111.09,111.66,"_",102.64,110.32,111.03,100.25,110.04,110.76
"MAY 2012",111.13,111.71,"_",102.42,100.11,111.01,111.58,"_",103.00,109.46,110.17,99.59,109.91,110.62
"JUN 2012",110.57,111.33,123.31,102.64,99.89,110.69,111.45,123.08,103.46,108.72,109.61,99.25,109.55,110.45
"JUL 2012",110.66,110.23,"_",101.32,99.44,111.29,110.85,"_",102.59,108.58,108.20,98.56,110.16,109.78
"AGO 2012",111.19,110.30,"_",102.93,99.44,111.82,110.92,"_",104.21,109.26,108.39,98.65,110.75,109.87
"SEP 2012",111.83,112.56,120.96,103.66,99.93,111.91,112.64,121.44,104.44,110.26,110.97,99.45,110.86,111.59
"OCT 2012",111.84,113.12,"_",103.75,100.17,111.66,112.94,"_",104.29,110.22,111.47,99.65,110.61,111.87
"NOV 2012",111.56,112.98,"_",102.99,100.09,111.46,112.88,"_",103.60,109.71,111.08,99.39,110.38,111.77
"DIC 2012",111.94,113.09,119.57,104.26,100.49,111.39,112.54,119.27,104.46,110.29,111.46,100.01,110.27,111.45
"ENE 2013",112.80,112.45,"_",102.81,101.02,111.66,111.31,"_",102.47,111.21,110.74,100.60,110.55,110.07
"FEB 2013",113.49,112.42,"_",103.25,101.48,111.84,110.79,"_",102.44,111.96,110.81,101.12,110.73,109.58
"MAR 2013",113.00,113.25,120.85,103.20,101.18,111.69,111.93,119.40,102.70,111.08,111.34,100.47,110.56,110.82
"ABR 2013",112.76,113.51,"_",102.27,101.24,111.38,112.12,"_",101.71,110.78,111.58,100.55,110.17,110.96
"MAY 2013",112.90,113.63,"_",102.21,101.38,111.37,112.08,"_",101.51,110.76,111.56,100.58,110.13,110.92
"JUN 2013",112.85,113.81,120.92,102.93,101.49,111.19,112.13,119.29,102.11,111.05,112.08,101.03,109.92,110.93
"JUL 2013",112.95,112.92,"_",102.22,101.60,111.18,111.14,"_",101.30,111.05,111.00,101.04,109.90,109.86
"AGO 2013",112.98,113.15,"_",101.93,101.71,111.09,111.25,"_",100.91,111.39,111.54,101.44,109.80,109.95
"SEP 2013",112.79,113.56,119.46,101.71,101.60,111.01,111.77,117.55,100.80,111.16,111.97,101.35,109.68,110.48
"OCT 2013",112.87,114.01,"_",102.27,101.83,110.84,111.96,"_",101.12,111.32,112.49,101.73,109.43,110.58
"NOV 2013",112.66,113.98,"_",101.68,101.75,110.72,112.02,"_",100.61,110.96,112.30,101.54,109.27,110.60
"DIC 2013",112.68,113.95,119.18,102.12,102.03,110.43,111.68,117.00,100.78,111.18,112.50,101.99,109.01,110.31
"ENE 2014",112.55,112.66,"_",101.95,101.90,110.45,110.55,"_",100.74,110.96,111.01,101.80,109.00,109.04
