"","IE_4_5.1","IE_4_5.2","IE_4_5.3","IE_4_5.4","IE_4_5.5","IE_4_5.6","IE_4_5.7","IE_4_5.8","IE_4_5.9","IE_4_5.10","IE_4_5.11","IE_4_5.12","IE_4_5.13","IE_4_5.14","IE_4_5.15","IE_4_5.16","IE_4_5.17"
"FEB 1955",129522,-1758,-1.34,"_","_","_","_","_","_","_","_","_","_","_","_",47354,-1.73
"MAR 1955",127590,-2597,-1.99,"_","_","_","_","_","_","_","_","_","_","_","_",48623,-8.10
"ABR 1955",118813,-4906,-3.97,"_","_","_","_","_","_","_","_","_","_","_","_",55896,7.27
"MAY 1955",104197,-9879,-8.66,"_","_","_","_","_","_","_","_","_","_","_","_",52730,1.14
"JUN 1955",97380,-7178,-6.87,"_","_","_","_","_","_","_","_","_","_","_","_",45049,-6.12
"JUL 1955",98915,-9926,-9.12,"_","_","_","_","_","_","_","_","_","_","_","_",50627,8.54
"AGO 1955",102510,-13699,-11.79,"_","_","_","_","_","_","_","_","_","_","_","_",36566,7.89
"SEP 1955",106618,-15938,-13.00,"_","_","_","_","_","_","_","_","_","_","_","_",49228,31.34
"OCT 1955",111626,-21443,-16.11,"_","_","_","_","_","_","_","_","_","_","_","_",41929,-24.20
"NOV 1955",111644,-22223,-16.60,"_","_","_","_","_","_","_","_","_","_","_","_",41927,-9.76
"DIC 1955",111207,-17759,-13.77,"_","_","_","_","_","_","_","_","_","_","_","_",53382,1.73
"ENE 1956",114908,-10381,-8.29,"_","_","_","_","_","_","_","_","_","_","_","_",37816,-23.40
"FEB 1956",119071,-10451,-8.07,"_","_","_","_","_","_","_","_","_","_","_","_",41068,-13.27
"MAR 1956",121735,-5855,-4.59,"_","_","_","_","_","_","_","_","_","_","_","_",53485,10.00
"ABR 1956",114940,-3873,-3.26,"_","_","_","_","_","_","_","_","_","_","_","_",51744,-7.43
"MAY 1956",107006,2809,2.70,"_","_","_","_","_","_","_","_","_","_","_","_",48481,-8.06
"JUN 1956",95597,-1783,-1.83,"_","_","_","_","_","_","_","_","_","_","_","_",58131,29.04
"JUL 1956",94681,-4234,-4.28,"_","_","_","_","_","_","_","_","_","_","_","_",38883,-23.20
"AGO 1956",100467,-2043,-1.99,"_","_","_","_","_","_","_","_","_","_","_","_",44176,20.81
"SEP 1956",101263,-5355,-5.02,"_","_","_","_","_","_","_","_","_","_","_","_",42676,-13.31
"OCT 1956",97768,-13858,-12.41,"_","_","_","_","_","_","_","_","_","_","_","_",46624,11.20
"NOV 1956",100530,-11114,-9.95,"_","_","_","_","_","_","_","_","_","_","_","_",50281,19.93
"DIC 1956",102679,-8528,-7.67,"_","_","_","_","_","_","_","_","_","_","_","_",36618,-31.40
"ENE 1957",105965,-8943,-7.78,"_","_","_","_","_","_","_","_","_","_","_","_",43257,14.39
"FEB 1957",109533,-9538,-8.01,"_","_","_","_","_","_","_","_","_","_","_","_",40918,-0.37
"MAR 1957",106975,-14760,-12.12,"_","_","_","_","_","_","_","_","_","_","_","_",56948,6.47
"ABR 1957",102736,-12204,-10.62,"_","_","_","_","_","_","_","_","_","_","_","_",38234,-26.11
"MAY 1957",98160,-8846,-8.27,"_","_","_","_","_","_","_","_","_","_","_","_",56453,16.44
"JUN 1957",77804,-17793,-18.61,"_","_","_","_","_","_","_","_","_","_","_","_",59930,3.09
"JUL 1957",72906,-21775,-23.00,"_","_","_","_","_","_","_","_","_","_","_","_",39770,2.28
"AGO 1957",75964,-24503,-24.39,"_","_","_","_","_","_","_","_","_","_","_","_",39358,-10.91
"SEP 1957",78914,-22349,-22.07,"_","_","_","_","_","_","_","_","_","_","_","_",35331,-17.21
"OCT 1957",85408,-12360,-12.64,"_","_","_","_","_","_","_","_","_","_","_","_",34391,-26.24
"NOV 1957",90744,-9786,-9.73,"_","_","_","_","_","_","_","_","_","_","_","_",52492,4.40
"DIC 1957",88588,-14091,-13.72,"_","_","_","_","_","_","_","_","_","_","_","_",42104,14.98
"ENE 1958",91006,-14959,-14.12,"_","_","_","_","_","_","_","_","_","_","_","_",46955,8.55
"FEB 1958",93373,-16160,-14.75,"_","_","_","_","_","_","_","_","_","_","_","_",40849,-0.17
"MAR 1958",91076,-15899,-14.86,"_","_","_","_","_","_","_","_","_","_","_","_",38892,-31.71
"ABR 1958",86423,-16313,-15.88,"_","_","_","_","_","_","_","_","_","_","_","_",40400,5.67
"MAY 1958",75773,-22387,-22.81,"_","_","_","_","_","_","_","_","_","_","_","_",55159,-2.29
"JUN 1958",68410,-9394,-12.07,"_","_","_","_","_","_","_","_","_","_","_","_",41663,-30.48
"JUL 1958",69731,-3175,-4.35,"_","_","_","_","_","_","_","_","_","_","_","_",32297,-18.79
"AGO 1958",73787,-2177,-2.87,"_","_","_","_","_","_","_","_","_","_","_","_",34638,-11.99
"SEP 1958",75158,-3756,-4.76,"_","_","_","_","_","_","_","_","_","_","_","_",36409,3.05
"OCT 1958",79860,-5548,-6.50,"_","_","_","_","_","_","_","_","_","_","_","_",49126,42.85
"NOV 1958",81339,-9405,-10.36,"_","_","_","_","_","_","_","_","_","_","_","_",43297,-17.52
"DIC 1958",85664,-2924,-3.30,"_","_","_","_","_","_","_","_","_","_","_","_",34602,-17.82
"ENE 1959",81183,-9823,-10.79,"_","_","_","_","_","_","_","_","_","_","_","_",52247,11.27
"FEB 1959",81602,-11771,-12.61,"_","_","_","_","_","_","_","_","_","_","_","_",40062,-1.93
"MAR 1959",81007,-10069,-11.06,"_","_","_","_","_","_","_","_","_","_","_","_",30350,-21.96
"ABR 1959",78063,-8360,-9.67,"_","_","_","_","_","_","_","_","_","_","_","_",43249,7.05
"MAY 1959",73872,-1901,-2.51,"_","_","_","_","_","_","_","_","_","_","_","_",50141,-9.10
"JUN 1959",67578,-832,-1.22,"_","_","_","_","_","_","_","_","_","_","_","_",44342,6.43
"JUL 1959",67899,-1832,-2.63,"_","_","_","_","_","_","_","_","_","_","_","_",43137,33.56
"AGO 1959",74834,1047,1.42,"_","_","_","_","_","_","_","_","_","_","_","_",34505,-0.38
"SEP 1959",80351,5193,6.91,"_","_","_","_","_","_","_","_","_","_","_","_",34464,-5.34
"OCT 1959",85258,5398,6.76,"_","_","_","_","_","_","_","_","_","_","_","_",47025,-4.28
"NOV 1959",92828,11489,14.12,"_","_","_","_","_","_","_","_","_","_","_","_",39683,-8.35
"DIC 1959",94805,9141,10.67,"_","_","_","_","_","_","_","_","_","_","_","_",42672,23.32
"ENE 1960",100935,19752,24.33,"_","_","_","_","_","_","_","_","_","_","_","_",45786,-12.37
"FEB 1960",116294,34692,42.51,"_","_","_","_","_","_","_","_","_","_","_","_",39939,-0.31
"MAR 1960",117947,36940,45.60,"_","_","_","_","_","_","_","_","_","_","_","_",47331,55.95
"ABR 1960",113651,35588,45.59,"_","_","_","_","_","_","_","_","_","_","_","_",54928,27.00
"MAY 1960",103358,29486,39.91,"_","_","_","_","_","_","_","_","_","_","_","_",48477,-3.32
"JUN 1960",96595,29017,42.94,"_","_","_","_","_","_","_","_","_","_","_","_",47024,6.05
"JUL 1960",101584,33685,49.61,"_","_","_","_","_","_","_","_","_","_","_","_",46846,8.60
"AGO 1960",110221,35387,47.29,"_","_","_","_","_","_","_","_","_","_","_","_",31720,-8.07
"SEP 1960",115260,34909,43.45,"_","_","_","_","_","_","_","_","_","_","_","_",47085,36.62
"OCT 1960",131680,46422,54.45,"_","_","_","_","_","_","_","_","_","_","_","_",43025,-8.51
"NOV 1960",134813,41985,45.23,"_","_","_","_","_","_","_","_","_","_","_","_",49766,25.41
"DIC 1960",130304,35499,37.44,"_","_","_","_","_","_","_","_","_","_","_","_",58924,38.09
"ENE 1961",136977,36042,35.71,"_","_","_","_","_","_","_","_","_","_","_","_",43059,-5.96
"FEB 1961",134205,17911,15.40,"_","_","_","_","_","_","_","_","_","_","_","_",52789,32.17
"MAR 1961",134696,16749,14.20,"_","_","_","_","_","_","_","_","_","_","_","_",57570,21.63
"ABR 1961",130660,17009,14.97,"_","_","_","_","_","_","_","_","_","_","_","_",57614,4.89
"MAY 1961",115040,11682,11.30,"_","_","_","_","_","_","_","_","_","_","_","_",58378,20.42
"JUN 1961",108290,11695,12.11,"_","_","_","_","_","_","_","_","_","_","_","_",60020,27.64
"JUL 1961",109449,7865,7.74,"_","_","_","_","_","_","_","_","_","_","_","_",47266,0.90
"AGO 1961",117072,6851,6.22,"_","_","_","_","_","_","_","_","_","_","_","_",38675,21.93
"SEP 1961",120039,4779,4.15,"_","_","_","_","_","_","_","_","_","_","_","_",69884,48.42
"OCT 1961",121763,-9917,-7.53,"_","_","_","_","_","_","_","_","_","_","_","_",51525,19.76
"NOV 1961",133598,-1215,-0.90,"_","_","_","_","_","_","_","_","_","_","_","_",48553,-2.44
"DIC 1961",133151,2847,2.18,"_","_","_","_","_","_","_","_","_","_","_","_",71578,21.48
"ENE 1962",131605,-5372,-3.92,"_","_","_","_","_","_","_","_","_","_","_","_",58641,36.19
"FEB 1962",127773,-6432,-4.79,"_","_","_","_","_","_","_","_","_","_","_","_",60059,13.77
"MAR 1962",129467,-5229,-3.88,"_","_","_","_","_","_","_","_","_","_","_","_",69063,19.96
"ABR 1962",113161,-17499,-13.39,"_","_","_","_","_","_","_","_","_","_","_","_",63265,9.81
"MAY 1962",92081,-22959,-19.96,"_","_","_","_","_","_","_","_","_","_","_","_",63411,8.62
"JUN 1962",80835,-27455,-25.35,"_","_","_","_","_","_","_","_","_","_","_","_",66428,10.68
"JUL 1962",79514,-29935,-27.35,"_","_","_","_","_","_","_","_","_","_","_","_",41685,-11.81
"AGO 1962",80394,-36678,-31.33,"_","_","_","_","_","_","_","_","_","_","_","_",47775,23.53
"SEP 1962",82874,-37165,-30.96,"_","_","_","_","_","_","_","_","_","_","_","_",37569,-46.24
"OCT 1962",84567,-37196,-30.55,"_","_","_","_","_","_","_","_","_","_","_","_",46494,-9.76
"NOV 1962",82909,-50689,-37.94,"_","_","_","_","_","_","_","_","_","_","_","_",52316,7.75
"DIC 1962",88145,-45006,-33.80,"_","_","_","_","_","_","_","_","_","_","_","_",41947,-41.40
"ENE 1963",97240,-34365,-26.11,"_","_","_","_","_","_","_","_","_","_","_","_",81882,39.63
"FEB 1963",129688,1915,1.50,"_","_","_","_","_","_","_","_","_","_","_","_",68626,14.26
"MAR 1963",123798,-5669,-4.38,"_","_","_","_","_","_","_","_","_","_","_","_",73935,7.05
"ABR 1963",97591,-15570,-13.76,"_","_","_","_","_","_","_","_","_","_","_","_",99141,56.71
"MAY 1963",88010,-4071,-4.42,"_","_","_","_","_","_","_","_","_","_","_","_",64511,1.73
"JUN 1963",79033,-1802,-2.23,"_","_","_","_","_","_","_","_","_","_","_","_",65581,-1.28
"JUL 1963",79549,35,0.04,"_","_","_","_","_","_","_","_","_","_","_","_",43123,3.45
"AGO 1963",83597,3203,3.98,"_","_","_","_","_","_","_","_","_","_","_","_",40100,-16.06
"SEP 1963",92068,9194,11.09,"_","_","_","_","_","_","_","_","_","_","_","_",54339,44.64
"OCT 1963",98941,14374,17.00,"_","_","_","_","_","_","_","_","_","_","_","_",68385,47.08
"NOV 1963",110359,27450,33.11,"_","_","_","_","_","_","_","_","_","_","_","_",67839,29.67
"DIC 1963",122315,34170,38.77,"_","_","_","_","_","_","_","_","_","_","_","_",71107,69.52
"ENE 1964",108960,11720,12.05,"_","_","_","_","_","_","_","_","_","_","_","_",97262,18.78
"FEB 1964",120352,-9336,-7.20,"_","_","_","_","_","_","_","_","_","_","_","_",70902,3.32
"MAR 1964",124165,367,0.30,"_","_","_","_","_","_","_","_","_","_","_","_",62032,-16.10
"ABR 1964",119297,21706,22.24,"_","_","_","_","_","_","_","_","_","_","_","_",80352,-18.95
"MAY 1964",116126,28116,31.95,"_","_","_","_","_","_","_","_","_","_","_","_",74786,15.93
"JUN 1964",112003,32970,41.72,"_","_","_","_","_","_","_","_","_","_","_","_",71692,9.32
"JUL 1964",117066,37517,47.16,"_","_","_","_","_","_","_","_","_","_","_","_",63035,46.17
"AGO 1964",132136,48539,58.06,"_","_","_","_","_","_","_","_","_","_","_","_",53195,32.66
"SEP 1964",137626,45558,49.48,"_","_","_","_","_","_","_","_","_","_","_","_",76067,39.99
"OCT 1964",143583,44642,45.12,"_","_","_","_","_","_","_","_","_","_","_","_",80165,17.23
"NOV 1964",154359,44000,39.87,"_","_","_","_","_","_","_","_","_","_","_","_",77979,14.95
"DIC 1964",170056,47741,39.03,"_","_","_","_","_","_","_","_","_","_","_","_",63862,-10.19
"ENE 1965",179762,70802,64.98,"_","_","_","_","_","_","_","_","_","_","_","_",81328,-16.38
"FEB 1965",171488,51136,42.49,"_","_","_","_","_","_","_","_","_","_","_","_",94701,33.57
"MAR 1965",162256,38091,30.68,"_","_","_","_","_","_","_","_","_","_","_","_",93138,50.15
"ABR 1965",149372,30075,25.21,"_","_","_","_","_","_","_","_","_","_","_","_",99751,24.14
"MAY 1965",135967,19841,17.09,"_","_","_","_","_","_","_","_","_","_","_","_",94459,26.31
"JUN 1965",123097,11094,9.91,"_","_","_","_","_","_","_","_","_","_","_","_",83677,16.72
"JUL 1965",128481,11415,9.75,"_","_","_","_","_","_","_","_","_","_","_","_",77236,22.53
"AGO 1965",133636,1500,1.14,"_","_","_","_","_","_","_","_","_","_","_","_",65948,23.97
"SEP 1965",134243,-3383,-2.46,"_","_","_","_","_","_","_","_","_","_","_","_",90162,18.53
"OCT 1965",142608,-975,-0.68,"_","_","_","_","_","_","_","_","_","_","_","_",89771,11.98
"NOV 1965",158165,3806,2.47,"_","_","_","_","_","_","_","_","_","_","_","_",87126,11.73
"DIC 1965",145818,-24238,-14.25,"_","_","_","_","_","_","_","_","_","_","_","_",82668,29.45
"ENE 1966",154646,-25116,-13.97,"_","_","_","_","_","_","_","_","_","_","_","_",70939,-12.77
"FEB 1966",159059,-12429,-7.25,"_","_","_","_","_","_","_","_","_","_","_","_",79222,-16.35
"MAR 1966",134807,-27449,-16.92,"_","_","_","_","_","_","_","_","_","_","_","_",107114,15.01
"ABR 1966",126672,-22700,-15.20,"_","_","_","_","_","_","_","_","_","_","_","_",91792,-7.98
"MAY 1966",111333,-24634,-18.12,"_","_","_","_","_","_","_","_","_","_","_","_",90019,-4.70
"JUN 1966",103253,-19844,-16.12,"_","_","_","_","_","_","_","_","_","_","_","_",77670,-7.18
"JUL 1966",104599,-23882,-18.59,"_","_","_","_","_","_","_","_","_","_","_","_",70054,-9.30
"AGO 1966",106780,-26856,-20.10,"_","_","_","_","_","_","_","_","_","_","_","_",52548,-20.32
"SEP 1966",107792,-26451,-19.70,"_","_","_","_","_","_","_","_","_","_","_","_",88563,-1.77
"OCT 1966",116630,-25978,-18.22,"_","_","_","_","_","_","_","_","_","_","_","_",71564,-20.28
"NOV 1966",125780,-32385,-20.48,"_","_","_","_","_","_","_","_","_","_","_","_",74939,-13.99
"DIC 1966",127372,-18446,-12.65,"_","_","_","_","_","_","_","_","_","_","_","_",77599,-6.13
"ENE 1967",136068,-18578,-12.01,"_","_","_","_","_","_","_","_","_","_","_","_",66602,-6.11
"FEB 1967",143246,-15813,-9.94,"_","_","_","_","_","_","_","_","_","_","_","_",67412,-14.91
"MAR 1967",141691,6884,5.11,"_","_","_","_","_","_","_","_","_","_","_","_",76349,-28.72
"ABR 1967",137308,10636,8.40,"_","_","_","_","_","_","_","_","_","_","_","_",83941,-8.55
"MAY 1967",133903,22570,20.27,"_","_","_","_","_","_","_","_","_","_","_","_",68489,-23.92
"JUN 1967",127738,24485,23.71,"_","_","_","_","_","_","_","_","_","_","_","_",77601,-0.09
"JUL 1967",130789,26190,25.04,"_","_","_","_","_","_","_","_","_","_","_","_",59545,-15.00
"AGO 1967",138286,31506,29.51,"_","_","_","_","_","_","_","_","_","_","_","_",47283,-10.02
"SEP 1967",146917,39125,36.30,"_","_","_","_","_","_","_","_","_","_","_","_",75578,-14.66
"OCT 1967",162836,46206,39.62,"_","_","_","_","_","_","_","_","_","_","_","_",61949,-13.44
"NOV 1967",178528,52748,41.94,"_","_","_","_","_","_","_","_","_","_","_","_",72651,-3.05
"DIC 1967",178790,51418,40.37,"_","_","_","_","_","_","_","_","_","_","_","_",64926,-16.33
"ENE 1968",203639,67571,49.66,"_","_","_","_","_","_","_","_","_","_","_","_",68721,3.18
"FEB 1968",226156,82910,57.88,"_","_","_","_","_","_","_","_","_","_","_","_",79498,17.93
"MAR 1968",205834,64143,45.27,"_","_","_","_","_","_","_","_","_","_","_","_",103801,35.96
"ABR 1968",192134,54826,39.93,"_","_","_","_","_","_","_","_","_","_","_","_",83108,-0.99
"MAY 1968",176534,42631,31.84,"_","_","_","_","_","_","_","_","_","_","_","_",91524,33.63
"JUN 1968",161649,33911,26.55,"_","_","_","_","_","_","_","_","_","_","_","_",80754,4.06
"JUL 1968",162357,31568,24.14,"_","_","_","_","_","_","_","_","_","_","_","_",68529,15.09
"AGO 1968",169614,31328,22.65,"_","_","_","_","_","_","_","_","_","_","_","_",67116,41.95
"SEP 1968",167802,20885,14.22,"_","_","_","_","_","_","_","_","_","_","_","_",71437,-5.48
"OCT 1968",166261,3425,2.10,"_","_","_","_","_","_","_","_","_","_","_","_",88240,42.44
"NOV 1968",175194,-3334,-1.87,"_","_","_","_","_","_","_","_","_","_","_","_",78233,7.68
"DIC 1968",177022,-1768,-0.99,"_","_","_","_","_","_","_","_","_","_","_","_",75701,16.60
"ENE 1969",176966,-26673,-13.10,"_","_","_","_","_","_","_","_","_","_","_","_",99518,44.81
"FEB 1969",183161,-42995,-19.01,"_","_","_","_","_","_","_","_","_","_","_","_",75512,-5.01
"MAR 1969",187392,-18442,-8.96,"_","_","_","_","_","_","_","_","_","_","_","_",81472,-21.51
"ABR 1969",174517,-17617,-9.17,"_","_","_","_","_","_","_","_","_","_","_","_",91005,9.50
"MAY 1969",158006,-18528,-10.50,"_","_","_","_","_","_","_","_","_","_","_","_",91731,0.23
"JUN 1969",149125,-12524,-7.75,"_","_","_","_","_","_","_","_","_","_","_","_",68781,-14.83
"JUL 1969",144973,-17384,-10.71,"_","_","_","_","_","_","_","_","_","_","_","_",66964,-2.28
"AGO 1969",147200,-22414,-13.21,"_","_","_","_","_","_","_","_","_","_","_","_",59574,-11.24
"SEP 1969",147981,-19821,-11.81,"_","_","_","_","_","_","_","_","_","_","_","_",66951,-6.28
"OCT 1969",147574,-18687,-11.24,"_","_","_","_","_","_","_","_","_","_","_","_",74091,-16.03
"NOV 1969",146823,-28371,-16.19,"_","_","_","_","_","_","_","_","_","_","_","_",74366,-4.94
"DIC 1969",142901,-34121,-19.28,"_","_","_","_","_","_","_","_","_","_","_","_",62196,-17.84
"ENE 1970",162903,-14063,-7.95,"_","_","_","_","_","_","_","_","_","_","_","_",78780,-20.84
"FEB 1970",151791,-31370,-17.13,"_","_","_","_","_","_","_","_","_","_","_","_",74865,-0.86
"MAR 1970",148600,-38792,-20.70,"_","_","_","_","_","_","_","_","_","_","_","_",65477,-19.63
"ABR 1970",143172,-31345,-17.96,"_","_","_","_","_","_","_","_","_","_","_","_",74654,-17.97
"MAY 1970",140175,-17831,-11.29,"_","_","_","_","_","_","_","_","_","_","_","_",69449,-24.29
"JUN 1970",131789,-17336,-11.63,"_","_","_","_","_","_","_","_","_","_","_","_",70896,3.07
"JUL 1970",133618,-11355,-7.83,"_","_","_","_","_","_","_","_","_","_","_","_",56355,-15.84
"AGO 1970",135902,-11298,-7.68,"_","_","_","_","_","_","_","_","_","_","_","_",56072,-5.88
"SEP 1970",136767,-11214,-7.58,"_","_","_","_","_","_","_","_","_","_","_","_",59975,-10.42
"OCT 1970",141615,-5959,-4.04,"_","_","_","_","_","_","_","_","_","_","_","_",66381,-10.41
"NOV 1970",155674,8851,6.03,"_","_","_","_","_","_","_","_","_","_","_","_",62558,-15.88
"DIC 1970",165734,22833,15.98,"_","_","_","_","_","_","_","_","_","_","_","_",56893,-8.53
"ENE 1971",181195,18292,11.23,"_","_","_","_","_","_","_","_","_","_","_","_",71688,-9.00
"FEB 1971",179345,27554,18.15,"_","_","_","_","_","_","_","_","_","_","_","_",73173,-2.26
"MAR 1971",183402,34802,23.42,"_","_","_","_","_","_","_","_","_","_","_","_",65529,0.08
"ABR 1971",193562,50390,35.20,"_","_","_","_","_","_","_","_","_","_","_","_",71104,-4.76
"MAY 1971",194260,54085,38.58,"_","_","_","_","_","_","_","_","_","_","_","_",70949,2.16
"JUN 1971",187876,56087,42.56,"_","_","_","_","_","_","_","_","_","_","_","_",64052,-9.65
"JUL 1971",184606,50988,38.16,"_","_","_","_","_","_","_","_","_","_","_","_",57983,2.89
"AGO 1971",186141,50239,36.97,"_","_","_","_","_","_","_","_","_","_","_","_",50305,-10.28
"SEP 1971",188307,51540,37.68,"_","_","_","_","_","_","_","_","_","_","_","_",61467,2.49
"OCT 1971",191771,50156,35.42,"_","_","_","_","_","_","_","_","_","_","_","_",72691,9.51
"NOV 1971",201139,45465,29.21,"_","_","_","_","_","_","_","_","_","_","_","_",71561,14.39
"DIC 1971",211667,45933,27.71,"_","_","_","_","_","_","_","_","_","_","_","_",65254,14.70
"ENE 1972",220319,39124,21.59,"_","_","_","_","_","_","_","_","_","_","_","_",71939,0.35
"FEB 1972",221338,41993,23.41,"_","_","_","_","_","_","_","_","_","_","_","_",73083,-0.12
"MAR 1972",220679,37277,20.33,"_","_","_","_","_","_","_","_","_","_","_","_",74600,13.84
"ABR 1972",211992,18430,9.52,"_","_","_","_","_","_","_","_","_","_","_","_",81242,14.26
"MAY 1972",198585,4325,2.23,"_","_","_","_","_","_","_","_","_","_","_","_",80615,13.62
"JUN 1972",185997,-1879,-1.00,"_","_","_","_","_","_","_","_","_","_","_","_",82923,29.46
"JUL 1972",182173,-2433,-1.32,"_","_","_","_","_","_","_","_","_","_","_","_",59325,2.31
"AGO 1972",178229,-7912,-4.25,"_","_","_","_","_","_","_","_","_","_","_","_",61932,23.11
"SEP 1972",173215,-15092,-8.01,"_","_","_","_","_","_","_","_","_","_","_","_",75868,23.43
"OCT 1972",168725,-23046,-12.02,"_","_","_","_","_","_","_","_","_","_","_","_",80650,10.95
"NOV 1972",166460,-34679,-17.24,"_","_","_","_","_","_","_","_","_","_","_","_",90713,26.76
"DIC 1972",163212,-48455,-22.89,"_","_","_","_","_","_","_","_","_","_","_","_",69763,6.91
"ENE 1973",168500,-51819,-23.52,"_","_","_","_","_","_","_","_","_","_","_","_",67966,-5.52
"FEB 1973",169624,-51714,-23.36,"_","_","_","_","_","_","_","_","_","_","_","_",79861,9.27
"MAR 1973",169413,-51266,-23.23,"_","_","_","_","_","_","_","_","_","_","_","_",85162,14.16
"ABR 1973",167848,-44144,-20.82,"_","_","_","_","_","_","_","_","_","_","_","_",73413,-9.64
"MAY 1973",158354,-40231,-20.26,"_","_","_","_","_","_","_","_","_","_","_","_",85311,5.83
"JUN 1973",143355,-42642,-22.93,"_","_","_","_","_","_","_","_","_","_","_","_",79972,-3.56
"JUL 1973",140682,-41491,-22.78,"_","_","_","_","_","_","_","_","_","_","_","_",67042,13.01
"AGO 1973",143530,-34699,-19.47,"_","_","_","_","_","_","_","_","_","_","_","_",50789,-17.99
"SEP 1973",138837,-34378,-19.85,"_","_","_","_","_","_","_","_","_","_","_","_",71433,-5.85
"OCT 1973",133724,-35001,-20.74,"_","_","_","_","_","_","_","_","_","_","_","_",83117,3.06
"NOV 1973",132067,-34393,-20.66,"_","_","_","_","_","_","_","_","_","_","_","_",87143,-3.94
"DIC 1973",128774,-34438,-21.10,"_","_","_","_","_","_","_","_","_","_","_","_",75988,8.92
"ENE 1974",132944,-35556,-21.10,"_","_","_","_","_","_","_","_","_","_","_","_",80084,17.83
"FEB 1974",133863,-35761,-21.08,"_","_","_","_","_","_","_","_","_","_","_","_",73033,-8.55
"MAR 1974",138976,-30437,-17.97,"_","_","_","_","_","_","_","_","_","_","_","_",81554,-4.24
"ABR 1974",141651,-26197,-15.61,"_","_","_","_","_","_","_","_","_","_","_","_",75471,2.80
"MAY 1974",140197,-18157,-11.47,"_","_","_","_","_","_","_","_","_","_","_","_",56673,-33.57
"JUN 1974",135401,-7954,-5.55,"_","_","_","_","_","_","_","_","_","_","_","_",61669,-22.89
"JUL 1974",139885,-797,-0.57,"_","_","_","_","_","_","_","_","_","_","_","_",46423,-30.76
"AGO 1974",148564,5034,3.51,"_","_","_","_","_","_","_","_","_","_","_","_",41153,-18.97
"SEP 1974",154386,15549,11.20,"_","_","_","_","_","_","_","_","_","_","_","_",59007,-17.40
"OCT 1974",160554,26830,20.06,"_","_","_","_","_","_","_","_","_","_","_","_",56966,-31.46
"NOV 1974",181145,49078,37.16,"_","_","_","_","_","_","_","_","_","_","_","_",46300,-46.87
"DIC 1974",195710,66936,51.98,"_","_","_","_","_","_","_","_","_","_","_","_",37485,-50.67
"ENE 1975",224379,91435,68.78,"_","_","_","_","_","_","_","_","_","_","_","_",51970,-35.11
"FEB 1975",232426,98563,73.63,"_","_","_","_","_","_","_","_","_","_","_","_",53299,-27.02
"MAR 1975",240336,101360,72.93,"_","_","_","_","_","_","_","_","_","_","_","_",49192,-39.68
"ABR 1975",242906,101255,71.48,"_","_","_","_","_","_","_","_","_","_","_","_",61026,-19.14
"MAY 1975",243841,103644,73.93,"_","_","_","_","_","_","_","_","_","_","_","_",54000,-4.72
"JUN 1975",243652,108251,79.95,"_","_","_","_","_","_","_","_","_","_","_","_",54440,-11.72
"JUL 1975",250905,111020,79.37,"_","_","_","_","_","_","_","_","_","_","_","_",45249,-2.53
"AGO 1975",257709,109145,73.47,"_","_","_","_","_","_","_","_","_","_","_","_",37457,-8.98
"SEP 1975",265736,111350,72.12,"_","_","_","_","_","_","_","_","_","_","_","_",59596,1.00
"OCT 1975",274593,114039,71.03,"_","_","_","_","_","_","_","_","_","_","_","_",54157,-4.93
"NOV 1975",300523,119378,65.90,"_","_","_","_","_","_","_","_","_","_","_","_",52643,13.70
"DIC 1975",301852,106142,54.23,"_","_","_","_","_","_","_","_","_","_","_","_",39284,4.80
"ENE 1976",317168,92789,41.35,"_","_","_","_","_","_","_","_","_","_","_","_",60687,16.77
"FEB 1976",330129,97703,42.04,"_","_","_","_","_","_","_","_","_","_","_","_",49314,-7.48
"MAR 1976",349268,108932,45.32,"_","_","_","_","_","_","_","_","_","_","_","_",56793,15.45
"ABR 1976",362323,119417,49.16,"_","_","_","_","_","_","_","_","_","_","_","_",45428,-25.56
"MAY 1976",363146,119305,48.93,"_","_","_","_","_","_","_","_","_","_","_","_",77387,43.31
"JUN 1976",361266,117614,48.27,"_","_","_","_","_","_","_","_","_","_","_","_",56338,3.49
"JUL 1976",366078,115173,45.90,"_","_","_","_","_","_","_","_","_","_","_","_",52321,15.63
"AGO 1976",376143,118434,45.96,"_","_","_","_","_","_","_","_","_","_","_","_",57157,52.59
"SEP 1976",382194,116458,43.82,"_","_","_","_","_","_","_","_","_","_","_","_",59738,0.24
"OCT 1976",413987,139394,50.76,"_","_","_","_","_","_","_","_","_","_","_","_",66792,23.33
"NOV 1976",447140,146617,48.79,"_","_","_","_","_","_","_","_","_","_","_","_",76379,45.09
"DIC 1976",447507,145655,48.25,"_","_","_","_","_","_","_","_","_","_","_","_",67115,70.85
"ENE 1977",471119,153951,48.54,"_","_","_","_","_","_","_","_","_","_","_","_",83355,37.35
"FEB 1977",483530,153401,46.47,"_","_","_","_","_","_","_","_","_","_","_","_",79414,61.04
"MAR 1977",488254,138986,39.79,"_","_","_","_","_","_","_","_","_","_","_","_",93540,64.70
"ABR 1977",487555,125232,34.56,"_","_","_","_","_","_","_","_","_","_","_","_",90229,98.62
"MAY 1977",494845,131699,36.27,"_","_","_","_","_","_","_","_","_","_","_","_",104525,35.07
