"","IE_7_2.1","IE_7_2.2","IE_7_2.3","IE_7_2.4","IE_7_2.5","IE_7_2.6","IE_7_2.7","IE_7_2.8","IE_7_2.9","IE_7_2.10","IE_7_2.11","IE_7_2.12","IE_7_2.13","IE_7_2.14","IE_7_2.15","IE_7_2.16"
"NÚMERO SECUENCIAL",2386887,2386889,2386894,2386913,2386914,2386895,2408038,2408040,2386896,2408037,2408039,2386897,2386888,2386898,2386899,2386900
"DESCRIPCIÓN DE LA SERIE","CF. Neto (VNA-VNP)","CF.  Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. VNA","CF. Inversión directa.VNP","CF. Inversión de cartera. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNA","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNP","CF. Otra inversión. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Otra inversión. Total sectores excluido el Banco de España. VNA","CF. Otra inversión. Total sectores excluido el Banco de España. VNP","CF. Derivados finan. y opciones de compra de acciones. Total sectores excluido el BE. Neto","CF.  Banco de España. Neto (VNA-VNP)","CF. Activos de reserva. Todas las monedas excepto moneda nacional. Banco de España. VNA","CF. Activos netos del Banco de España frente al Eurosistema. Banco de España. Neto (VNA-VNP)","CF. Otros activos netos del Banco de España. Neto (VNA-VNP)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"FEB 2003",-2268,2449,-363,1923,2286,3240,6443,3203,-199,6089,6288,-229,-4717,-186,-4830,299
"MAR 2003",-2828,-3557,-734,850,1584,3436,11362,7927,-7009,-1380,5629,751,728,-804,683,849
"ABR 2003",-2467,-3788,-722,927,1648,-87,7441,7529,-3316,8345,11661,336,1321,-674,1320,675
"MAY 2003",-621,-3489,491,1749,1258,1732,5267,3535,-6930,-5095,1835,1218,2868,-1630,2711,1788
"JUN 2003",-397,1275,-2043,1360,3403,26,1379,1354,3648,-2326,-5974,-356,-1671,-658,-1602,589
"JUL 2003",-1998,-317,2388,3333,944,11318,10922,-395,-14110,941,15052,87,-1681,-3284,-1546,3149
"AGO 2003",-505,12048,460,4274,3814,8965,5070,-3895,2714,6300,3587,-90,-12553,-1748,-12612,1807
"SEP 2003",-2821,-14640,878,1699,820,-1594,5395,6989,-14313,-6925,7388,388,11819,-585,9607,2797
"OCT 2003",-1251,-7005,261,2402,2141,-7072,740,7812,-199,866,1064,4,5754,-187,3874,2067
"NOV 2003",-663,-3302,1943,2766,824,-1619,3276,4895,-2998,1788,4786,-628,2639,-3104,4780,963
"DIC 2003",-17,11847,803,3609,2805,1522,5842,4320,8860,11722,2862,662,-11864,-166,-12601,903
"ENE 2004",-3652,-10764,319,1315,996,-7725,1129,8855,-3083,7270,10353,-274,7111,-1320,7132,1299
"FEB 2004",-2655,2063,419,-1741,-2161,-13522,1064,14586,15207,2992,-12215,-42,-4719,-1393,-4690,1365
"MAR 2004",-2969,-5427,5324,4479,-845,-2345,4718,7064,-8617,-4377,4240,212,2458,-921,2416,963
"ABR 2004",-1168,-529,-1669,1596,3265,1229,6649,5420,-381,8099,8480,291,-638,-721,-570,652
"MAY 2004",-1629,-7839,-32,1651,1683,7121,7218,97,-14620,-3241,11379,-309,6209,107,6473,-370
"JUN 2004",-4316,-3088,951,5344,4393,-7244,1958,9202,3299,7901,4602,-94,-1228,-182,-970,-76
"JUL 2004",-3219,-9619,2261,4163,1902,-11017,-95,10922,-905,-384,522,42,6400,-69,6330,139
"AGO 2004",-1896,5890,1311,2258,947,1749,2303,554,2602,-726,-3328,228,-7786,-28,-7650,-108
"SEP 2004",-4108,1934,1621,2323,702,-15159,-4912,10247,15808,12123,-3685,-335,-6041,-219,-6117,295
"OCT 2004",-3858,-32285,3313,3914,601,-9952,3593,13545,-25623,-4811,20812,-23,28427,-344,27589,1182
"NOV 2004",-2716,9677,12880,15200,2319,-20456,1935,22391,18452,1816,-16636,-1200,-12393,-12,-13138,758
"DIC 2004",-2344,1446,2253,8685,6432,-8309,1562,9871,6073,1756,-4317,1429,-3789,-44,-3045,-700
"ENE 2005",-6647,-4246,2330,3942,1612,-8750,-1296,7455,1685,5869,4185,490,-2401,-94,-2351,45
"FEB 2005",-5581,-13433,-1353,695,2048,-10905,3990,14896,-1069,2689,3758,-106,7853,-112,5202,2763
"MAR 2005",-4289,2421,5386,5267,-118,-7595,5664,13259,3587,8329,4742,1044,-6710,-1343,-9579,4212
"ABR 2005",-4917,-5684,1362,2741,1380,-3792,2237,6029,-4170,4976,9146,917,767,-189,-1021,1976
"MAY 2005",-4155,816,961,1557,596,-8569,1176,9744,8573,4909,-3665,-150,-4971,39,-6595,1585
"JUN 2005",-3813,-10181,4266,4533,267,-14305,12282,26587,747,3664,2917,-889,6367,-8,4430,1945
"JUL 2005",-4975,-369,118,1641,1523,12700,14783,2084,-12418,3904,16322,-768,-4606,-109,-6086,1589
"AGO 2005",-4072,-571,-256,-319,-63,13481,8524,-4957,-14285,-14573,-288,490,-3501,-3,-4913,1415
"SEP 2005",-7595,-18860,686,3049,2363,-25833,-1632,24201,6315,13020,6705,-28,11265,100,10184,981
"OCT 2005",-5121,-6301,-619,1651,2269,-3412,6455,9867,-1381,6869,8250,-890,1181,71,986,124
"NOV 2005",-4638,-789,-5644,3254,8898,8595,23650,15055,-2904,5953,8857,-836,-3848,463,-4286,-25
"DIC 2005",-4720,-5439,6275,7376,1100,-10045,4210,14254,-2031,1642,3672,361,719,-254,-826,1798
"ENE 2006",-7164,-17654,1474,3912,2438,-17413,5088,22501,-2492,2152,4644,777,10490,-45,9761,774
"FEB 2006",-8247,-7226,25227,27462,2235,-20312,5868,26180,-11830,13718,25548,-311,-1021,24,-962,-83
"MAR 2006",-8823,-9835,3697,312,-3385,-9724,10816,20540,-2895,2609,5504,-913,1012,233,952,-173
