"","IE_2_7.1","IE_2_7.2","IE_2_7.3","IE_2_7.4","IE_2_7.5","IE_2_7.6","IE_2_7.7","IE_2_7.8","IE_2_7.9","IE_2_7.10","IE_2_7.11"
"SEP 1986","_","_","_","_","_","_","_",14.10,149.642,417.4546,"_"
"OCT 1986","_","_","_","_","_","_","_",13.90,152.021,424.0908,"_"
"NOV 1986","_","_","_","_","_","_","_",14.65,142.299,396.9709,"_"
"DIC 1986","_","_","_","_","_","_","_",16.00,140.165,391.0164,"_"
"ENE 1987","_","_","_","_","_","_","_",18.40,146.425,408.4807,"_"
"FEB 1987","_","_","_","_","_","_","_",17.40,143.788,401.1248,"_"
"MAR 1987","_","_","_","_","_","_","_",17.90,146.580,408.9133,"_"
"ABR 1987","_","_","_","_","_","_","_",18.30,157.169,438.4524,"_"
"MAY 1987","_","_","_","_","_","_","_",18.90,165.245,460.9822,"_"
"JUN 1987","_","_","_","_","_","_","_",19.03,161.158,449.5815,"_"
"JUL 1987","_","_","_","_","_","_","_",19.86,161.418,450.3066,"_"
"AGO 1987","_","_","_","_","_","_","_",19.13,165.304,461.1472,"_"
"SEP 1987","_","_","_","_","_","_","_",18.34,165.017,460.3474,"_"
"OCT 1987","_","_","_","_","_","_","_",18.76,166.874,465.5259,"_"
"NOV 1987","_","_","_","_","_","_","_",18.03,167.679,467.7722,"_"
"DIC 1987","_","_","_","_","_","_","_",17.46,174.337,486.3472,"_"
"ENE 1988","_","_","_","_","_","_","_",16.94,170.776,476.4131,"_"
"FEB 1988","_","_","_","_","_","_","_",16.01,158.467,442.0735,"_"
"MAR 1988","_","_","_","_","_","_","_",14.69,159.016,443.6062,"_"
"ABR 1988","_","_","_","_","_","_","_",16.60,161.863,451.5471,"_"
"MAY 1988","_","_","_","_","_","_","_",16.28,161.673,451.0183,"_"
"JUN 1988","_","_","_","_","_","_","_",15.47,161.745,451.2190,"_"
"JUL 1988","_","_","_","_","_","_","_",14.58,156.947,437.8340,"_"
"AGO 1988","_","_","_","_","_","_","_",15.06,154.597,431.2771,"_"
"SEP 1988","_","_","_","_","_","_","_",13.56,148.208,413.4543,"_"
"OCT 1988","_","_","_","_","_","_","_",12.36,145.823,406.7998,"_"
"NOV 1988","_","_","_","_","_","_","_",13.07,150.773,420.6094,"_"
"DIC 1988","_","_","_","_","_","_","_",15.03,150.213,419.0471,"_"
"ENE 1989","_","_","_","_","_","_","_",16.60,144.824,404.0142,"_"
"FEB 1989","_","_","_","_","_","_","_",16.66,138.907,387.5073,"_"
"MAR 1989","_","_","_","_","_","_","_",18.72,139.854,390.1497,"_"
"ABR 1989","_","_","_","_","_","_","_",19.75,137.793,384.3997,"_"
"MAY 1989","_","_","_","_","_","_","_",18.26,132.956,370.9072,"_"
"JUN 1989","_","_","_","_","_","_","_",17.42,131.622,367.1831,"_"
"JUL 1989","_","_","_","_","_","_","_",17.89,134.437,375.0378,"_"
"AGO 1989","_","_","_","_","_","_","_",17.15,130.790,364.8647,"_"
"SEP 1989","_","_","_","_","_","_","_",17.68,129.672,361.7451,"_"
"OCT 1989","_","_","_","_","_","_","_",18.86,131.514,366.8838,"_"
"NOV 1989","_","_","_","_","_","_","_",18.56,141.836,395.6797,"_"
"DIC 1989","_","_","_","_","_","_","_",19.41,146.899,409.8032,"_"
"ENE 1990","_","_","_","_","_","_","_",19.95,147.009,410.1089,"_"
"FEB 1990","_","_","_","_","_","_","_",19.67,149.411,416.8098,"_"
"MAR 1990","_","_","_","_","_","_","_",18.63,140.897,393.0588,"_"
"ABR 1990","_","_","_","_","_","_","_",17.33,134.152,374.2419,"_"
"MAY 1990","_","_","_","_","_","_","_",17.20,132.298,369.0691,"_"
"JUN 1990","_","_","_","_","_","_","_",15.83,126.213,352.0947,"_"
"JUL 1990","_","_","_","_","_","_","_",17.94,129.953,362.5293,"_"
"AGO 1990","_","_","_","_","_","_","_",26.39,141.432,394.5522,"_"
"SEP 1990","_","_","_","_","_","_","_",32.74,139.558,389.3223,"_"
"OCT 1990","_","_","_","_","_","_","_",35.47,136.316,380.2793,"_"
"NOV 1990","_","_","_","_","_","_","_",31.63,136.787,381.5923,"_"
"DIC 1990","_","_","_","_","_","_","_",27.34,135.277,377.3809,"_"
"ENE 1991","_","_","_","_","_","_","_",23.91,137.520,383.6387,"_"
"FEB 1991","_","_","_","_","_","_","_",18.25,130.420,363.8300,"_"
"MAR 1991","_","_","_","_","_","_","_",18.83,130.372,363.6972,"_"
"ABR 1991","_","_","_","_","_","_","_",19.08,128.465,358.3785,"_"
"MAY 1991","_","_","_","_","_","_","_",19.60,128.021,357.1375,"_"
"JUN 1991","_","_","_","_","_","_","_",18.44,131.455,366.7175,"_"
"JUL 1991","_","_","_","_","_","_","_",19.41,131.785,367.6386,"_"
"AGO 1991","_","_","_","_","_","_","_",20.02,127.685,356.2025,"_"
"SEP 1991","_","_","_","_","_","_","_",20.36,125.070,348.9050,"_"
"OCT 1991","_","_","_","_","_","_","_",21.77,128.576,358.6869,"_"
"NOV 1991","_","_","_","_","_","_","_",21.13,129.150,360.2875,"_"
"DIC 1991","_","_","_","_","_","_","_",18.24,129.155,360.3033,"_"
"ENE 1992","_","_","_","_","_","_","_",17.84,127.128,354.6476,"_"
"FEB 1992","_","_","_","_","_","_","_",17.92,126.873,353.9375,"_"
"MAR 1992","_","_","_","_","_","_","_",17.73,123.538,344.6333,"_"
"ABR 1992","_","_","_","_","_","_","_",18.95,121.426,338.7417,"_"
"MAY 1992","_","_","_","_","_","_","_",19.85,120.845,337.1206,"_"
"JUN 1992","_","_","_","_","_","_","_",21.00,122.182,340.8500,"_"
"JUL 1992","_","_","_","_","_","_","_",20.26,126.437,352.7196,"_"
"AGO 1992","_","_","_","_","_","_","_",19.80,123.045,343.2575,"_"
"SEP 1992","_","_","_","_","_","_","_",20.35,123.824,345.4296,"_"
"OCT 1992","_","_","_","_","_","_","_",20.45,123.418,344.2976,"_"
"NOV 1992","_","_","_","_","_","_","_",19.36,120.103,335.0500,"_"
"DIC 1992","_","_","_","_","_","_","_",18.30,120.063,334.9395,"_"
"ENE 1993","_","_","_","_","_","_","_",17.44,117.952,329.0500,"_"
"FEB 1993","_","_","_","_","_","_","_",18.37,118.041,329.2975,"_"
"MAR 1993","_","_","_","_","_","_","_",18.73,118.266,329.9262,"_"
"ABR 1993","_","_","_","_","_","_","_",18.88,122.736,342.3947,"_"
"MAY 1993","_","_","_","_","_","_","_",18.77,131.620,367.1789,"_"
"JUN 1993","_","_","_","_","_","_","_",17.97,133.309,371.8910,"_"
"JUL 1993","_","_","_","_","_","_","_",16.97,140.585,392.1886,"_"
"AGO 1993","_","_","_","_","_","_","_",16.90,135.837,378.9428,"_"
"SEP 1993","_","_","_","_","_","_","_",16.19,127.353,355.2750,"_"
"OCT 1993","_","_","_","_","_","_","_",16.94,130.609,364.3575,"_"
"NOV 1993","_","_","_","_","_","_","_",15.26,134.154,374.2475,"_"
"DIC 1993","_","_","_","_","_","_","_",13.79,137.381,383.2500,"_"
"ENE 1994","_","_","_","_","_","_","_",13.90,138.703,386.9395,"_"
"FEB 1994","_","_","_","_","_","_","_",13.76,136.897,381.9001,"_"
"MAR 1994","_","_","_","_","_","_","_",13.47,137.613,383.8977,"_"
"ABR 1994","_","_","_","_","_","_","_",14.89,135.238,377.2711,"_"
"MAY 1994","_","_","_","_","_","_","_",16.06,136.627,381.1473,"_"
"JUN 1994","_","_","_","_","_","_","_",16.75,138.239,385.6432,"_"
"JUL 1994","_","_","_","_","_","_","_",17.67,138.193,385.5150,"_"
"AGO 1994","_","_","_","_","_","_","_",17.17,136.407,380.5333,"_"
"SEP 1994","_","_","_","_","_","_","_",16.26,140.379,391.6143,"_"
"OCT 1994","_","_","_","_","_","_","_",16.59,139.752,389.8650,"_"
"NOV 1994","_","_","_","_","_","_","_",17.02,137.803,384.4275,"_"
"DIC 1994","_","_","_","_","_","_","_",16.26,136.108,379.7000,"_"
"ENE 1995",106.52,141.52,140.02,143.92,150.24,137.17,"_",16.52,135.756,378.7175,"_"
"FEB 1995",103.33,139.16,139.73,138.54,154.44,124.95,"_",16.95,135.011,376.6400,"_"
"MAR 1995",100.85,140.55,141.58,139.48,159.80,122.58,"_",16.83,136.974,382.1160,"_"
"ABR 1995",98.36,139.44,139.02,140.16,158.50,124.70,"_",18.30,140.209,391.1382,"_"
"MAY 1995",97.66,137.49,138.02,137.20,157.48,120.46,"_",18.40,137.970,384.8944,"_"
"JUN 1995",96.37,136.52,139.02,133.71,145.17,123.32,"_",17.18,138.999,387.7643,"_"
"JUL 1995",96.57,138.33,140.87,135.32,140.53,129.43,"_",15.92,138.450,386.2334,"_"
"AGO 1995",99.16,138.46,143.44,132.36,133.14,129.68,"_",16.16,137.482,383.5310,"_"
"SEP 1995",99.45,136.94,142.87,129.81,135.61,122.83,"_",16.60,137.311,383.0547,"_"
"OCT 1995",97.76,138.05,147.99,125.78,133.58,118.21,"_",16.13,137.369,383.2167,"_"
"NOV 1995",98.36,139.44,148.28,128.60,135.61,121.45,"_",16.66,138.177,385.4700,"_"
"DIC 1995",99.16,139.02,148.56,127.12,134.59,119.71,"_",17.69,138.829,387.2900,"_"
"ENE 1996",98.96,137.49,149.13,123.09,133.72,113.35,"_",17.50,143.189,399.4523,"_"
"FEB 1996",100.55,139.44,152.27,123.49,135.75,112.72,"_",17.48,145.092,404.7619,"_"
"MAR 1996",100.65,139.02,150.84,124.17,134.74,114.47,"_",18.82,142.029,396.2167,"_"
"ABR 1996",105.62,143.88,158.96,124.70,137.06,113.85,"_",19.93,140.804,392.8000,"_"
"MAY 1996",110.59,148.59,164.80,128.20,143.58,115.09,"_",18.91,140.472,391.8722,"_"
"JUN 1996",104.13,140.55,156.54,120.54,140.39,104.37,"_",18.24,138.106,385.2725,"_"
"JUL 1996",100.35,137.63,153.83,117.31,138.65,100.13,"_",19.31,137.455,383.4565,"_"
"AGO 1996",98.26,136.24,149.70,119.33,143.72,99.88,"_",20.29,138.887,387.4525,"_"
"SEP 1996",98.26,134.72,147.99,118.12,143.29,98.01,"_",22.31,137.340,383.1357,"_"
"OCT 1996",94.58,128.34,138.45,115.57,142.13,94.64,"_",24.07,136.599,381.0696,"_"
"NOV 1996",94.48,129.31,135.74,121.48,144.88,102.62,"_",22.79,135.447,377.8548,"_"
"DIC 1996",95.97,128.61,134.60,121.21,143.29,103.25,"_",23.73,132.245,368.9236,"_"
"ENE 1997",101.64,131.67,136.88,126.32,143.87,109.98,"_",23.24,127.237,354.9524,"_"
"FEB 1997",107.71,133.89,140.59,125.51,144.44,109.98,"_",20.92,124.241,346.5925,"_"
"MAR 1997",114.67,140.13,150.42,127.26,143.29,113.72,"_",19.51,126.183,352.0111,"_"
"ABR 1997",115.47,140.27,152.41,125.11,144.44,109.11,"_",18.30,123.481,344.4727,"_"
"MAY 1997",117.46,143.18,156.54,126.58,141.40,113.85,"_",19.26,123.408,344.2694,"_"
"JUN 1997",114.77,138.33,149.28,124.57,137.93,112.85,"_",18.14,122.098,340.6143,"_"
"JUL 1997",114.17,133.05,141.44,122.69,133.14,112.85,"_",18.27,116.179,324.1046,"_"
"AGO 1997",118.65,133.89,142.30,123.49,132.85,114.84,"_",18.86,116.133,323.9763,"_"
"SEP 1997",112.08,130.14,139.73,118.25,128.22,109.23,"_",18.90,115.732,322.8571,"_"
"OCT 1997",107.91,128.06,138.74,114.76,126.33,104.62,"_",19.98,116.454,324.8717,"_"
"NOV 1997",105.42,127.23,138.74,112.74,125.61,101.75,"_",19.49,109.703,306.0375,"_"
"DIC 1997",106.81,124.73,139.31,106.43,118.22,96.27,"_",17.55,103.528,288.8111,"_"
"ENE 1998",106.91,122.23,138.74,101.59,110.98,93.15,"_",15.80,103.630,289.0952,"_"
"FEB 1998",106.52,121.95,137.45,102.40,115.61,91.15,"_",14.73,106.640,297.4925,"_"
"MAR 1998",104.63,119.04,131.61,103.20,116.05,92.27,"_",13.62,106.084,295.9409,"_"
"ABR 1998",102.14,117.38,128.34,103.74,115.61,93.40,"_",14.11,110.509,308.2850,"_"
"MAY 1998",98.26,114.88,126.63,100.25,113.01,89.41,"_",14.55,107.041,298.6111,"_"
"JUN 1998",95.58,110.72,121.50,97.29,111.70,85.17,"_",13.67,104.775,292.2909,"_"
"JUL 1998",95.28,110.44,120.65,97.56,111.85,85.67,"_",12.95,105.030,293.0022,"_"
"AGO 1998",92.79,107.66,116.37,96.89,111.99,84.42,"_",12.33,101.843,284.1100,"_"
"SEP 1998",86.33,105.03,112.67,95.54,107.21,85.54,"_",13.49,103.603,289.0205,"_"
"OCT 1998",82.85,104.47,114.66,91.78,102.57,82.55,"_",13.14,106.079,295.9273,"_"
"NOV 1998",85.13,105.17,115.52,92.05,103.59,82.42,"_",11.90,105.391,294.0075,"_"
"DIC 1998",83.64,103.78,114.24,90.84,104.31,79.56,"_",10.30,104.427,291.3175,"_"
"ENE 1999",84.04,103.64,113.52,91.24,107.50,78.18,"_",11.07,102.907,287.0775,7.97
"FEB 1999",84.24,100.03,107.54,90.84,106.78,77.81,"_",10.47,102.997,287.3300,8.25
"MAR 1999",85.93,99.06,105.97,90.44,105.91,77.69,"_",12.80,102.495,285.9305,8.45
"ABR 1999",86.43,98.23,102.70,92.72,105.47,82.05,"_",15.49,101.308,282.6175,8.47
"MAY 1999",87.82,99.20,101.84,96.08,108.51,85.67,"_",15.90,99.148,276.5921,8.36
"JUN 1999",89.61,98.65,101.42,95.54,110.98,82.80,"_",16.17,93.696,261.3818,8.08
"JUL 1999",87.72,96.43,94.72,98.90,110.54,88.91,"_",18.77,91.795,256.0795,7.95
"AGO 1999",88.51,99.48,100.42,98.63,105.04,92.52,"_",20.51,92.015,256.6928,7.78
"SEP 1999",91.20,101.56,102.70,100.51,103.30,97.01,"_",23.13,94.901,264.7432,8.11
"OCT 1999",88.41,100.31,101.84,98.77,100.55,95.89,"_",22.33,111.386,310.7310,9.18
"NOV 1999",90.30,101.14,101.27,101.32,104.75,97.26,"_",24.13,105.073,293.1205,9.12
"DIC 1999",93.79,100.59,100.42,100.92,99.68,100.38,"_",25.44,101.517,283.2000,9.00
"ENE 2000",95.43,103.15,101.38,105.70,103.96,105.34,89.289,25.33,101.916,284.3150,9.02
"FEB 2000",99.26,103.45,101.05,106.75,107.12,104.84,96.160,27.36,107.541,300.0071,9.82
"MAR 2000",101.12,103.47,101.92,105.72,107.32,102.91,97.364,27.88,102.660,286.3891,9.52
"ABR 2000",102.29,102.91,103.66,102.20,106.96,97.17,83.055,23.03,100.260,279.6944,9.50
"MAY 2000",107.55,103.92,105.06,102.80,105.10,99.56,96.443,27.41,98.649,275.2000,9.76
"JUN 2000",100.90,102.15,103.16,101.12,102.83,98.29,104.908,29.86,102.434,285.7591,9.66
"JUL 2000",100.22,100.28,99.96,100.95,98.88,100.94,99.737,28.83,100.938,281.5857,9.63
"AGO 2000",103.45,99.48,98.71,100.76,98.75,100.58,104.165,29.91,98.387,274.4682,9.75
"SEP 2000",109.42,101.04,99.21,103.61,98.66,105.55,113.621,32.49,98.151,273.8095,10.09
"OCT 2000",110.12,99.92,100.85,99.09,97.07,99.01,111.213,31.34,96.785,270.0000,10.17
"NOV 2000",109.33,99.10,100.24,97.93,98.30,96.17,114.507,32.68,95.312,265.8909,10.00
"DIC 2000",106.29,100.93,101.81,100.15,98.34,99.88,89.537,26.37,97.330,271.5206,9.75
"ENE 2001",101.66,101.14,102.73,99.49,96.69,99.98,91.910,25.77,95.167,265.4850,9.10
"FEB 2001",101.32,98.85,100.10,97.52,94.50,98.26,96.479,27.35,93.891,261.9260,9.14
"MAR 2001",101.34,97.88,99.67,95.88,95.04,95.08,88.616,25.83,94.296,263.0569,9.30
"ABR 2001",101.84,95.97,95.54,96.72,100.47,92.56,90.883,26.11,93.372,260.4790,9.38
"MAY 2001",106.44,98.78,97.03,101.27,107.70,95.05,97.577,28.54,97.638,272.3795,10.01
"JUN 2001",106.29,96.25,96.04,96.85,103.15,90.78,95.523,27.83,96.856,270.1976,10.18
"JUL 2001",105.38,96.20,99.48,92.26,98.40,86.41,87.837,24.54,95.847,267.3831,9.99
"AGO 2001",99.70,95.00,98.96,90.23,98.30,83.02,91.414,25.75,97.640,272.3864,9.73
"SEP 2001",95.55,92.30,96.82,86.67,92.65,80.96,88.652,25.69,101.596,283.4200,9.99
"OCT 2001",90.72,87.41,93.21,80.20,82.06,77.61,73.422,20.38,101.491,283.1283,10.04
"NOV 2001",95.60,89.87,95.86,82.34,83.02,80.65,66.196,18.90,98.994,276.1636,10.00
"DIC 2001",96.12,90.98,96.57,84.02,85.62,81.64,65.594,18.66,98.914,275.9389,9.94
"ENE 2002",99.20,92.98,97.71,87.13,89.62,83.97,67.826,19.54,100.925,281.5500,10.25
"FEB 2002",101.22,93.65,96.75,89.90,95.62,84.33,70.765,20.41,105.942,295.5450,10.91
"MAR 2002",104.45,97.02,99.92,93.56,100.22,87.29,83.728,23.66,105.288,293.7210,10.79
"ABR 2002",102.32,96.15,99.14,92.59,99.53,86.19,90.068,25.68,108.413,302.4376,10.97
"MAY 2002",98.14,95.25,97.96,92.12,100.18,84.82,90.989,25.40,112.734,314.4932,11.03
"JUN 2002",96.22,97.05,99.49,94.20,103.19,86.23,86.739,24.13,115.130,321.1778,10.77
"JUL 2002",95.83,101.00,106.72,94.04,103.36,85.74,91.202,25.83,112.303,313.2913,10.15
"AGO 2002",97.81,101.04,109.07,91.11,101.85,81.15,94.850,26.75,111.217,310.2595,10.20
"SEP 2002",100.30,104.26,114.70,91.18,101.99,81.93,100.162,28.42,114.380,319.0833,10.47
"OCT 2002",100.03,104.17,113.98,91.94,103.47,82.15,97.506,27.54,113.474,316.5565,10.37
"NOV 2002",99.06,105.48,113.77,95.07,105.00,86.45,87.801,24.32,114.374,319.0667,10.24
"DIC 2002",96.83,105.06,112.24,96.13,107.27,86.59,98.781,28.24,119.228,332.6079,10.51
"ENE 2003",94.44,106.52,113.13,98.36,109.78,88.44,108.981,31.33,127.921,356.8591,10.80
"FEB 2003",96.15,109.71,115.41,102.63,115.36,91.84,116.455,32.75,128.677,358.9700,10.70
"MAR 2003",93.16,106.94,111.14,101.79,114.45,91.03,107.529,30.29,122.109,340.6452,10.13
"ABR 2003",91.20,105.11,110.43,98.28,112.66,86.38,90.281,24.96,117.479,327.7289,9.72
"MAY 2003",86.67,106.62,113.06,98.60,108.77,89.79,92.300,25.78,127.772,356.4447,9.89
"JUN 2003",86.20,106.80,110.50,102.40,114.71,91.87,98.852,27.56,127.739,356.3524,9.82
"JUL 2003",87.40,105.69,107.71,103.31,115.24,93.10,101.260,28.47,125.827,351.0196,9.92
"AGO 2003",92.07,108.84,110.46,107.13,120.14,96.05,105.121,29.83,128.963,359.7675,10.38
"SEP 2003",93.84,112.08,114.75,109.22,125.32,95.44,95.204,27.06,135.838,378.9455,10.83
"OCT 2003",93.74,116.44,118.69,113.82,128.00,101.72,102.748,29.56,135.829,378.9196,10.41
"NOV 2003",97.37,120.60,123.35,117.35,130.39,106.05,103.137,28.87,139.768,389.9100,10.70
"DIC 2003",94.26,123.12,124.55,121.57,129.38,113.97,106.077,29.95,145.946,407.1451,10.66
"ENE 2004",95.13,127.92,127.95,128.20,135.03,121.30,111.213,31.28,148.328,413.7881,10.54
"FEB 2004",97.14,130.66,128.91,133.37,137.60,128.28,110.929,30.84,145.134,404.8775,10.28
"MAR 2004",104.49,136.38,137.43,135.43,139.26,130.58,119.253,33.79,145.775,406.6674,10.65
"ABR 2004",108.58,137.60,138.81,136.43,140.24,131.62,119.394,33.44,144.554,403.2600,10.82
"MAY 2004",105.74,134.51,137.56,131.15,141.22,121.80,133.278,37.59,137.496,383.5710,10.28
"JUN 2004",101.79,131.04,131.40,130.99,135.24,125.88,125.876,35.25,140.651,392.3727,10.38
"JUL 2004",99.12,128.89,125.53,133.48,133.38,131.47,134.341,38.37,142.701,398.0909,10.43
"AGO 2004",96.31,124.56,119.02,132.01,132.83,129.46,149.039,42.48,143.568,400.5095,10.57
"SEP 2004",94.11,122.16,115.38,131.15,128.54,131.09,147.516,43.29,145.276,405.2750,10.67
"OCT 2004",91.22,120.67,113.17,130.62,118.47,137.45,166.005,49.77,150.721,420.4643,10.82
"NOV 2004",88.34,121.73,114.46,131.45,118.54,138.84,149.571,42.98,157.500,439.3750,10.87
"DIC 2004",86.72,123.45,116.62,132.40,118.04,140.87,138.449,39.69,158.360,441.7762,10.60
"ENE 2005",89.48,124.38,117.33,133.44,121.19,140.38,151.908,44.06,152.197,424.5810,10.40
"FEB 2005",91.18,128.10,119.90,138.70,127.15,145.03,157.823,45.40,151.755,423.3500,10.46
"MAR 2005",96.46,137.58,131.68,145.22,132.08,152.42,180.384,53.26,155.402,433.5239,10.57
"ABR 2005",96.00,134.20,127.55,142.78,129.68,149.86,179.357,51.12,153.864,429.2334,10.67
"MAY 2005",96.60,132.26,128.02,137.78,129.24,142.48,169.334,48.00,151.392,422.3363,10.69
"JUN 2005",102.80,134.90,130.50,140.60,129.70,146.10,190.868,53.96,154.374,430.6568,11.39
"JUL 2005",103.53,134.65,129.58,141.23,135.58,144.28,199.652,57.68,152.313,424.9071,11.34
"AGO 2005",100.70,133.46,124.92,144.50,130.32,152.22,219.132,64.33,156.963,437.8783,11.45
"SEP 2005",100.25,132.60,122.10,146.20,134.58,152.53,218.352,62.59,163.476,456.0477,11.98
"OCT 2005",104.03,135.93,124.30,149.25,135.68,156.73,206.098,58.32,168.441,469.8976,12.57
"NOV 2005",106.60,135.80,122.42,153.12,132.78,164.20,194.729,55.01,170.867,476.6660,13.01
"DIC 2005",111.63,143.25,127.33,163.85,136.03,179.00,200.006,56.55,182.786,509.9174,13.81
"ENE 2006",115.23,150.88,133.43,173.44,143.03,189.52,220.867,62.87,197.106,549.8643,14.53
"FEB 2006",120.95,155.85,136.23,181.28,149.46,198.62,211.481,59.66,198.945,554.9950,14.94
"MAR 2006",119.35,155.15,134.40,181.95,148.25,200.33,215.802,61.59,199.697,557.0935,14.89
"ABR 2006",124.15,164.73,135.58,203.75,149.05,232.28,240.843,70.34,218.896,610.6528,15.99
"MAY 2006",129.20,178.92,138.24,231.54,156.30,272.52,243.003,69.44,241.563,673.8864,16.96
"JUN 2006",123.83,169.18,135.08,213.35,162.13,241.25,241.870,68.14,213.696,596.1454,15.12
"JUL 2006",129.15,176.90,139.13,225.70,158.00,262.63,256.817,73.46,227.161,633.7095,16.06
"AGO 2006",125.28,173.43,134.26,224.13,150.40,264.03,254.337,72.87,226.761,632.5933,15.85
"SEP 2006",125.03,171.95,134.85,219.90,139.05,264.00,219.486,61.20,214.427,598.1857,15.12
"OCT 2006",132.20,180.48,144.18,227.48,137.40,276.62,205.248,57.28,209.980,585.7795,14.93
"NOV 2006",131.98,184.05,151.95,225.58,135.03,274.93,205.885,58.52,225.053,627.8272,15.66
"DIC 2006",130.58,186.58,154.10,228.23,139.90,276.88,216.050,62.81,225.801,629.9139,15.32
"ENE 2007",130.15,183.93,155.15,221.20,150.90,259.68,189.133,53.64,226.250,631.1659,15.62
"FEB 2007",132.33,187.33,158.20,225.08,156.20,262.63,203.937,57.57,238.286,664.7451,16.34
"MAR 2007",133.70,191.45,158.00,234.73,154.33,278.58,214.634,62.29,234.756,654.8954,15.90
"ABR 2007",136.60,199.50,156.35,255.30,158.63,308.00,230.572,67.91,243.528,679.3684,16.15
"MAY 2007",138.48,202.68,159.92,257.98,160.00,311.44,230.572,67.39,239.044,666.8596,15.87
"JUN 2007",140.13,203.48,169.83,246.95,163.73,292.40,241.516,71.78,234.969,655.4905,15.70
"JUL 2007",137.80,204.58,171.48,247.38,161.88,294.04,260.925,77.87,238.386,665.0227,15.59
"AGO 2007",136.25,200.63,175.43,233.18,160.35,272.95,248.387,71.60,238.525,665.4114,15.70
"SEP 2007",139.25,208.65,191.35,231.03,162.05,268.70,272.400,78.19,255.531,712.8525,16.47
"OCT 2007",140.14,215.34,194.20,242.72,168.36,283.28,290.960,82.83,270.498,754.6043,17.05
"NOV 2007",134.10,213.08,197.50,233.25,175.70,264.73,323.261,93.09,289.010,806.2477,17.65
"DIC 2007",137.08,215.73,212.83,219.45,176.08,243.23,316.744,91.47,287.918,803.2029,17.77
"ENE 2008",142.72,227.08,225.72,228.82,181.88,254.56,321.667,92.41,318.887,889.5955,19.42
"FEB 2008",156.10,248.43,248.40,248.45,190.35,280.25,332.045,95.79,330.609,922.2976,20.11
"MAR 2008",157.88,264.30,263.35,265.53,193.73,304.85,360.698,104.30,347.149,968.4369,20.06
"ABR 2008",151.54,257.88,254.84,261.86,191.42,300.40,386.234,108.73,326.097,909.7092,18.57
"MAY 2008",151.73,255.93,253.73,258.73,199.33,291.23,434.828,122.95,318.553,888.6651,18.39
"JUN 2008",155.20,260.30,266.18,252.60,204.10,279.23,465.819,131.97,318.848,889.4881,18.39
"JUL 2008",153.56,261.82,265.32,257.24,203.40,286.72,469.467,133.03,336.873,939.7717,19.17
"AGO 2008",148.03,239.00,243.75,232.88,190.63,256.03,405.785,114.20,300.759,839.0250,18.00
"SEP 2008",144.34,223.38,228.30,217.04,181.02,236.74,351.667,98.09,297.500,829.9318,18.56
"OCT 2008",124.35,178.05,185.70,168.23,141.28,182.98,257.454,71.99,289.143,806.6196,19.48
"NOV 2008",118.08,163.23,178.93,142.95,127.50,151.35,191.399,52.73,272.741,760.8625,19.20
"DIC 2008",103.64,151.04,176.14,118.58,108.68,124.04,147.091,40.54,292.539,816.0921,19.54
"ENE 2009",113.00,161.10,189.98,123.80,114.90,127.95,155.532,42.89,307.809,858.6906,20.85
"FEB 2009",112.55,156.15,184.80,119.15,111.18,123.20,147.909,43.34,338.089,943.1624,23.72
"MAR 2009",111.34,156.78,182.68,123.28,108.24,131.50,166.291,46.82,331.317,924.2729,22.78
"ABR 2009",117.40,167.25,189.88,137.98,119.95,147.83,178.075,50.22,319.104,890.2001,21.70
"MAY 2009",122.30,180.53,206.43,147.05,128.70,157.08,205.781,57.54,332.885,928.6447,21.87
"JUN 2009",122.90,186.68,210.44,155.90,128.40,170.92,244.844,68.77,338.988,945.6706,21.71
"JUL 2009",119.30,181.75,196.63,162.58,132.45,179.03,228.994,64.70,334.886,934.2283,21.33
"AGO 2009",126.38,194.65,202.03,185.13,143.98,207.60,253.699,72.97,340.316,949.3749,21.41
"SEP 2009",121.18,190.66,195.00,185.00,145.76,206.46,242.195,67.66,357.240,996.5885,22.01
"OCT 2009",122.38,196.28,199.55,192.05,153.45,213.15,262.380,73.22,373.934,1043.1592,22.62
"NOV 2009",126.10,202.60,206.18,198.05,165.50,215.78,274.710,76.94,404.000,1127.0356,24.28
"DIC 2009",134.36,210.93,211.64,212.64,177.22,231.92,265.217,74.40,406.756,1134.7238,24.90
"ENE 2010",139.75,216.40,211.33,223.03,185.78,243.33,273.127,76.62,400.748,1117.9625,25.19
"FEB 2010",140.63,208.93,204.63,214.50,190.78,227.43,264.649,74.07,392.665,1095.4125,25.75
"MAR 2010",144.30,211.74,197.16,230.56,202.00,246.14,280.859,78.84,399.090,1113.3369,26.37
"ABR 2010",150.55,218.68,197.00,246.70,219.28,261.65,297.995,84.49,411.762,1148.6875,27.52
"MAY 2010",151.90,206.73,194.98,221.98,210.65,228.13,267.539,75.82,432.103,1205.4342,30.96
"JUN 2010",152.44,201.14,193.92,210.50,206.16,212.88,264.662,74.95,441.956,1232.9204,32.45
"JUL 2010",150.35,208.05,205.43,211.38,198.10,218.65,263.920,76.38,427.634,1192.9659,30.01
"AGO 2010",159.62,222.88,220.16,226.40,203.54,238.92,268.752,77.86,435.822,1215.8094,30.31
"SEP 2010",166.05,235.15,231.68,239.60,222.98,248.75,269.571,78.40,455.598,1270.9775,31.25
