"","IE_08.11.01","IE_08.11.02","IE_08.11.03","IE_08.11.04","IE_08.11.05","IE_08.11.06","IE_08.11.07","IE_08.11.08","IE_08.11.09","IE_08.11.10","IE_08.11.11","IE_08.11.12","IE_08.11.13","IE_08.11.14","IE_08.11.15","IE_08.11.16","IE_08.11.17"
"NÚMERO SECUENCIAL",1625883,1625884,1625870,1625871,1625872,1625873,1625874,1625875,1625885,1625876,1625886,1625877,1625878,1625879,1625880,1625881,1625882
"DESCRIPCIÓN DE LA SERIE","I.I.C. FIM + FIAMM. Patrimonio. Dato fin de mes","I.I.C. FIM + FIAMM. Variación mensual patrimonio. Dato fin de mes        ","I.I.C. FIM + FIAMM. Suscripción neta. ","I.I.C. FIM + FIAMM. Rentabilidad acumulada anual.     ","I.I.C. FMM. Patrimonio. Dato fin de mes","I.I.C. FMM. Variación mensual patrimonio. Dato fin de mes","I.I.C. FMM. Suscripción neta.   ","I.I.C. FMM. Rentabilidad acumulada anual.  ","I.I.C. FIM.Renta fija. Patrimonio.  Dato fin de mes       ","I.I.C. FIM. Renta fija. Variación mensual patrimonio. Dato fin de mes      ","I.I.C. FIM.Renta fija. Suscripción neta. ","I.I.C. FIM. Renta fija.  Rentabilidad acumulada anual. ","I.I.C. FIM. Renta variable. Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable  Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable. Suscripción neta.       ","I.I.C. FIM.Renta variable.  Rentabilidad acumulada anual. ","I.I.C. FIM. Resto. Patrimonio. Dato fin de mes       "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros"
"AGO 2007",275015520.0,-18912.0,-241755.5,5.279,0.0,0.0,0.0,"_",193565340.0,3072528.0,2696710.8,3.280,46136032.0,-2059700.0,-1420805.0,14.686,35314136.0
"SEP 2007",270736260.0,-4279264.0,-5439332.0,4.757,0.0,0.0,0.0,"_",192288450.0,-1276896.0,-1624106.3,3.114,44560432.0,-1575600.0,-1877228.1,12.099,33887352.0
"OCT 2007",267585740.0,-3150512.0,-6068853.0,4.832,0.0,0.0,0.0,"_",189386750.0,-2901696.0,-3906681.8,3.124,44815824.0,255392.0,-1196137.6,12.519,33383168.0
"NOV 2007",261330750.0,-6254992.0,-4310300.0,3.768,0.0,0.0,0.0,"_",188056930.0,-1329824.0,-1536039.6,2.872,41619560.0,-3196264.0,-1640343.8,8.344,31654280.0
"DIC 2007",256054460.0,-5276288.0,-4536672.0,2.635,0.0,0.0,0.0,"_",185962560.0,-2094368.0,-1919498.0,2.612,39448916.0,-2170644.0,-1417283.5,3.618,30642978.0
"ENE 2008",244285680.0,-11768784.0,-6862938.0,-0.252,35111204.0,35111204.0,1026732.3,"_",151092480.0,-34870080.0,531331.8,2.033,30183676.0,-9265240.0,-5341181.0,-9.363,27898324.0
"FEB 2008",240461820.0,-3823856.0,-4122886.5,0.035,36169132.0,1057928.0,-9640.0,"_",148945470.0,-2147008.0,-1376190.1,2.031,28812814.0,-1370862.0,-1318903.0,-8.034,26534390.0
"MAR 2008",235173460.0,-5288368.0,-3933463.8,-1.075,37339952.0,1170820.0,-368696.5,"_",147530210.0,-1415264.0,-1657858.0,1.527,27213612.0,-1599202.0,-905915.1,-12.045,23089692.0
"ABR 2008",231722480.0,-3450976.0,-5458475.0,-0.672,36428156.0,-911796.0,-908654.8,"_",145510900.0,-2019312.0,-2511962.0,1.392,27622266.0,408654.0,-839178.6,-9.537,22161152.0
"MAY 2008",226535020.0,-5187456.0,-5541669.0,-1.334,35028544.0,-1399612.0,-1590196.9,"_",142920580.0,-2590320.0,-2562187.0,0.953,27158524.0,-463742.0,-627368.5,-12.000,21427394.0
"JUN 2008",215574270.0,-10960752.0,-7355157.0,-2.787,33848912.0,-1179632.0,-1568865.3,"_",137444130.0,-5476448.0,-3950260.0,0.404,24008400.0,-3150124.0,-752585.0,-19.061,20272840.0
"JUL 2008",208592610.0,-6981664.0,-7185751.5,-2.351,32588592.0,-1260320.0,-1628286.4,"_",135011500.0,-2432624.0,-2797910.0,0.745,22309440.0,-1698960.0,-1354327.3,-19.017,18683072.0
"AGO 2008",205706990.0,-2885616.0,-7138028.0,-1.838,32124612.0,-463980.0,-548544.4,"_",134722820.0,-288688.0,-710828.9,0.830,21921752.0,-387688.0,-5443968.0,-17.579,16937818.0
"SEP 2008",198664530.0,-7042464.0,-5892472.0,-3.304,30926932.0,-1197680.0,-1175670.8,"_",131931620.0,-2791200.0,-2862744.5,0.269,19242044.0,-2679708.0,-972270.2,-24.694,16563941.0
"OCT 2008",185428030.0,-13236496.0,-11680430.0,-5.191,29165234.0,-1761698.0,-1796426.5,"_",126589930.0,-5341688.0,-7322955.0,-0.194,15755944.0,-3486100.0,-958909.2,-36.486,13916921.0
"NOV 2008",180835420.0,-4592608.0,-4363276.0,-4.647,28810208.0,-355026.0,-426662.3,"_",124110820.0,-2479112.0,-2854273.0,0.096,14707591.0,-1048353.0,-496336.9,-36.535,13206812.0
