"","IE_6_2.1","IE_6_2.2","IE_6_2.3","IE_6_2.4","IE_6_2.5","IE_6_2.6","IE_6_2.7","IE_6_2.8","IE_6_2.9","IE_6_2.10","IE_6_2.11","IE_6_2.12","IE_6_2.13","IE_6_2.14"
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","SEC2010.AAPP.ORGANISMOS DE LA ADMINISTRACION CENTRAL.DEUDA SEGUN PDE.TOTAL PASIVOS","ADMINISTRACIONES PÚBLICAS . COMUNIDADES AUTÓNOMAS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PASIVOS. ","ADMINISTRACIONES PÚBLICAS . CORPORACIONES LOCALES. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL . ","PDE2010.AAPP.AASS.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.DEUDA EN PODER DE AAPP.","PDE2010.AAPP.DEUDA SEGUN PDE.EFECTIVO Y DEPOSITOS","PDE2010.ADMINISTRACIONES PÚBLICAS.VALORES DISTINTOS DE ACCIONES.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"AGO 1999",349133947,287731479,3369419,36865736,19631680,18876508,17340894,2622859,290677164,24652590,266024574,55833907,5204499,50629408
"SEP 1999",352143642,290161094,4683617,36245092,19518206,18920636,17385022,2627434,293309246,24661544,268647702,56206943,5055471,51151472
"OCT 1999",350652579,289426282,3344108,36788644,19557912,18964762,17429148,2623066,292720328,23624646,269095682,55309166,4834568,50474596
"NOV 1999",355647239,294175906,3339038,36744228,19852436,19008882,17473268,2625004,297825313,22586080,275239233,55196907,4682274,50514632
"DIC 1999",362223478,298753638,4608868,37564916,19656156,18958692,17318808,2643492,302661934,22267858,280394076,56918035,5382158,51535876
"ENE 2000",361469082,299192013,4650724,37102800,19399644,18958692,17834808,2649706,302446510,20636244,281810266,56372848,5784948,50587900
"FEB 2000",363673954,300795076,4694377,37484564,19576036,18958692,17834808,2643859,304124364,19574462,284549902,56905715,6044817,50860896
"MAR 2000",362693782,299087038,4868284,37936116,19709940,18958692,17866308,2448421,303225147,19199984,284025163,57020195,5948228,51071968
"ABR 2000",360996150,296379713,4835410,38860100,19828528,18958692,17866308,2470028,299551997,19074994,280477003,58974110,6504245,52469864
"MAY 2000",362887262,298334298,4878404,38605820,19976334,18958692,17866308,2491868,301543820,19643320,281900500,58851555,6226186,52625368
"JUN 2000",365742706,301185763,5097935,38397592,20000516,18958692,17897808,2523434,304454534,20325850,284128684,58764724,6370889,52393836
"JUL 2000",369435716,304192522,5018748,39346180,19817364,18958692,17897808,2551404,308098422,19217508,288880914,58785874,6660288,52125584
"AGO 2000",367762770,303521070,4912314,38465664,19802824,18958692,17897808,2564332,307223872,17203018,290020854,57974551,6245382,51729168
"SEP 2000",369100442,304612611,5041142,38633000,19784286,18958692,17929308,2569814,308721253,15367808,293353445,57809359,5986773,51822584
"OCT 2000",371976991,306961983,5033963,39189496,19762146,18958692,17929308,2577987,311349585,15133138,296216447,58049402,5975068,52074336
"NOV 2000",373649191,308710705,5244450,38870764,19793870,18958692,17929308,2582940,313460103,14416491,299043612,57606132,5631914,51974216
